Cuenta_ID,Transaccion_ID,Código_Alerta,Descripción,Fecha_Alerta
2488,3149,A101,Intento de phishing,2021-03-28
716,4895,A101,Sospecha de fraude,2021-01-07
1236,3588,A101,Sospecha de fraude,2020-02-22
2054,1589,A101,Sospecha de fraude,2022-07-25
1285,155,A101,Intento de phishing,2020-02-04
423,1222,A101,Intento de phishing,2021-12-26
170,631,B202,Sospecha de fraude,2023-05-22
543,2620,A101,Intento de phishing,2023-12-30
1102,1362,C303,Intento de phishing,2021-07-25
939,1058,C303,Sospecha de fraude,2020-12-01
2108,3101,B202,Sospecha de fraude,2023-03-08
1400,4094,A101,Intento de phishing,2021-08-30
681,4475,A101,Sospecha de fraude,2021-04-19
1907,2342,C303,Sospecha de fraude,2022-02-21
159,2158,A101,Intento de phishing,2020-02-01
544,685,A101,Sospecha de fraude,2021-02-06
205,3452,A101,Intento de phishing,2020-03-28
2924,188,A101,Sospecha de fraude,2020-03-11
2555,3950,B202,Sospecha de fraude,2023-05-17
1106,3759,A101,Sospecha de fraude,2020-09-19
352,2846,C303,Sospecha de fraude,2020-07-22
2630,3233,C303,Intento de phishing,2022-08-16
1394,1939,A101,Intento de phishing,2020-06-23
2041,1627,A101,Intento de phishing,2022-07-07
361,3137,B202,Sospecha de fraude,2023-08-23
2892,4151,A101,Intento de phishing,2021-02-02
2755,1183,C303,Sospecha de fraude,2020-10-15
1757,3362,C303,Intento de phishing,2021-07-30
2869,3515,B202,Intento de phishing,2021-10-31
171,3942,C303,Sospecha de fraude,2020-04-02
601,4983,A101,Intento de phishing,2021-06-04
780,1442,C303,Intento de phishing,2022-08-14
628,873,C303,Intento de phishing,2022-04-13
187,2672,B202,Sospecha de fraude,2022-07-14
1204,3099,C303,Intento de phishing,2022-05-14
1046,3217,A101,Intento de phishing,2020-10-11
1689,1933,B202,Intento de phishing,2021-01-10
1531,1761,C303,Intento de phishing,2023-10-21
2089,3337,A101,Sospecha de fraude,2021-10-22
869,1121,A101,Intento de phishing,2022-06-21
1854,2545,A101,Sospecha de fraude,2021-03-23
1323,818,C303,Intento de phishing,2022-04-19
2761,2846,C303,Sospecha de fraude,2021-01-16
2639,2035,A101,Intento de phishing,2021-11-04
2230,1664,B202,Intento de phishing,2020-03-26
988,1081,B202,Intento de phishing,2022-12-14
233,1135,B202,Sospecha de fraude,2022-04-27
846,548,B202,Sospecha de fraude,2023-06-12
1037,2005,C303,Intento de phishing,2021-04-10
2497,2143,C303,Intento de phishing,2023-06-25
1649,1568,A101,Intento de phishing,2022-05-02
1593,3363,A101,Sospecha de fraude,2022-12-04
1038,2789,C303,Sospecha de fraude,2022-02-28
1732,1161,B202,Intento de phishing,2020-06-05
36,4036,C303,Intento de phishing,2020-02-09
1258,2616,B202,Sospecha de fraude,2023-07-15
278,3195,A101,Sospecha de fraude,2022-07-14
2810,1490,B202,Sospecha de fraude,2021-12-11
1079,3427,C303,Sospecha de fraude,2020-08-21
496,2107,C303,Sospecha de fraude,2021-02-23
2470,3729,A101,Intento de phishing,2021-04-21
1631,4424,C303,Sospecha de fraude,2021-06-07
1102,3249,C303,Sospecha de fraude,2023-12-16
1483,4814,B202,Intento de phishing,2020-07-06
268,4043,C303,Sospecha de fraude,2021-10-30
2849,736,C303,Sospecha de fraude,2020-09-26
2809,2805,B202,Intento de phishing,2020-04-29
1773,1182,B202,Intento de phishing,2023-04-23
208,4526,B202,Intento de phishing,2023-07-06
195,2158,B202,Sospecha de fraude,2021-08-09
2911,1031,B202,Intento de phishing,2022-06-26
2802,686,C303,Sospecha de fraude,2023-05-31
2146,1751,C303,Sospecha de fraude,2020-03-31
81,4595,A101,Intento de phishing,2021-10-23
2502,1392,B202,Sospecha de fraude,2020-01-05
1557,1922,C303,Intento de phishing,2023-09-19
735,1705,C303,Sospecha de fraude,2023-04-18
1210,3357,C303,Sospecha de fraude,2023-03-23
2472,1410,B202,Intento de phishing,2023-01-10
570,557,B202,Sospecha de fraude,2023-01-15
1092,1139,B202,Intento de phishing,2021-12-10
2352,2329,A101,Sospecha de fraude,2021-03-16
2805,4438,A101,Intento de phishing,2023-12-07
273,4976,A101,Sospecha de fraude,2023-11-27
2154,2504,C303,Sospecha de fraude,2021-05-05
1906,3168,B202,Sospecha de fraude,2021-03-12
253,1465,C303,Intento de phishing,2020-12-15
2189,4205,B202,Sospecha de fraude,2022-09-28
377,2756,A101,Sospecha de fraude,2022-02-24
1414,4431,C303,Intento de phishing,2022-08-29
2806,1449,B202,Sospecha de fraude,2022-01-23
2428,398,C303,Sospecha de fraude,2020-07-06
1826,3952,C303,Sospecha de fraude,2023-07-11
1796,3845,B202,Sospecha de fraude,2020-02-18
233,2909,C303,Sospecha de fraude,2020-06-01
2406,681,B202,Intento de phishing,2021-02-20
575,3309,C303,Intento de phishing,2020-10-22
1290,4317,A101,Sospecha de fraude,2020-02-18
1311,349,A101,Sospecha de fraude,2023-08-22
1788,4240,C303,Intento de phishing,2021-11-09
1350,2571,A101,Intento de phishing,2023-07-01
1688,2786,A101,Intento de phishing,2023-03-25
1701,324,B202,Intento de phishing,2020-01-21
389,1993,C303,Sospecha de fraude,2021-05-27
2548,3254,B202,Intento de phishing,2022-07-19
667,2755,C303,Sospecha de fraude,2022-02-21
1355,4161,C303,Sospecha de fraude,2022-09-01
916,1375,A101,Sospecha de fraude,2020-03-11
2561,2888,C303,Sospecha de fraude,2023-12-22
737,3283,C303,Sospecha de fraude,2023-01-23
1540,3562,A101,Sospecha de fraude,2021-12-28
1079,2522,C303,Sospecha de fraude,2021-08-09
2589,1514,C303,Intento de phishing,2021-04-02
1987,2906,A101,Intento de phishing,2020-08-06
2379,1539,A101,Sospecha de fraude,2021-12-07
375,2553,C303,Sospecha de fraude,2023-05-24
764,1242,B202,Sospecha de fraude,2021-09-02
877,1279,C303,Intento de phishing,2022-03-22
1437,437,C303,Sospecha de fraude,2023-02-23
1964,3057,C303,Intento de phishing,2022-09-15
1749,2527,C303,Intento de phishing,2021-10-13
2303,4423,B202,Intento de phishing,2021-03-16
2138,554,A101,Intento de phishing,2023-07-06
2993,3487,B202,Intento de phishing,2021-03-24
838,2539,A101,Intento de phishing,2022-09-18
2033,2410,A101,Intento de phishing,2023-11-13
1075,2670,B202,Sospecha de fraude,2020-02-19
361,2640,C303,Sospecha de fraude,2021-09-09
1185,835,A101,Sospecha de fraude,2022-12-27
724,1957,A101,Sospecha de fraude,2020-11-30
926,402,C303,Sospecha de fraude,2020-11-18
1089,3254,C303,Sospecha de fraude,2022-08-29
230,922,B202,Sospecha de fraude,2023-10-31
1741,3976,C303,Intento de phishing,2022-08-16
1025,1548,C303,Intento de phishing,2023-07-08
879,3656,C303,Sospecha de fraude,2020-07-04
1146,4209,A101,Sospecha de fraude,2023-09-21
2739,2995,A101,Sospecha de fraude,2023-02-19
2881,1058,C303,Sospecha de fraude,2021-11-16
2857,4475,A101,Intento de phishing,2022-07-10
2284,995,A101,Intento de phishing,2022-07-10
2941,1151,C303,Sospecha de fraude,2022-09-14
2943,3113,A101,Intento de phishing,2021-04-10
776,4879,C303,Sospecha de fraude,2023-05-29
1848,3298,A101,Sospecha de fraude,2023-09-19
239,3641,B202,Sospecha de fraude,2023-09-16
325,3976,A101,Sospecha de fraude,2022-08-24
1682,3391,C303,Sospecha de fraude,2022-11-14
314,1320,B202,Sospecha de fraude,2023-05-10
1984,1316,C303,Sospecha de fraude,2021-11-13
1406,189,A101,Intento de phishing,2022-06-20
1982,4508,B202,Sospecha de fraude,2023-05-05
2754,3604,B202,Sospecha de fraude,2023-08-03
1833,2869,B202,Sospecha de fraude,2023-12-16
356,1011,A101,Sospecha de fraude,2020-09-27
2794,1733,C303,Sospecha de fraude,2022-09-12
582,4305,B202,Sospecha de fraude,2023-12-30
70,2283,A101,Intento de phishing,2022-01-21
2363,3852,B202,Sospecha de fraude,2020-11-25
538,3676,B202,Intento de phishing,2022-01-19
606,3083,A101,Sospecha de fraude,2023-08-16
518,1084,A101,Sospecha de fraude,2021-05-06
612,3452,B202,Sospecha de fraude,2020-10-12
421,1954,C303,Sospecha de fraude,2023-01-22
227,3737,A101,Intento de phishing,2022-07-08
2245,4060,A101,Sospecha de fraude,2020-03-25
1138,2872,C303,Intento de phishing,2020-01-28
2394,1341,B202,Sospecha de fraude,2020-09-25
686,307,A101,Intento de phishing,2021-03-16
1045,153,A101,Sospecha de fraude,2020-05-28
2968,1858,B202,Intento de phishing,2020-08-30
1693,262,A101,Intento de phishing,2021-07-21
2239,2927,B202,Sospecha de fraude,2023-07-16
2063,2119,A101,Intento de phishing,2023-11-21
1365,752,B202,Intento de phishing,2020-11-30
1255,3253,C303,Intento de phishing,2023-06-23
509,4634,B202,Intento de phishing,2021-04-06
2953,2838,A101,Sospecha de fraude,2021-11-17
853,2841,A101,Intento de phishing,2020-05-02
2182,1297,A101,Sospecha de fraude,2021-12-06
1142,361,A101,Sospecha de fraude,2020-04-23
2362,855,A101,Intento de phishing,2021-01-28
1634,2276,C303,Sospecha de fraude,2020-05-03
1248,427,C303,Intento de phishing,2021-10-04
2522,3850,C303,Sospecha de fraude,2021-02-20
1107,1752,A101,Sospecha de fraude,2022-04-15
175,1165,C303,Sospecha de fraude,2022-04-20
965,1645,C303,Intento de phishing,2021-05-01
2904,3705,C303,Intento de phishing,2021-11-01
1018,1380,B202,Sospecha de fraude,2020-04-26
2777,2292,C303,Intento de phishing,2020-04-11
2642,4933,C303,Intento de phishing,2023-05-27
1496,277,A101,Intento de phishing,2020-08-04
2095,3508,A101,Sospecha de fraude,2023-04-09
1400,2802,B202,Intento de phishing,2021-03-30
907,4403,A101,Intento de phishing,2023-02-18
1857,2353,B202,Intento de phishing,2023-06-06
1787,3712,C303,Sospecha de fraude,2022-08-24
1290,2982,B202,Intento de phishing,2020-05-21
2311,144,B202,Intento de phishing,2022-07-04
2028,177,A101,Sospecha de fraude,2022-04-13
2936,4589,A101,Intento de phishing,2022-05-13
1766,4168,B202,Sospecha de fraude,2021-09-10
1222,1725,A101,Intento de phishing,2021-03-15
1066,3047,C303,Intento de phishing,2021-03-08
520,3688,B202,Sospecha de fraude,2021-08-15
2692,2198,A101,Sospecha de fraude,2021-12-19
868,10,C303,Intento de phishing,2021-11-19
310,3668,B202,Intento de phishing,2022-02-18
779,2934,A101,Intento de phishing,2020-08-29
1452,1202,B202,Intento de phishing,2022-03-22
1853,4819,A101,Sospecha de fraude,2021-07-17
1909,2052,B202,Sospecha de fraude,2022-12-27
2060,1419,B202,Intento de phishing,2020-11-17
1040,3643,B202,Intento de phishing,2022-02-11
2182,1260,B202,Intento de phishing,2021-07-18
2724,4539,C303,Sospecha de fraude,2021-02-27
835,1488,B202,Sospecha de fraude,2020-07-09
810,3871,A101,Intento de phishing,2023-07-10
354,2267,C303,Intento de phishing,2023-05-03
159,739,B202,Sospecha de fraude,2020-06-13
425,2633,C303,Sospecha de fraude,2022-05-08
2824,1259,C303,Sospecha de fraude,2022-06-27
3,1526,A101,Intento de phishing,2020-07-30
1092,4416,C303,Sospecha de fraude,2022-03-14
586,608,C303,Sospecha de fraude,2021-03-30
1318,4269,C303,Intento de phishing,2022-07-05
2069,3422,B202,Sospecha de fraude,2022-10-02
602,4531,C303,Sospecha de fraude,2023-05-15
2356,563,A101,Intento de phishing,2021-08-19
967,4980,B202,Intento de phishing,2023-05-02
136,1726,C303,Intento de phishing,2023-12-06
378,1216,C303,Intento de phishing,2020-01-25
2069,4488,A101,Intento de phishing,2020-05-12
239,3583,A101,Intento de phishing,2021-10-09
86,607,B202,Sospecha de fraude,2022-12-06
307,297,C303,Intento de phishing,2022-10-04
1220,3241,C303,Sospecha de fraude,2020-09-28
1823,751,A101,Sospecha de fraude,2023-01-23
370,2284,A101,Sospecha de fraude,2020-05-09
37,4863,B202,Sospecha de fraude,2020-07-02
1734,1716,C303,Intento de phishing,2020-11-03
99,4832,B202,Intento de phishing,2020-05-07
999,3090,C303,Sospecha de fraude,2023-03-16
318,1460,C303,Intento de phishing,2022-09-30
113,2341,A101,Intento de phishing,2020-10-25
1440,1661,C303,Sospecha de fraude,2022-08-01
2628,4990,B202,Intento de phishing,2020-07-13
2498,3575,C303,Intento de phishing,2020-06-23
393,40,B202,Intento de phishing,2021-05-08
1719,4194,B202,Sospecha de fraude,2022-04-20
502,1685,C303,Intento de phishing,2021-03-31
685,1867,B202,Intento de phishing,2023-12-04
1374,1120,B202,Intento de phishing,2020-04-16
2457,450,C303,Sospecha de fraude,2021-12-12
1776,558,C303,Intento de phishing,2020-03-18
2501,3938,C303,Intento de phishing,2023-11-02
214,4330,C303,Intento de phishing,2022-07-01
424,1761,A101,Sospecha de fraude,2021-06-25
2770,2435,B202,Intento de phishing,2020-10-21
1576,611,C303,Intento de phishing,2021-08-18
1213,4167,A101,Sospecha de fraude,2021-08-20
1775,2582,A101,Sospecha de fraude,2023-05-09
1155,3021,C303,Sospecha de fraude,2021-05-17
2056,565,A101,Sospecha de fraude,2023-08-09
96,2764,A101,Sospecha de fraude,2023-02-28
1164,4894,C303,Sospecha de fraude,2020-02-29
1086,157,C303,Intento de phishing,2023-03-12
2828,1607,B202,Intento de phishing,2021-11-06
797,4196,A101,Sospecha de fraude,2022-08-10
2821,2284,C303,Sospecha de fraude,2020-07-25
1421,3756,A101,Sospecha de fraude,2021-09-26
1273,2781,C303,Sospecha de fraude,2023-10-08
2288,3924,C303,Sospecha de fraude,2022-07-11
368,202,C303,Sospecha de fraude,2022-10-18
61,4181,A101,Sospecha de fraude,2023-10-09
2915,3783,A101,Sospecha de fraude,2022-11-04
482,2741,A101,Intento de phishing,2023-02-07
1509,3097,B202,Sospecha de fraude,2021-12-25
164,2129,C303,Sospecha de fraude,2022-04-04
525,371,C303,Sospecha de fraude,2020-03-08
624,300,B202,Sospecha de fraude,2022-09-24
753,4191,B202,Intento de phishing,2023-03-05
1931,4187,A101,Intento de phishing,2020-05-02
2465,233,C303,Intento de phishing,2020-06-04
471,3844,B202,Intento de phishing,2020-02-15
264,1286,A101,Intento de phishing,2023-09-22
2735,3128,C303,Sospecha de fraude,2023-06-24
1503,3920,B202,Sospecha de fraude,2021-08-03
2642,1941,B202,Intento de phishing,2023-08-14
370,4244,A101,Sospecha de fraude,2021-01-27
1603,213,A101,Sospecha de fraude,2020-12-09
2989,4010,A101,Intento de phishing,2021-11-01
2583,1001,C303,Sospecha de fraude,2022-06-23
1456,2643,C303,Intento de phishing,2022-08-28
2158,1679,C303,Sospecha de fraude,2022-08-24
1184,403,C303,Sospecha de fraude,2020-09-26
2129,4586,A101,Intento de phishing,2020-05-04
162,4732,B202,Intento de phishing,2022-01-25
2858,4621,C303,Intento de phishing,2022-04-11
437,4482,A101,Sospecha de fraude,2020-04-30
259,4267,C303,Sospecha de fraude,2021-10-04
2775,3385,A101,Intento de phishing,2021-08-01
2480,4946,B202,Sospecha de fraude,2022-05-23
1451,2930,C303,Sospecha de fraude,2022-12-13
1753,3201,B202,Sospecha de fraude,2022-11-06
779,676,A101,Intento de phishing,2020-04-25
972,3173,C303,Sospecha de fraude,2020-06-21
1204,1673,A101,Intento de phishing,2022-04-16
1263,2210,B202,Sospecha de fraude,2022-05-11
878,3789,B202,Intento de phishing,2022-05-18
225,3777,C303,Intento de phishing,2020-07-19
2358,1216,B202,Sospecha de fraude,2023-04-01
2803,860,C303,Sospecha de fraude,2020-04-10
1411,728,A101,Sospecha de fraude,2023-04-05
2911,328,C303,Intento de phishing,2020-04-03
195,3738,C303,Sospecha de fraude,2021-09-03
1910,905,B202,Sospecha de fraude,2023-01-14
1888,4317,C303,Sospecha de fraude,2022-11-26
1248,3938,C303,Sospecha de fraude,2020-02-07
298,3191,C303,Intento de phishing,2023-11-20
1139,2218,B202,Intento de phishing,2021-07-03
192,1033,A101,Sospecha de fraude,2022-01-09
1572,734,C303,Intento de phishing,2021-06-12
961,173,A101,Sospecha de fraude,2022-05-08
443,4933,A101,Intento de phishing,2022-04-28
1375,3601,A101,Intento de phishing,2020-09-23
413,1611,B202,Intento de phishing,2022-04-08
2383,4988,C303,Sospecha de fraude,2020-12-11
2908,1478,A101,Intento de phishing,2020-09-30
1589,767,A101,Intento de phishing,2023-05-08
2210,2634,A101,Intento de phishing,2022-10-06
986,1803,B202,Sospecha de fraude,2020-02-22
1880,2666,A101,Intento de phishing,2022-12-29
2877,679,A101,Intento de phishing,2023-03-13
807,3714,A101,Intento de phishing,2023-12-11
2019,1143,C303,Intento de phishing,2022-07-08
2840,2567,B202,Intento de phishing,2021-05-30
408,894,A101,Sospecha de fraude,2023-12-07
2627,2218,C303,Sospecha de fraude,2020-08-12
1291,4781,B202,Sospecha de fraude,2022-09-23
761,3749,A101,Sospecha de fraude,2020-01-04
151,4687,B202,Sospecha de fraude,2022-04-06
1478,6,A101,Sospecha de fraude,2020-11-29
2618,703,C303,Intento de phishing,2022-12-17
1392,3408,C303,Intento de phishing,2023-09-04
563,2125,B202,Sospecha de fraude,2020-08-26
2925,529,C303,Sospecha de fraude,2020-04-22
1226,2146,B202,Intento de phishing,2023-06-13
1258,4474,B202,Sospecha de fraude,2022-10-24
1181,4589,A101,Intento de phishing,2023-04-02
2388,4376,A101,Sospecha de fraude,2022-07-18
441,755,B202,Sospecha de fraude,2021-12-11
889,4739,C303,Sospecha de fraude,2022-01-09
425,1759,A101,Sospecha de fraude,2020-07-29
587,2740,C303,Sospecha de fraude,2023-08-09
2464,4403,A101,Sospecha de fraude,2021-01-13
1908,4174,C303,Sospecha de fraude,2022-11-08
6,3635,B202,Sospecha de fraude,2022-05-05
2470,4593,A101,Sospecha de fraude,2020-05-03
339,3064,A101,Intento de phishing,2020-11-20
159,3495,A101,Intento de phishing,2020-09-29
753,2191,A101,Sospecha de fraude,2020-10-14
216,4967,C303,Intento de phishing,2021-07-24
2759,482,A101,Sospecha de fraude,2020-01-23
932,2006,C303,Sospecha de fraude,2020-04-09
106,3959,A101,Sospecha de fraude,2020-05-01
1688,893,C303,Sospecha de fraude,2023-12-19
593,4251,A101,Intento de phishing,2022-06-30
2276,2504,A101,Intento de phishing,2020-12-21
1324,1373,C303,Intento de phishing,2021-11-18
1507,3302,B202,Sospecha de fraude,2022-09-17
1614,1966,A101,Intento de phishing,2023-03-21
