Comercio_ID,Ubicacion_ID,Fecha_Registro,Código_Postal,Región
765,594,2020-03-01,9620,Sur
1156,168,2023-10-22,7804,Norte
1836,1333,2020-07-18,4612,Centro
774,1400,2020-02-07,2251,Centro
1420,322,2022-07-23,6764,Centro
1224,1162,2022-07-12,7175,Centro
1052,918,2023-01-08,1763,Sur
1330,1598,2021-01-11,7141,Centro
857,804,2023-07-22,5071,Norte
771,238,2021-03-12,4232,Norte
943,666,2022-09-17,7859,Centro
442,459,2022-01-16,8525,Norte
1535,1904,2021-09-09,1869,Norte
725,1500,2020-01-17,9661,Norte
1860,922,2022-05-24,9069,Sur
1317,1856,2023-05-14,7244,Sur
1420,48,2021-12-14,8950,Norte
159,627,2022-06-04,7343,Sur
62,931,2023-03-24,2379,Norte
1643,1724,2020-07-20,2256,Centro
200,1099,2020-12-18,3444,Centro
246,605,2022-07-09,9940,Sur
963,1628,2020-03-07,5094,Centro
1564,211,2023-05-07,5988,Norte
1244,4,2020-12-09,8728,Norte
228,1302,2022-01-20,6478,Norte
1516,361,2022-08-13,1686,Norte
1507,733,2020-06-24,7839,Centro
301,1671,2020-04-27,2481,Sur
159,245,2022-01-27,8207,Centro
1941,465,2020-09-30,9651,Centro
957,987,2020-12-07,7721,Norte
559,575,2021-12-24,7016,Sur
628,1952,2020-07-11,2874,Norte
490,1265,2020-11-22,2298,Norte
150,720,2022-11-29,1538,Centro
876,1057,2021-01-27,7914,Centro
825,1721,2022-07-28,9320,Norte
691,1468,2021-02-10,7287,Centro
1360,297,2023-05-15,9474,Norte
398,1890,2020-08-15,9334,Norte
1609,1812,2022-04-02,5568,Norte
1427,1491,2022-12-10,8082,Norte
1301,1519,2022-12-13,9010,Sur
974,1657,2020-04-25,3146,Centro
858,712,2020-03-09,9934,Norte
233,769,2022-01-24,9411,Sur
214,374,2023-10-01,9737,Sur
605,868,2023-03-26,8654,Sur
465,1842,2022-01-23,6748,Norte
90,789,2021-06-25,6361,Centro
666,1646,2023-08-02,7283,Norte
137,1724,2020-07-25,6058,Sur
1542,1729,2020-07-29,3458,Centro
870,498,2020-06-04,8050,Centro
1038,383,2023-11-11,6002,Centro
681,1729,2020-11-07,7030,Sur
940,1791,2021-07-26,6265,Norte
1255,1260,2020-07-18,6381,Sur
1393,1885,2020-03-27,7061,Sur
141,610,2022-09-09,7601,Centro
171,904,2023-08-13,9519,Norte
637,737,2020-03-25,3499,Centro
645,816,2022-10-15,4152,Norte
1951,1182,2021-09-28,9537,Norte
90,1679,2022-12-06,1590,Norte
1509,179,2021-04-06,4257,Norte
1050,1126,2023-08-02,5804,Sur
1643,572,2021-09-12,5406,Sur
1726,561,2022-05-18,7946,Sur
1628,432,2023-01-07,2156,Norte
1471,1448,2023-12-01,6364,Norte
543,1203,2020-11-07,8420,Centro
1813,776,2020-11-23,3994,Centro
271,1257,2020-09-10,1650,Sur
1100,879,2023-02-12,2180,Centro
1558,1516,2021-04-09,4750,Centro
1808,596,2020-07-14,7841,Sur
1021,421,2023-07-15,9199,Norte
1930,1505,2020-07-14,7169,Sur
577,1578,2021-09-28,9331,Norte
880,1885,2022-05-26,2431,Sur
153,23,2022-12-21,5859,Centro
466,870,2021-01-27,8402,Norte
1451,826,2023-02-18,2624,Norte
692,88,2021-11-19,2003,Norte
416,924,2020-04-24,5161,Sur
792,414,2020-02-09,2427,Sur
1477,974,2021-02-23,3132,Centro
288,1727,2020-02-12,6475,Centro
530,651,2023-12-17,9233,Norte
299,1215,2021-02-18,1627,Centro
1279,1780,2020-01-11,1263,Norte
720,1587,2021-08-15,3954,Sur
948,703,2023-07-23,8585,Sur
150,292,2022-08-19,5879,Norte
1221,420,2022-06-16,5576,Sur
1277,816,2023-08-03,4481,Sur
94,48,2022-07-26,9419,Centro
1060,641,2020-02-19,3988,Sur
258,1425,2021-12-23,8990,Centro
632,758,2021-07-06,7419,Centro
582,1403,2023-03-16,8931,Norte
1597,1489,2021-01-18,8300,Norte
318,1143,2023-07-25,1604,Sur
1527,1293,2023-08-02,3458,Centro
124,431,2021-12-19,2060,Norte
1939,1149,2023-08-01,3017,Centro
702,1348,2020-03-22,9416,Sur
1726,1898,2022-11-01,7746,Centro
777,1652,2021-04-21,5406,Sur
494,590,2023-07-15,7595,Sur
1891,1803,2023-11-08,1865,Norte
1833,1257,2023-02-10,3282,Norte
623,1592,2021-04-28,6936,Centro
1896,1763,2020-01-27,2989,Centro
1475,1846,2022-08-31,8518,Norte
495,1201,2021-05-25,7663,Sur
1437,928,2021-10-29,9252,Centro
914,1712,2020-08-07,5519,Centro
1599,734,2021-12-25,6776,Norte
1679,426,2020-06-11,1293,Centro
210,855,2021-07-04,1504,Centro
1858,651,2020-03-05,5096,Centro
833,834,2020-09-13,6153,Norte
1724,1527,2020-12-28,6057,Norte
1694,1218,2021-11-12,1980,Sur
1847,1474,2021-11-08,2003,Norte
1214,1851,2022-03-27,1142,Centro
1767,1127,2021-09-13,3110,Sur
1946,1020,2022-10-10,3005,Norte
575,555,2021-02-02,9622,Norte
227,630,2020-03-04,4274,Norte
226,895,2023-05-04,1637,Norte
259,311,2020-03-23,7400,Norte
1543,542,2022-10-13,3150,Sur
1402,1754,2023-05-24,4778,Centro
1192,210,2022-07-21,2030,Centro
1237,1818,2023-03-12,9531,Sur
271,1447,2022-07-12,8975,Sur
1695,1443,2021-11-01,8552,Centro
258,716,2022-08-09,8523,Norte
1159,859,2023-07-12,4140,Centro
1007,564,2020-02-06,2680,Centro
296,1500,2023-02-17,1237,Centro
536,38,2023-08-05,6278,Sur
1334,1014,2023-10-10,2451,Centro
85,198,2020-07-02,1994,Sur
815,286,2023-11-12,2668,Sur
1099,92,2023-01-01,7912,Norte
1375,1128,2023-07-25,2330,Centro
652,1504,2022-10-07,1029,Sur
454,902,2022-07-30,9335,Norte
26,414,2022-04-28,7237,Centro
209,1962,2023-11-25,8782,Norte
500,779,2021-10-17,2979,Norte
885,93,2020-07-17,4020,Sur
1737,970,2022-04-22,4736,Norte
882,67,2022-11-01,7682,Norte
1901,1947,2021-11-25,9958,Norte
1651,1176,2022-07-14,5524,Norte
806,1827,2021-12-22,2336,Norte
1917,516,2023-07-07,3507,Sur
1116,301,2022-02-13,9184,Norte
550,1505,2020-01-13,4714,Centro
645,232,2023-05-19,6368,Norte
283,1378,2021-12-07,3367,Sur
614,1673,2022-03-07,7495,Sur
1732,1936,2020-04-24,5237,Norte
1147,1097,2022-06-13,3986,Centro
1011,352,2021-04-04,1668,Sur
201,707,2022-08-26,4658,Centro
896,1457,2020-09-25,4310,Centro
1536,501,2023-05-29,3674,Centro
415,466,2020-07-28,2348,Sur
1958,1156,2020-06-17,6618,Sur
1154,1805,2023-11-25,1946,Sur
1311,1686,2021-04-10,3833,Norte
1007,816,2023-12-29,4443,Centro
1085,1102,2023-12-16,1041,Centro
673,140,2022-09-29,2148,Centro
21,456,2022-10-18,6088,Sur
1942,1725,2023-03-13,7283,Centro
1412,1491,2021-02-06,2525,Sur
1071,1330,2022-09-10,7240,Sur
346,578,2022-06-08,9838,Norte
60,1058,2021-11-14,9535,Norte
6,1170,2023-05-18,4023,Centro
1065,1077,2020-04-29,3315,Norte
1200,1813,2020-08-06,6605,Norte
1404,579,2022-11-21,3777,Norte
513,1923,2021-05-12,4435,Norte
395,370,2023-06-23,2178,Norte
1156,1867,2020-02-02,4563,Sur
78,933,2020-07-09,4661,Norte
692,1610,2021-10-19,6684,Centro
1808,444,2023-08-06,5358,Sur
626,1209,2021-05-03,2886,Norte
373,325,2021-07-26,4383,Centro
1655,749,2023-06-12,8412,Norte
340,1365,2023-01-11,8283,Sur
1549,1172,2023-06-30,8888,Centro
1843,483,2021-04-24,5896,Norte
1279,116,2022-08-23,2040,Norte
1763,1983,2022-03-05,2754,Sur
503,568,2023-05-25,2828,Sur
987,1630,2021-06-23,5793,Norte
1151,693,2020-10-11,7492,Norte
35,1933,2021-08-21,9327,Centro
811,415,2023-01-09,9505,Centro
1460,638,2022-06-12,3966,Centro
162,39,2022-02-17,3800,Norte
400,1772,2021-04-27,4430,Sur
1950,652,2022-02-06,4240,Sur
1897,1799,2023-01-12,6606,Centro
1900,720,2021-03-04,8216,Centro
1504,952,2021-11-18,2222,Norte
1073,1530,2021-08-14,1710,Sur
405,837,2021-08-13,8874,Norte
328,1640,2023-09-10,9321,Norte
798,879,2023-11-26,9158,Centro
368,1381,2020-08-30,2486,Sur
1840,874,2022-10-20,6440,Sur
837,1196,2020-03-29,6050,Sur
1199,1949,2022-03-16,8065,Sur
1784,945,2023-02-06,6090,Centro
75,1647,2022-12-22,3045,Centro
1457,417,2021-12-21,9737,Sur
1845,1718,2020-07-30,5371,Norte
1607,1148,2021-01-26,7964,Sur
1786,1115,2020-05-03,4512,Norte
1146,903,2021-07-07,9495,Sur
1973,384,2020-06-25,7983,Sur
1608,1443,2021-04-19,4917,Centro
368,855,2021-08-17,1020,Sur
914,1681,2020-03-09,3263,Sur
33,1229,2021-07-15,3578,Centro
17,654,2023-09-22,7347,Sur
663,807,2020-07-08,9396,Centro
1124,1830,2023-05-27,7769,Sur
331,1136,2021-09-09,8493,Centro
1379,1038,2021-05-19,2090,Centro
1067,636,2021-02-21,3433,Norte
1178,1634,2022-06-16,9762,Centro
1234,1561,2021-06-12,2902,Centro
1766,534,2022-05-04,3411,Sur
1225,1920,2023-04-30,3507,Norte
1250,1592,2020-01-20,9355,Centro
340,471,2023-11-20,9417,Centro
1582,773,2023-09-21,7335,Sur
1469,268,2020-05-26,2364,Centro
881,944,2021-04-28,4948,Centro
429,593,2022-07-26,4380,Sur
1389,798,2021-04-04,1673,Centro
565,346,2020-10-14,6909,Norte
558,1114,2021-10-03,5476,Sur
1395,1377,2020-01-26,3348,Centro
1774,929,2021-01-08,3345,Norte
1469,1504,2020-06-26,3562,Centro
591,1283,2023-12-08,6154,Sur
1612,1479,2020-08-05,2143,Centro
226,73,2020-04-16,5510,Centro
16,541,2020-05-04,8070,Sur
1119,777,2023-08-28,7854,Centro
1901,480,2023-01-14,3266,Sur
1137,1858,2022-11-11,4053,Norte
122,1893,2022-03-25,9899,Sur
1511,520,2022-02-10,7828,Norte
826,1749,2021-01-18,6031,Norte
1987,1535,2020-06-21,3097,Sur
358,711,2021-01-03,2688,Norte
1966,1307,2023-11-17,2366,Centro
1452,847,2022-04-11,1412,Sur
1160,579,2021-12-06,3289,Norte
1852,460,2023-12-28,5303,Centro
691,433,2023-09-28,6447,Sur
1229,1386,2023-07-20,2448,Sur
1029,351,2020-03-20,6932,Sur
850,233,2022-09-21,9496,Norte
1097,25,2023-03-06,8694,Centro
110,866,2023-07-31,7078,Centro
272,730,2022-12-29,2810,Sur
1489,1779,2023-11-04,6542,Sur
1148,1559,2023-04-03,5557,Centro
1726,240,2021-04-14,2037,Norte
422,1982,2022-10-22,4400,Sur
318,1957,2020-05-31,2938,Sur
1309,1418,2023-10-23,1601,Norte
1491,1605,2023-11-20,3514,Norte
1576,1155,2023-05-07,5386,Norte
78,530,2023-09-24,9786,Centro
754,795,2021-08-05,1244,Sur
483,1014,2023-11-11,2994,Centro
1963,1312,2021-06-14,7366,Sur
1219,1350,2022-01-28,5661,Sur
