Cliente_ID,Tarjeta_ID,Tipo_Tarjeta,Banco_Emisor,Límite_Crédito
2473,2044,Crédito,Banco C,47816.98
229,1030,Débito,Banco B,13148.81
1434,850,Débito,Banco C,43182.2
2072,311,Débito,Banco C,42428.89
809,623,Crédito,Banco B,14770.74
855,1121,Débito,Banco C,6737.01
1943,2482,Débito,Banco A,38722.9
579,2837,Débito,Banco A,19368.42
2866,2729,Débito,Banco C,11207.32
2032,549,Crédito,Banco A,9252.28
2346,2071,Débito,Banco A,1300.07
2154,219,Crédito,Banco A,43685.31
2634,2422,Crédito,Banco C,44689.18
2062,812,Débito,Banco C,36949.93
2111,2478,Débito,Banco C,23725.18
1863,1147,Débito,Banco B,10479.87
1469,1037,Crédito,Banco A,36488.09
1531,916,Crédito,Banco A,47154.8
1319,1473,Débito,Banco B,31005.9
1339,38,Crédito,Banco C,46800.42
2114,2537,Crédito,Banco A,18248.5
629,411,Débito,Banco B,37813.24
2898,958,Débito,Banco B,42262.12
1746,2659,Crédito,Banco C,42484.31
77,1177,Débito,Banco B,8262.3
597,969,Débito,Banco B,35154.67
2740,1330,Crédito,Banco B,20954.86
204,1084,Crédito,Banco C,10859.79
1594,1157,Crédito,Banco C,45627.54
2895,643,Débito,Banco B,49399.04
1303,842,Crédito,Banco B,36340.46
2560,2237,Crédito,Banco B,9765.1
1271,785,Crédito,Banco B,23211.66
212,304,Crédito,Banco A,10787.57
377,2253,Crédito,Banco B,30842.2
1164,1339,Crédito,Banco B,31926.28
1297,2160,Crédito,Banco A,40486.12
2117,2882,Crédito,Banco A,3346.25
1471,2807,Débito,Banco A,32448.01
2619,557,Crédito,Banco C,44774.45
177,2270,Débito,Banco B,39331.25
2312,1062,Débito,Banco A,1791.78
2489,2821,Débito,Banco A,4768.93
2931,778,Crédito,Banco C,38313.27
2791,2280,Crédito,Banco A,44417.25
2699,424,Crédito,Banco A,16413.39
538,1587,Crédito,Banco A,3618.6
2451,813,Débito,Banco A,37476.59
2476,2959,Crédito,Banco A,20101.16
2454,353,Crédito,Banco C,7344.43
1389,2362,Débito,Banco C,7899.16
2075,509,Crédito,Banco C,15708.49
348,2570,Débito,Banco A,35441.85
546,101,Débito,Banco B,13006.9
318,711,Crédito,Banco C,24363.44
2661,41,Débito,Banco A,49289.42
1555,1016,Crédito,Banco B,47704.51
164,1312,Crédito,Banco A,40224.61
210,1865,Débito,Banco A,30416.73
126,327,Crédito,Banco B,18037.94
889,757,Crédito,Banco C,49692.5
1074,2604,Crédito,Banco A,24976.29
2685,207,Débito,Banco C,36241.36
1240,1363,Débito,Banco B,30763.15
198,2222,Crédito,Banco C,42669.96
697,1969,Débito,Banco A,39526.86
1629,2773,Débito,Banco A,36133.14
42,2715,Crédito,Banco B,39443.67
287,969,Crédito,Banco C,26615.51
2698,2684,Débito,Banco B,33823.18
1959,1335,Crédito,Banco A,28100.9
497,1544,Crédito,Banco C,37060.65
1353,1807,Débito,Banco B,22336.33
2988,1730,Crédito,Banco B,44027.0
223,1505,Crédito,Banco C,17139.37
2452,2642,Crédito,Banco A,13082.93
1334,1698,Débito,Banco C,25370.08
767,683,Crédito,Banco C,26916.36
905,1649,Crédito,Banco B,23873.87
1017,449,Débito,Banco C,14987.7
1091,713,Débito,Banco C,3740.92
1655,1359,Débito,Banco A,22049.43
1921,87,Débito,Banco A,32300.71
1838,1968,Crédito,Banco C,964.54
675,1625,Débito,Banco A,20316.45
1676,874,Débito,Banco A,23045.49
941,2910,Débito,Banco C,14451.06
223,899,Crédito,Banco C,15731.18
513,866,Débito,Banco A,28934.9
1846,2559,Débito,Banco A,34818.61
1209,309,Crédito,Banco B,20371.45
2970,1274,Crédito,Banco A,15346.04
457,2633,Débito,Banco A,39075.54
142,2518,Débito,Banco C,32864.51
2882,1642,Débito,Banco B,25478.2
2969,2012,Débito,Banco C,13715.92
965,1144,Crédito,Banco C,33156.09
827,1117,Débito,Banco B,13540.0
518,1148,Débito,Banco A,32801.47
1257,1177,Débito,Banco A,3138.78
2270,1922,Débito,Banco A,11298.68
1991,1380,Crédito,Banco A,18755.02
976,17,Débito,Banco C,44744.07
2317,359,Débito,Banco B,9719.85
2538,2371,Débito,Banco B,40085.26
1405,1985,Débito,Banco C,4884.79
1140,819,Débito,Banco B,28338.74
38,2163,Crédito,Banco A,38067.31
2289,584,Crédito,Banco C,24579.51
334,1751,Crédito,Banco A,6996.06
696,2780,Débito,Banco C,42640.47
2475,181,Crédito,Banco B,37229.16
1660,2572,Débito,Banco B,8745.49
2158,2710,Crédito,Banco C,8430.24
1217,1717,Crédito,Banco C,12102.8
2414,1925,Crédito,Banco B,25957.32
1453,111,Débito,Banco A,16004.42
1512,2393,Débito,Banco A,19035.88
2258,2540,Débito,Banco C,30149.06
651,1167,Débito,Banco A,16854.34
1683,664,Débito,Banco A,17547.29
800,2869,Crédito,Banco C,1967.0
2470,1008,Débito,Banco A,47272.57
2145,32,Débito,Banco B,43922.49
471,1866,Débito,Banco A,43772.33
2622,2316,Crédito,Banco C,41956.24
1250,1670,Crédito,Banco B,1630.61
2351,905,Débito,Banco A,34293.89
66,2006,Crédito,Banco A,2119.01
2642,1392,Débito,Banco C,44533.2
1956,1854,Débito,Banco C,42664.35
1383,528,Débito,Banco A,30792.99
2935,2585,Débito,Banco A,31052.83
1853,2760,Débito,Banco B,24319.34
2615,1373,Débito,Banco C,18694.73
2953,202,Crédito,Banco A,10327.09
1625,2359,Crédito,Banco A,36821.78
1106,624,Crédito,Banco C,49864.1
566,2206,Débito,Banco B,14960.29
1330,1287,Crédito,Banco C,26491.62
2834,1094,Débito,Banco A,7275.31
39,462,Crédito,Banco B,44981.91
2293,1278,Débito,Banco A,43164.24
2691,423,Crédito,Banco C,20631.98
2414,1751,Crédito,Banco B,43571.54
914,1857,Débito,Banco C,24002.01
2452,991,Débito,Banco B,41117.23
912,2237,Débito,Banco C,10522.03
2971,2534,Débito,Banco C,31344.86
2853,2004,Débito,Banco A,18570.61
2196,985,Crédito,Banco B,16227.02
1241,679,Débito,Banco A,14725.57
1799,942,Débito,Banco C,15858.1
1055,446,Crédito,Banco C,37479.17
2744,2874,Crédito,Banco C,27815.42
377,208,Débito,Banco B,11281.59
1547,1165,Crédito,Banco B,36107.44
1841,692,Crédito,Banco B,23655.96
2874,2793,Crédito,Banco B,16729.91
835,1061,Débito,Banco C,5315.89
1849,2354,Débito,Banco C,43921.72
497,1757,Débito,Banco C,39035.02
2526,2322,Débito,Banco C,45273.92
1193,2192,Crédito,Banco C,14100.43
2532,285,Débito,Banco C,24188.89
2426,811,Débito,Banco B,16720.86
260,531,Débito,Banco C,13985.34
2120,1245,Débito,Banco B,1349.97
170,1489,Débito,Banco A,33819.22
1498,849,Débito,Banco A,43531.66
470,1428,Débito,Banco B,48858.29
2668,1768,Débito,Banco B,35020.45
1224,1724,Débito,Banco C,10313.25
1984,1272,Crédito,Banco C,32307.04
613,348,Débito,Banco B,20324.15
1204,1475,Débito,Banco A,36315.27
2055,2239,Débito,Banco C,41929.6
280,1369,Débito,Banco B,34761.56
1741,1006,Débito,Banco B,48712.09
1661,1774,Débito,Banco C,42420.18
513,2734,Crédito,Banco B,34823.64
1496,1757,Débito,Banco B,11162.09
792,2003,Crédito,Banco C,25987.38
405,1392,Crédito,Banco C,7667.35
2901,2034,Crédito,Banco B,15468.81
2753,2968,Débito,Banco C,27995.72
1171,2493,Débito,Banco A,19533.27
1149,2936,Débito,Banco C,46941.3
2354,336,Débito,Banco A,25397.4
2868,2153,Crédito,Banco B,31305.19
233,126,Crédito,Banco C,10540.48
894,991,Débito,Banco C,1813.59
724,788,Débito,Banco C,43744.4
2114,592,Crédito,Banco B,35360.61
2190,312,Débito,Banco A,48636.43
2313,261,Crédito,Banco B,5729.38
2289,1854,Débito,Banco C,27199.31
1760,577,Crédito,Banco A,589.29
1252,629,Débito,Banco A,27298.51
1735,2178,Débito,Banco A,40145.67
1686,1801,Débito,Banco A,4217.9
2631,2401,Crédito,Banco B,42436.12
615,506,Débito,Banco C,21560.99
791,843,Débito,Banco C,44760.74
1545,386,Crédito,Banco A,29577.04
1306,1794,Débito,Banco C,1720.73
61,1284,Débito,Banco A,46638.12
898,1556,Débito,Banco C,14786.29
670,2543,Crédito,Banco A,46123.81
977,1484,Débito,Banco B,45756.66
840,1739,Débito,Banco C,18805.93
2420,1174,Débito,Banco C,35253.36
2555,896,Débito,Banco A,26431.18
2705,474,Crédito,Banco C,6480.02
2764,333,Débito,Banco B,29264.11
1128,2262,Débito,Banco C,41495.1
1931,62,Débito,Banco C,32863.24
213,2982,Crédito,Banco C,22036.83
2712,965,Débito,Banco C,16921.82
1085,787,Crédito,Banco B,32858.22
601,633,Crédito,Banco A,35650.64
1955,288,Débito,Banco B,49374.33
2564,2708,Débito,Banco A,33098.72
736,2021,Crédito,Banco B,40383.3
456,107,Crédito,Banco A,27345.0
1559,1453,Débito,Banco B,15836.62
2079,2801,Débito,Banco C,42450.4
2872,1095,Crédito,Banco A,30430.43
102,629,Débito,Banco B,32596.37
1475,1130,Débito,Banco B,43458.23
2983,671,Débito,Banco C,13125.57
314,1584,Débito,Banco C,46616.11
1697,2244,Débito,Banco C,19713.05
2000,884,Débito,Banco C,35464.32
145,1193,Crédito,Banco B,36950.41
2553,1499,Crédito,Banco B,8315.74
2578,1711,Débito,Banco B,30753.77
1548,1569,Débito,Banco C,39586.5
358,252,Débito,Banco A,18309.66
2808,841,Débito,Banco B,21330.2
2043,2762,Crédito,Banco A,32044.55
1687,804,Débito,Banco A,48411.39
1973,131,Crédito,Banco C,34058.31
73,582,Débito,Banco B,28673.09
850,147,Crédito,Banco B,49908.93
2036,2449,Débito,Banco B,49739.66
2629,2541,Crédito,Banco B,21028.15
1180,950,Crédito,Banco A,21415.58
2079,1181,Crédito,Banco A,35589.78
144,2116,Débito,Banco A,39971.97
85,2057,Crédito,Banco B,45922.82
1073,1168,Crédito,Banco A,22604.95
584,732,Crédito,Banco B,19727.64
1752,2289,Débito,Banco A,16935.27
2904,2648,Débito,Banco B,35504.48
364,1474,Débito,Banco A,10508.13
2790,1989,Débito,Banco C,7260.39
1052,2043,Débito,Banco A,18160.29
807,2716,Débito,Banco C,12288.31
2218,602,Débito,Banco B,38027.17
1154,2574,Crédito,Banco A,1082.03
875,875,Crédito,Banco B,8966.43
1829,257,Crédito,Banco B,19181.75
334,2954,Crédito,Banco A,5141.61
1460,102,Débito,Banco A,19614.05
370,1260,Crédito,Banco C,2386.28
1010,2021,Débito,Banco C,32270.51
1907,843,Crédito,Banco A,869.38
854,2051,Crédito,Banco B,13561.3
2851,2243,Crédito,Banco C,22779.28
1401,1115,Crédito,Banco C,3120.26
1656,1025,Crédito,Banco B,38470.7
1218,823,Débito,Banco C,8208.08
1454,166,Débito,Banco C,13883.35
213,338,Crédito,Banco A,49605.88
1188,2720,Débito,Banco C,20930.12
831,73,Crédito,Banco A,27906.66
951,1738,Débito,Banco A,28496.26
2062,2584,Débito,Banco A,25653.95
756,444,Débito,Banco C,31122.43
470,1971,Débito,Banco B,42911.85
28,567,Débito,Banco C,26835.81
1236,686,Débito,Banco C,25896.76
933,108,Débito,Banco C,20451.22
49,306,Crédito,Banco B,27806.86
894,2255,Crédito,Banco C,38926.45
2693,855,Crédito,Banco C,17632.62
1715,945,Crédito,Banco B,48288.95
492,1643,Crédito,Banco B,19656.34
342,1689,Crédito,Banco B,31218.7
732,2900,Débito,Banco A,49463.63
496,70,Crédito,Banco C,8755.17
2354,2040,Débito,Banco B,1345.73
514,760,Débito,Banco B,10008.13
291,2000,Crédito,Banco A,40773.96
1088,1102,Débito,Banco C,9104.73
1341,798,Débito,Banco A,22132.56
2338,1897,Débito,Banco C,13288.06
1095,2437,Crédito,Banco C,4799.43
2181,161,Crédito,Banco B,9400.79
1883,1815,Débito,Banco B,23533.78
983,1253,Débito,Banco A,46440.51
1438,1928,Crédito,Banco B,28553.54
1798,497,Crédito,Banco A,10727.04
1145,33,Débito,Banco C,36188.99
2542,1150,Débito,Banco A,27708.0
1667,2317,Crédito,Banco A,12044.86
1963,2391,Débito,Banco B,713.07
937,127,Crédito,Banco A,25692.52
999,2440,Débito,Banco A,42383.44
139,1556,Débito,Banco A,4591.04
1489,2479,Débito,Banco B,5321.09
345,1921,Débito,Banco A,2710.31
2506,2095,Crédito,Banco C,10600.62
907,2142,Crédito,Banco A,17853.2
2322,724,Crédito,Banco B,12481.13
2231,2304,Débito,Banco A,31572.39
2727,2130,Débito,Banco B,2220.87
1881,1888,Crédito,Banco B,17442.06
35,1261,Crédito,Banco A,14914.01
2238,171,Débito,Banco B,22402.53
2202,907,Crédito,Banco C,29791.3
497,856,Crédito,Banco A,19372.34
2975,104,Crédito,Banco C,21659.46
187,2180,Crédito,Banco B,39880.81
998,696,Crédito,Banco A,43410.04
1628,1670,Crédito,Banco A,32339.9
2423,2556,Débito,Banco B,37804.41
77,2409,Crédito,Banco C,40220.67
911,1035,Débito,Banco B,20894.63
2154,2212,Débito,Banco A,7391.88
1564,2285,Crédito,Banco B,38218.37
2109,2875,Débito,Banco A,28074.41
1554,2018,Crédito,Banco A,3253.15
1231,744,Débito,Banco B,45364.3
1640,1359,Crédito,Banco A,16158.97
1249,824,Crédito,Banco B,21709.94
268,1970,Crédito,Banco C,30191.55
2170,1137,Débito,Banco A,47368.35
171,1323,Crédito,Banco A,23403.31
714,1346,Débito,Banco B,14811.02
2055,2263,Crédito,Banco C,30322.58
1138,2683,Crédito,Banco C,46432.81
490,196,Crédito,Banco C,6946.86
2619,1297,Crédito,Banco C,9098.5
218,119,Crédito,Banco A,36335.31
1132,2952,Débito,Banco C,7040.22
1899,1203,Débito,Banco B,47789.86
144,1168,Crédito,Banco B,26231.83
1333,398,Crédito,Banco B,13975.95
1663,1582,Crédito,Banco A,27660.1
868,2561,Débito,Banco C,13675.68
272,561,Débito,Banco A,29981.78
1489,1268,Crédito,Banco B,10778.38
232,1091,Crédito,Banco A,36779.77
2583,1783,Débito,Banco C,3925.56
301,1920,Crédito,Banco B,45477.0
67,1970,Débito,Banco A,16810.44
442,39,Débito,Banco A,2846.08
367,2282,Débito,Banco B,20647.91
1796,1703,Débito,Banco B,21147.86
883,2361,Crédito,Banco C,45008.02
2660,278,Crédito,Banco C,27719.23
1539,2675,Crédito,Banco B,41585.63
2305,2886,Crédito,Banco A,20225.68
306,1181,Crédito,Banco B,26889.16
873,1203,Débito,Banco B,29222.14
1594,2994,Débito,Banco B,45318.3
2246,719,Débito,Banco B,25314.09
196,865,Crédito,Banco C,17720.17
2312,110,Débito,Banco C,6005.46
1339,1579,Crédito,Banco A,7163.84
2911,262,Débito,Banco B,27097.81
2839,1490,Débito,Banco A,37671.61
2717,2028,Débito,Banco B,3602.39
1084,2703,Débito,Banco C,25262.64
2601,383,Crédito,Banco C,23144.55
1332,95,Débito,Banco C,6364.04
1687,493,Débito,Banco C,32993.75
1401,2730,Crédito,Banco B,4308.09
2081,1963,Débito,Banco A,17283.84
2243,780,Crédito,Banco B,23259.91
323,338,Débito,Banco C,22157.26
1846,935,Crédito,Banco A,37112.94
2947,79,Débito,Banco C,32927.11
1659,603,Crédito,Banco B,40355.11
1206,1778,Débito,Banco A,42344.74
1106,1580,Débito,Banco A,737.12
988,1896,Crédito,Banco B,28013.33
2891,575,Débito,Banco C,42020.39
2868,1203,Crédito,Banco C,27122.86
1433,688,Débito,Banco B,16682.35
2552,24,Crédito,Banco C,46902.0
1455,1137,Crédito,Banco B,45810.52
258,2212,Débito,Banco A,40379.61
1558,766,Crédito,Banco A,16138.46
869,326,Débito,Banco A,26097.62
2097,1140,Crédito,Banco C,43589.81
549,2274,Crédito,Banco B,13150.41
10,1392,Débito,Banco A,11019.9
350,2436,Crédito,Banco C,35978.81
1263,1116,Débito,Banco C,22274.7
2515,2021,Débito,Banco C,15397.34
2747,2302,Débito,Banco A,35022.54
1615,1296,Crédito,Banco C,14826.44
1559,1344,Débito,Banco B,16444.32
1379,1281,Crédito,Banco B,2629.78
2346,328,Crédito,Banco B,39008.51
358,1991,Crédito,Banco B,3090.48
2785,2394,Crédito,Banco B,18878.08
2432,1498,Crédito,Banco A,16810.0
2297,2456,Crédito,Banco B,23740.37
2340,2209,Débito,Banco B,23829.56
2636,2423,Crédito,Banco B,31024.46
2140,2102,Crédito,Banco C,24570.05
625,674,Crédito,Banco B,19326.28
2480,2014,Débito,Banco A,40639.11
2427,1168,Débito,Banco B,32952.29
2942,201,Débito,Banco B,21849.69
1211,2857,Crédito,Banco A,48421.61
710,2492,Crédito,Banco C,30207.17
2545,1754,Débito,Banco B,42347.37
2448,1468,Débito,Banco B,41306.42
2632,2610,Débito,Banco C,11375.92
1614,418,Crédito,Banco C,38282.36
408,647,Débito,Banco C,28969.19
1393,1929,Débito,Banco B,24625.5
2630,584,Débito,Banco A,9628.94
990,2229,Crédito,Banco A,9430.21
1199,1357,Débito,Banco B,33175.07
635,1182,Débito,Banco B,22288.99
2446,2058,Débito,Banco A,11411.47
1622,2738,Débito,Banco C,4742.8
1076,2632,Crédito,Banco B,36134.27
2343,1829,Crédito,Banco A,38194.96
2968,329,Crédito,Banco B,13998.86
1107,2545,Crédito,Banco C,29467.45
1825,818,Débito,Banco A,45815.12
302,573,Débito,Banco C,48460.61
708,612,Débito,Banco C,17768.61
1450,1680,Crédito,Banco C,25605.58
18,2691,Débito,Banco A,47676.57
131,792,Crédito,Banco C,20426.31
184,1355,Débito,Banco C,39976.39
2277,2823,Crédito,Banco B,9988.53
2184,1329,Crédito,Banco C,43090.78
2188,2245,Crédito,Banco B,19853.9
1643,2412,Débito,Banco A,40146.1
1317,2273,Débito,Banco C,30705.03
460,1788,Crédito,Banco B,39377.83
2961,914,Crédito,Banco A,29186.16
328,2675,Débito,Banco B,28026.93
185,2404,Débito,Banco C,32007.34
1352,2671,Débito,Banco A,9252.53
2964,2789,Crédito,Banco C,24547.46
1578,1377,Crédito,Banco A,31382.99
1276,2189,Crédito,Banco A,34726.84
1574,2880,Crédito,Banco A,40699.07
2573,2630,Crédito,Banco B,35393.81
2688,725,Débito,Banco C,7005.61
479,1288,Crédito,Banco C,42609.84
1528,722,Débito,Banco A,18907.28
2973,1384,Crédito,Banco A,44521.3
2704,989,Débito,Banco A,12348.49
346,611,Débito,Banco B,19550.31
2603,1749,Crédito,Banco C,20220.76
2200,2057,Crédito,Banco B,21453.19
1447,2996,Débito,Banco A,14770.29
866,484,Débito,Banco B,6715.25
694,1592,Crédito,Banco C,4145.95
1542,1800,Débito,Banco B,40167.81
1362,484,Débito,Banco A,42065.5
897,1077,Débito,Banco B,12902.9
679,634,Crédito,Banco C,13162.3
1688,643,Débito,Banco A,30763.12
2635,280,Crédito,Banco C,25582.71
2473,1714,Débito,Banco A,32127.6
2288,2614,Débito,Banco B,4523.36
1487,2486,Débito,Banco B,26938.45
2007,1217,Crédito,Banco C,47864.7
950,1613,Crédito,Banco C,13061.64
1991,769,Crédito,Banco B,39530.19
2718,2021,Crédito,Banco B,24612.04
1780,1227,Débito,Banco A,2557.01
2706,694,Crédito,Banco C,14840.63
2597,1987,Crédito,Banco B,44916.97
1824,490,Débito,Banco A,46561.31
2629,277,Crédito,Banco B,2059.21
2160,1208,Débito,Banco A,13337.64
1922,757,Crédito,Banco B,17458.3
2828,2942,Débito,Banco A,44397.41
86,621,Débito,Banco B,48654.26
2088,728,Débito,Banco A,43537.37
2968,685,Débito,Banco A,43794.07
1934,1386,Débito,Banco A,25486.71
1729,961,Crédito,Banco B,37261.93
1193,1576,Débito,Banco C,16405.8
500,1203,Crédito,Banco C,32437.34
871,2178,Débito,Banco B,48279.36
2210,1159,Débito,Banco B,34668.76
2024,1766,Crédito,Banco A,39181.06
2054,476,Débito,Banco B,12290.77
290,490,Crédito,Banco C,40477.08
1649,828,Débito,Banco A,21274.39
2879,652,Crédito,Banco A,45142.24
226,667,Débito,Banco B,27458.51
1080,2832,Crédito,Banco C,20796.41
2877,1817,Crédito,Banco B,4670.89
2661,1664,Débito,Banco A,10076.41
752,2516,Débito,Banco A,6159.56
2499,2634,Crédito,Banco C,8065.79
2550,1837,Crédito,Banco B,36985.56
2644,338,Débito,Banco A,9074.27
2811,1762,Crédito,Banco C,3092.05
1202,2813,Débito,Banco C,18997.45
1893,592,Crédito,Banco C,15933.32
1851,1904,Crédito,Banco C,7586.3
2654,2342,Crédito,Banco A,29446.8
2666,398,Crédito,Banco C,19292.09
585,899,Débito,Banco C,28029.47
954,159,Crédito,Banco A,28547.61
1646,717,Crédito,Banco B,21371.39
677,1438,Crédito,Banco A,34993.66
542,2702,Débito,Banco A,39083.92
1364,1310,Débito,Banco C,32020.87
1100,2291,Débito,Banco B,7725.79
2241,969,Débito,Banco B,43867.49
2466,2640,Crédito,Banco C,27933.39
330,1907,Débito,Banco A,15308.79
33,1546,Crédito,Banco A,47217.32
1123,807,Crédito,Banco C,5682.6
2149,663,Crédito,Banco B,6010.11
1286,2018,Débito,Banco C,38471.18
532,1545,Crédito,Banco C,35879.86
1609,154,Crédito,Banco C,44709.78
1991,2286,Crédito,Banco C,16449.64
1859,2652,Débito,Banco A,37692.41
690,708,Crédito,Banco A,24018.06
2361,1570,Débito,Banco C,35724.26
1937,2284,Crédito,Banco B,20771.01
1106,180,Crédito,Banco C,16817.2
1740,578,Crédito,Banco A,33040.93
2643,350,Débito,Banco B,9146.64
854,2919,Crédito,Banco B,23818.15
737,2333,Débito,Banco B,17386.26
372,418,Crédito,Banco A,27210.86
220,1911,Débito,Banco C,31279.01
1465,2190,Débito,Banco C,33759.19
2963,2397,Crédito,Banco A,36804.75
450,1688,Débito,Banco B,48801.13
1104,2395,Crédito,Banco A,2550.16
1092,1707,Débito,Banco A,48061.59
2358,2258,Débito,Banco A,23263.89
2869,1285,Débito,Banco A,43155.55
2064,251,Crédito,Banco B,24988.88
1423,873,Crédito,Banco C,31563.75
1841,1058,Crédito,Banco B,34382.27
2383,2782,Débito,Banco A,13284.66
1680,2482,Débito,Banco A,19905.72
74,1984,Débito,Banco A,25378.78
129,2020,Débito,Banco A,24708.33
1213,1203,Crédito,Banco B,42062.13
2937,2371,Crédito,Banco B,11418.75
2178,661,Débito,Banco B,38498.86
2444,1417,Crédito,Banco A,12895.18
451,2385,Crédito,Banco A,5299.98
1772,636,Crédito,Banco C,1195.64
2752,1762,Crédito,Banco C,39900.19
2170,1201,Crédito,Banco C,4765.68
2391,1137,Débito,Banco B,18688.49
1079,350,Débito,Banco B,7029.61
725,2347,Crédito,Banco C,533.05
1129,635,Crédito,Banco C,3881.69
2908,1862,Débito,Banco C,47518.48
605,2831,Débito,Banco C,41479.4
1342,2687,Débito,Banco C,36408.38
2187,270,Débito,Banco C,35430.08
837,740,Crédito,Banco C,42732.79
2462,1330,Débito,Banco A,35304.73
1387,2945,Débito,Banco A,4847.88
1433,1183,Crédito,Banco B,7666.56
1687,196,Débito,Banco C,27046.05
