Cliente_ID,Cuenta_ID,Fecha_Apertura,Estado,Tipo_Cuenta
519,1029,2020-01-28,Activa,Ahorro
1126,1224,2021-01-02,Inactiva,Ahorro
2496,2334,2022-01-13,Activa,Corriente
1512,947,2023-09-02,Activa,Corriente
1866,1828,2022-06-26,Activa,Corriente
328,2788,2023-10-16,Inactiva,Corriente
278,2277,2020-10-09,Inactiva,Corriente
2563,2539,2022-03-01,Inactiva,Corriente
1885,1261,2020-04-19,Activa,Corriente
1394,2142,2023-11-13,Inactiva,Corriente
2775,2420,2022-05-07,Inactiva,Corriente
187,2318,2021-03-18,Activa,Corriente
539,1099,2021-10-01,Inactiva,Ahorro
2016,2598,2022-03-13,Inactiva,Corriente
571,1954,2020-05-25,Activa,Corriente
1568,2773,2020-12-20,Inactiva,Ahorro
2732,1948,2023-10-09,Activa,Ahorro
1773,390,2020-08-16,Activa,Ahorro
2962,204,2021-10-08,Inactiva,Corriente
1555,2888,2022-07-15,Inactiva,Ahorro
10,2700,2021-09-19,Inactiva,Corriente
234,2049,2022-07-22,Activa,Ahorro
2702,2694,2020-01-12,Inactiva,Ahorro
1431,2267,2021-11-25,Activa,Ahorro
739,2968,2023-04-27,Inactiva,Ahorro
2310,2659,2020-01-19,Activa,Corriente
763,1715,2021-03-13,Activa,Corriente
2982,597,2021-11-01,Activa,Corriente
1973,697,2020-05-06,Activa,Ahorro
965,1161,2020-04-16,Activa,Ahorro
2897,1863,2023-01-22,Inactiva,Corriente
755,334,2023-12-11,Inactiva,Ahorro
760,2771,2021-09-12,Activa,Ahorro
1502,397,2022-06-26,Activa,Corriente
2434,927,2021-08-26,Inactiva,Corriente
683,843,2022-09-29,Inactiva,Corriente
2345,1624,2021-06-21,Activa,Ahorro
2724,1206,2020-06-23,Inactiva,Ahorro
869,1769,2021-08-22,Inactiva,Corriente
2318,622,2022-09-30,Activa,Ahorro
2908,662,2022-05-12,Inactiva,Ahorro
2228,1919,2021-08-17,Inactiva,Corriente
1437,546,2023-04-04,Activa,Ahorro
98,277,2020-12-07,Inactiva,Corriente
644,1038,2023-04-14,Inactiva,Ahorro
1464,1748,2022-03-23,Inactiva,Corriente
1128,1765,2022-05-30,Activa,Ahorro
2868,714,2023-06-08,Activa,Corriente
2463,599,2022-02-06,Activa,Corriente
991,933,2020-01-30,Activa,Corriente
2066,781,2023-04-30,Activa,Ahorro
778,727,2020-03-21,Activa,Ahorro
2288,1902,2023-07-30,Inactiva,Ahorro
2153,1967,2023-06-10,Activa,Corriente
2236,1019,2022-12-26,Inactiva,Ahorro
2511,482,2020-06-10,Activa,Corriente
2817,95,2023-08-07,Activa,Ahorro
1045,1122,2020-04-27,Inactiva,Corriente
2580,200,2023-01-06,Inactiva,Corriente
846,732,2022-05-24,Inactiva,Corriente
2146,2941,2023-01-13,Inactiva,Ahorro
410,2573,2021-03-28,Activa,Ahorro
880,1644,2023-07-26,Inactiva,Ahorro
1227,2436,2022-04-27,Activa,Corriente
1846,400,2023-04-03,Activa,Corriente
331,1376,2023-01-26,Activa,Ahorro
1865,483,2021-01-05,Inactiva,Corriente
1916,606,2022-09-24,Inactiva,Ahorro
2451,2729,2022-03-09,Inactiva,Corriente
1511,2329,2023-09-25,Activa,Ahorro
1490,2188,2022-05-22,Inactiva,Corriente
28,995,2023-12-10,Activa,Corriente
771,2337,2021-10-26,Activa,Corriente
939,604,2022-03-11,Inactiva,Corriente
1996,1207,2020-01-15,Inactiva,Corriente
623,946,2022-05-03,Inactiva,Ahorro
1848,354,2021-10-23,Activa,Ahorro
2032,1829,2023-10-22,Inactiva,Corriente
1213,1712,2020-04-14,Inactiva,Corriente
994,865,2023-03-14,Activa,Corriente
2144,253,2020-04-01,Activa,Ahorro
2898,1297,2021-05-08,Inactiva,Corriente
791,273,2022-07-10,Inactiva,Corriente
2069,248,2023-09-12,Activa,Corriente
466,2651,2022-03-27,Activa,Corriente
2462,555,2021-03-13,Inactiva,Ahorro
2445,649,2020-06-23,Inactiva,Ahorro
152,776,2022-09-25,Activa,Corriente
1825,2911,2020-12-15,Inactiva,Corriente
794,2888,2021-07-05,Activa,Corriente
880,2473,2022-01-04,Inactiva,Corriente
568,2825,2022-03-12,Activa,Ahorro
2612,1244,2023-12-20,Inactiva,Corriente
255,2115,2020-02-20,Activa,Corriente
2612,2095,2023-01-22,Inactiva,Ahorro
850,2350,2020-09-30,Inactiva,Ahorro
43,2529,2020-01-18,Inactiva,Ahorro
1332,896,2020-03-02,Inactiva,Corriente
2462,2252,2023-02-25,Inactiva,Corriente
320,910,2022-01-21,Inactiva,Corriente
978,1120,2023-08-21,Inactiva,Ahorro
2078,158,2021-12-07,Activa,Ahorro
2365,1341,2021-04-04,Inactiva,Ahorro
1838,2354,2022-10-11,Activa,Corriente
1349,2184,2020-07-03,Inactiva,Ahorro
651,865,2022-07-11,Activa,Corriente
2032,1851,2023-12-16,Inactiva,Corriente
2465,845,2022-12-04,Inactiva,Ahorro
2173,2113,2021-09-28,Activa,Corriente
953,1735,2020-08-07,Activa,Ahorro
2363,1947,2021-10-02,Activa,Corriente
2445,2431,2020-12-02,Activa,Corriente
1709,947,2020-03-24,Activa,Ahorro
144,1963,2023-06-25,Activa,Ahorro
2548,2016,2023-02-27,Activa,Ahorro
2583,2471,2023-07-20,Activa,Corriente
90,2434,2020-11-24,Activa,Ahorro
1386,1064,2020-08-14,Activa,Ahorro
1569,820,2020-08-21,Activa,Ahorro
507,2359,2022-12-24,Inactiva,Corriente
2953,1927,2020-12-13,Inactiva,Corriente
1771,1568,2020-06-18,Inactiva,Corriente
570,1283,2021-08-07,Activa,Ahorro
2218,684,2021-07-12,Activa,Ahorro
310,1384,2023-07-31,Inactiva,Ahorro
769,299,2022-04-02,Inactiva,Ahorro
2940,714,2023-01-24,Activa,Ahorro
2481,1536,2022-08-28,Activa,Corriente
1985,2258,2020-09-28,Inactiva,Ahorro
1410,2228,2023-11-30,Inactiva,Ahorro
177,2619,2022-03-27,Inactiva,Ahorro
2653,2915,2022-04-26,Inactiva,Ahorro
114,1538,2022-10-09,Inactiva,Corriente
42,761,2020-04-18,Activa,Corriente
218,574,2022-04-16,Activa,Corriente
2703,556,2022-12-10,Activa,Ahorro
1470,1914,2021-11-26,Inactiva,Corriente
150,2138,2022-08-14,Activa,Ahorro
747,1517,2023-03-05,Activa,Corriente
2293,1163,2020-03-06,Activa,Ahorro
2117,638,2023-06-01,Activa,Corriente
1607,1117,2020-12-26,Inactiva,Ahorro
674,2441,2023-10-05,Inactiva,Ahorro
2246,1955,2020-04-01,Activa,Ahorro
136,497,2020-07-25,Activa,Corriente
522,2401,2020-07-27,Inactiva,Ahorro
165,2130,2021-10-23,Activa,Ahorro
2006,2129,2022-11-13,Inactiva,Ahorro
191,1811,2021-12-06,Inactiva,Ahorro
2243,457,2020-02-11,Inactiva,Ahorro
2789,2214,2020-05-12,Activa,Ahorro
859,1790,2023-11-26,Activa,Ahorro
562,2523,2023-09-16,Inactiva,Corriente
824,468,2021-02-16,Activa,Ahorro
1148,1521,2020-03-18,Inactiva,Corriente
2720,528,2020-01-23,Activa,Corriente
1709,1030,2020-01-27,Inactiva,Corriente
1887,757,2021-02-18,Inactiva,Ahorro
1071,1669,2020-03-04,Inactiva,Ahorro
1279,1621,2023-05-10,Inactiva,Ahorro
918,724,2022-10-31,Inactiva,Ahorro
674,2528,2021-01-13,Inactiva,Corriente
562,686,2021-11-14,Activa,Ahorro
1708,1108,2022-04-05,Inactiva,Ahorro
2315,1513,2020-03-04,Inactiva,Ahorro
2662,799,2021-05-29,Activa,Ahorro
2261,1614,2021-06-05,Activa,Corriente
8,2913,2023-10-01,Inactiva,Ahorro
840,1050,2023-03-31,Inactiva,Ahorro
831,2212,2022-07-21,Activa,Corriente
696,2711,2022-02-04,Activa,Ahorro
2670,2068,2020-06-08,Inactiva,Corriente
1548,2026,2020-07-12,Activa,Corriente
1359,2044,2021-05-30,Activa,Corriente
2525,415,2023-06-21,Activa,Corriente
2375,205,2023-10-12,Inactiva,Ahorro
644,2222,2020-09-07,Inactiva,Corriente
1100,2349,2022-02-08,Activa,Corriente
2552,1691,2023-06-08,Activa,Ahorro
1777,766,2020-01-01,Inactiva,Corriente
2068,2994,2022-08-01,Inactiva,Corriente
1042,612,2021-05-21,Inactiva,Corriente
403,429,2021-01-18,Activa,Corriente
991,997,2021-03-20,Inactiva,Ahorro
2107,2833,2020-05-25,Inactiva,Corriente
2677,1659,2023-08-27,Activa,Corriente
1516,863,2021-10-29,Activa,Ahorro
1244,1767,2020-12-12,Activa,Ahorro
990,1340,2020-06-21,Inactiva,Corriente
2920,1186,2021-02-08,Activa,Ahorro
1685,1347,2020-09-08,Activa,Corriente
1518,2708,2022-04-14,Activa,Ahorro
1485,2254,2023-05-11,Activa,Corriente
1212,238,2021-12-28,Inactiva,Corriente
1332,2562,2020-07-05,Activa,Ahorro
1766,941,2023-05-01,Inactiva,Corriente
643,2409,2022-12-04,Inactiva,Ahorro
2339,724,2020-09-29,Inactiva,Ahorro
245,197,2023-11-30,Inactiva,Ahorro
2062,2017,2020-10-13,Activa,Corriente
2058,2958,2022-11-22,Inactiva,Ahorro
1059,891,2023-06-22,Activa,Corriente
492,1299,2023-10-18,Activa,Corriente
1333,1758,2020-10-26,Inactiva,Corriente
2342,1668,2023-11-10,Activa,Corriente
953,2845,2021-11-21,Activa,Corriente
1738,621,2023-07-04,Activa,Corriente
17,1251,2022-06-25,Inactiva,Corriente
2436,1198,2021-04-08,Inactiva,Corriente
1689,742,2022-08-10,Activa,Corriente
1153,1617,2023-09-30,Inactiva,Corriente
1886,2293,2023-11-15,Inactiva,Ahorro
2208,494,2020-04-02,Activa,Corriente
1031,245,2022-05-17,Activa,Corriente
2480,1998,2023-06-29,Inactiva,Corriente
1981,869,2021-10-13,Activa,Corriente
130,1668,2020-08-09,Inactiva,Ahorro
1665,737,2023-10-01,Inactiva,Ahorro
136,2825,2022-07-04,Inactiva,Ahorro
32,453,2023-11-24,Activa,Ahorro
699,1451,2021-12-05,Activa,Corriente
48,455,2022-01-23,Inactiva,Corriente
2093,562,2022-06-16,Activa,Ahorro
921,2412,2022-07-01,Inactiva,Ahorro
1858,1626,2021-12-04,Activa,Ahorro
2478,751,2023-07-11,Activa,Ahorro
2813,256,2021-12-01,Activa,Ahorro
2631,1533,2021-11-15,Activa,Corriente
479,1014,2022-03-11,Inactiva,Corriente
142,2092,2020-09-07,Inactiva,Ahorro
1237,655,2023-12-03,Inactiva,Ahorro
2922,718,2021-09-21,Inactiva,Corriente
814,2382,2021-11-29,Activa,Corriente
2912,313,2020-04-02,Inactiva,Corriente
2246,1311,2023-01-20,Inactiva,Corriente
1460,1407,2020-10-04,Inactiva,Ahorro
1007,517,2022-06-30,Inactiva,Corriente
2573,2445,2022-03-28,Inactiva,Corriente
1024,1642,2022-09-11,Inactiva,Ahorro
2185,1373,2022-11-21,Inactiva,Corriente
1385,667,2022-09-08,Inactiva,Corriente
1068,2669,2022-12-10,Inactiva,Ahorro
919,224,2020-11-18,Inactiva,Corriente
2641,58,2023-10-21,Activa,Corriente
2479,2504,2023-09-25,Activa,Corriente
2267,1371,2020-07-26,Activa,Ahorro
2957,1207,2021-02-01,Inactiva,Ahorro
1284,2155,2023-12-03,Inactiva,Ahorro
2088,1231,2020-07-31,Activa,Ahorro
1196,673,2020-07-14,Inactiva,Corriente
1088,1338,2020-04-13,Activa,Corriente
364,890,2021-11-14,Activa,Ahorro
2832,2987,2020-05-14,Activa,Corriente
1017,2976,2022-06-15,Activa,Corriente
1678,2856,2022-07-01,Inactiva,Ahorro
2815,2361,2021-01-05,Activa,Ahorro
2792,342,2022-10-21,Inactiva,Corriente
874,614,2022-10-21,Inactiva,Corriente
1014,1900,2022-02-15,Activa,Corriente
1922,270,2022-07-12,Inactiva,Ahorro
162,1613,2022-09-27,Activa,Corriente
2644,1200,2021-06-27,Activa,Ahorro
1104,1583,2021-12-30,Inactiva,Ahorro
321,2805,2023-03-09,Inactiva,Corriente
492,517,2022-01-19,Activa,Ahorro
258,2168,2020-02-04,Activa,Ahorro
465,2525,2023-10-11,Activa,Corriente
2555,2406,2020-08-13,Inactiva,Ahorro
1223,44,2023-12-29,Inactiva,Corriente
2549,2328,2020-02-27,Inactiva,Ahorro
1174,2279,2020-05-24,Activa,Corriente
1353,170,2023-05-10,Activa,Ahorro
1483,98,2020-12-11,Inactiva,Ahorro
2240,2979,2020-03-03,Activa,Ahorro
1830,376,2021-01-16,Activa,Corriente
47,2417,2023-11-24,Inactiva,Corriente
960,2060,2023-10-13,Inactiva,Ahorro
172,2651,2020-05-07,Inactiva,Corriente
1892,646,2020-10-18,Inactiva,Corriente
1385,844,2022-03-30,Activa,Ahorro
902,1507,2021-07-18,Activa,Corriente
570,2994,2022-12-15,Inactiva,Ahorro
216,226,2020-06-24,Activa,Ahorro
2555,2877,2021-12-09,Activa,Corriente
2091,2916,2023-09-17,Activa,Ahorro
1396,713,2023-07-24,Inactiva,Corriente
2875,1979,2023-12-05,Activa,Corriente
281,1703,2021-02-17,Activa,Ahorro
2499,1348,2020-05-11,Inactiva,Ahorro
1412,676,2020-08-01,Activa,Corriente
120,2896,2022-09-19,Activa,Ahorro
1735,677,2021-11-13,Inactiva,Ahorro
1222,1513,2022-02-04,Activa,Ahorro
278,289,2022-08-11,Activa,Ahorro
257,693,2020-12-31,Activa,Corriente
2669,2530,2020-12-06,Inactiva,Corriente
1581,593,2021-02-01,Inactiva,Corriente
1237,1328,2021-05-30,Activa,Ahorro
452,2171,2020-11-09,Activa,Corriente
2412,1845,2022-06-02,Activa,Corriente
1265,2960,2022-12-29,Inactiva,Ahorro
924,2010,2020-10-09,Inactiva,Ahorro
10,2776,2023-01-19,Inactiva,Corriente
2772,23,2023-11-23,Activa,Ahorro
2930,488,2021-10-08,Activa,Corriente
597,1940,2022-12-23,Activa,Ahorro
2547,1692,2020-10-27,Activa,Corriente
2362,1197,2023-12-01,Inactiva,Corriente
1143,2524,2022-11-11,Activa,Ahorro
1753,879,2022-07-16,Inactiva,Corriente
1359,959,2023-10-11,Inactiva,Ahorro
658,1285,2022-03-30,Activa,Ahorro
1635,1320,2020-06-27,Inactiva,Corriente
1914,2183,2023-07-10,Activa,Ahorro
2834,2439,2020-04-23,Inactiva,Corriente
402,1967,2020-01-19,Inactiva,Corriente
2544,1452,2021-10-04,Inactiva,Ahorro
1028,54,2022-11-26,Activa,Ahorro
604,377,2023-08-17,Inactiva,Corriente
1299,640,2023-03-15,Activa,Ahorro
1892,1591,2021-06-23,Activa,Corriente
226,2331,2021-11-24,Activa,Corriente
94,158,2020-10-07,Inactiva,Corriente
791,1435,2023-08-08,Inactiva,Corriente
2596,326,2021-10-22,Inactiva,Ahorro
2631,1383,2022-11-24,Inactiva,Corriente
1487,1011,2022-08-30,Inactiva,Ahorro
1515,1286,2022-11-24,Activa,Ahorro
201,1093,2021-06-25,Activa,Corriente
118,2544,2020-02-03,Inactiva,Corriente
2607,1622,2022-07-15,Inactiva,Corriente
2510,550,2020-09-14,Inactiva,Corriente
156,1816,2020-04-10,Activa,Ahorro
2273,2410,2023-10-28,Activa,Corriente
1523,1049,2023-12-24,Inactiva,Ahorro
2582,526,2023-05-27,Activa,Corriente
1239,1638,2020-12-05,Activa,Corriente
2551,2134,2021-07-27,Activa,Corriente
1067,1246,2023-09-18,Activa,Corriente
1681,211,2021-04-27,Activa,Ahorro
2101,280,2020-09-28,Inactiva,Corriente
2429,457,2021-03-04,Activa,Ahorro
38,1613,2022-01-31,Inactiva,Ahorro
2956,354,2020-08-13,Activa,Corriente
2608,1864,2023-09-10,Inactiva,Corriente
1498,2277,2021-07-28,Activa,Corriente
146,180,2021-09-17,Activa,Ahorro
2720,1225,2020-11-24,Activa,Corriente
194,149,2022-08-20,Inactiva,Ahorro
302,2120,2023-08-26,Activa,Ahorro
1134,310,2023-10-31,Activa,Ahorro
671,703,2023-05-22,Inactiva,Ahorro
2143,2988,2022-07-12,Inactiva,Ahorro
1247,2540,2022-12-30,Inactiva,Corriente
1417,1487,2020-01-06,Inactiva,Ahorro
1482,1056,2020-02-23,Activa,Ahorro
944,1241,2023-04-28,Activa,Ahorro
2386,2181,2023-05-14,Activa,Ahorro
2098,1076,2023-05-09,Activa,Corriente
483,2536,2022-01-04,Inactiva,Ahorro
2653,2285,2023-03-22,Inactiva,Corriente
606,261,2022-09-11,Activa,Ahorro
738,2413,2022-01-27,Activa,Corriente
2706,272,2022-07-10,Inactiva,Corriente
847,120,2022-06-30,Activa,Ahorro
2982,2631,2020-07-20,Activa,Ahorro
169,714,2023-10-27,Activa,Ahorro
492,1952,2022-05-07,Inactiva,Corriente
2823,193,2022-07-02,Inactiva,Ahorro
551,648,2023-02-15,Inactiva,Ahorro
949,635,2021-07-28,Activa,Ahorro
303,156,2021-02-20,Activa,Corriente
1022,2406,2022-03-11,Activa,Ahorro
1821,1336,2022-01-11,Inactiva,Ahorro
1337,870,2022-11-02,Inactiva,Ahorro
2708,1257,2020-01-14,Activa,Ahorro
1709,340,2023-10-09,Inactiva,Corriente
2227,1547,2022-08-17,Inactiva,Corriente
1357,2049,2022-09-30,Inactiva,Ahorro
663,387,2020-08-31,Activa,Ahorro
1204,1446,2022-01-30,Inactiva,Corriente
2299,46,2023-06-25,Inactiva,Ahorro
1146,709,2022-06-28,Activa,Corriente
1138,1508,2022-06-08,Inactiva,Corriente
2760,341,2023-08-07,Inactiva,Ahorro
2309,2304,2023-06-08,Inactiva,Corriente
2048,1090,2021-03-25,Activa,Corriente
241,573,2022-02-22,Inactiva,Corriente
2297,893,2020-08-26,Activa,Ahorro
1395,1397,2020-07-17,Inactiva,Ahorro
1151,803,2023-03-05,Activa,Corriente
732,434,2021-02-02,Activa,Ahorro
2006,1976,2022-05-04,Activa,Corriente
1304,896,2023-08-08,Activa,Ahorro
346,1125,2021-06-10,Activa,Ahorro
1589,1053,2023-11-04,Inactiva,Ahorro
2659,1359,2023-11-13,Inactiva,Corriente
965,1502,2020-03-31,Inactiva,Ahorro
1914,2230,2021-12-17,Activa,Corriente
561,1022,2021-11-05,Activa,Ahorro
1418,68,2021-12-29,Activa,Ahorro
1406,1210,2023-10-17,Inactiva,Ahorro
2206,2400,2021-04-17,Activa,Corriente
1314,2924,2023-03-29,Inactiva,Ahorro
1123,1402,2020-12-08,Activa,Ahorro
681,1423,2022-01-27,Activa,Corriente
1373,2414,2021-07-01,Activa,Ahorro
2978,1808,2020-10-22,Inactiva,Ahorro
2404,152,2020-12-21,Activa,Ahorro
121,1227,2020-03-29,Inactiva,Ahorro
2049,2955,2023-12-27,Inactiva,Corriente
612,2005,2021-12-12,Activa,Corriente
2592,2600,2020-02-26,Activa,Corriente
1401,379,2021-04-22,Activa,Corriente
1158,677,2020-06-02,Activa,Ahorro
1615,2039,2020-07-22,Inactiva,Corriente
858,393,2021-07-03,Inactiva,Corriente
1512,545,2021-05-30,Activa,Ahorro
1244,770,2023-05-30,Inactiva,Ahorro
2578,1487,2020-05-14,Inactiva,Corriente
643,2509,2023-04-21,Activa,Corriente
62,290,2021-07-28,Inactiva,Corriente
345,1391,2021-09-17,Inactiva,Ahorro
1188,1315,2020-08-13,Activa,Corriente
2047,2848,2020-03-27,Activa,Ahorro
1944,110,2023-12-19,Inactiva,Ahorro
969,833,2022-12-03,Inactiva,Corriente
2375,966,2022-03-25,Inactiva,Ahorro
879,1921,2022-08-12,Inactiva,Corriente
1994,177,2021-02-23,Activa,Corriente
2532,1757,2022-05-09,Activa,Ahorro
2244,819,2023-10-14,Activa,Ahorro
1304,2762,2020-07-14,Activa,Ahorro
2286,1646,2023-04-16,Inactiva,Corriente
2158,2319,2020-09-04,Inactiva,Ahorro
240,2113,2020-02-04,Activa,Ahorro
863,69,2021-03-02,Inactiva,Ahorro
679,1221,2023-11-12,Activa,Corriente
1106,2070,2020-09-06,Activa,Corriente
2452,2766,2020-02-21,Activa,Ahorro
2621,159,2022-03-12,Activa,Corriente
2450,2200,2023-03-03,Activa,Ahorro
483,1317,2023-07-13,Inactiva,Ahorro
162,976,2021-12-07,Inactiva,Ahorro
2311,2301,2020-01-25,Inactiva,Ahorro
1016,166,2022-03-18,Activa,Ahorro
2174,2655,2021-02-27,Inactiva,Ahorro
1164,2358,2021-06-21,Inactiva,Ahorro
1601,468,2023-09-28,Activa,Ahorro
1711,43,2023-07-04,Inactiva,Ahorro
2875,1890,2022-01-08,Activa,Ahorro
2030,993,2022-02-02,Inactiva,Ahorro
464,2003,2020-03-09,Activa,Ahorro
1343,951,2020-09-23,Inactiva,Ahorro
2810,975,2023-08-03,Inactiva,Corriente
2868,780,2020-05-26,Activa,Ahorro
2005,963,2023-11-23,Activa,Ahorro
109,806,2022-09-01,Inactiva,Ahorro
1334,1114,2023-02-01,Activa,Corriente
2792,231,2021-03-19,Activa,Corriente
1708,2596,2021-05-28,Inactiva,Corriente
360,2905,2020-07-02,Inactiva,Corriente
2850,1793,2022-09-24,Inactiva,Corriente
1568,2009,2022-08-09,Inactiva,Corriente
2877,3,2022-08-07,Inactiva,Ahorro
2414,1598,2021-03-18,Inactiva,Ahorro
150,2518,2023-02-16,Activa,Ahorro
1593,1157,2021-01-19,Activa,Corriente
553,2903,2020-05-29,Activa,Corriente
162,1948,2021-04-26,Activa,Ahorro
1191,1988,2022-05-12,Activa,Ahorro
2116,1396,2020-07-27,Activa,Ahorro
2585,63,2021-09-24,Activa,Ahorro
2907,926,2021-05-07,Inactiva,Ahorro
935,1577,2023-01-14,Inactiva,Ahorro
2572,733,2022-04-19,Inactiva,Ahorro
1794,2644,2022-12-04,Activa,Ahorro
508,1684,2022-06-13,Inactiva,Corriente
1006,1127,2023-07-20,Inactiva,Corriente
2315,1077,2023-04-12,Activa,Corriente
1015,1571,2023-10-09,Activa,Corriente
1471,1829,2022-03-10,Inactiva,Corriente
196,1267,2020-12-27,Activa,Corriente
2905,1778,2020-03-23,Activa,Corriente
2627,2166,2023-09-27,Activa,Corriente
2286,1374,2021-06-11,Activa,Ahorro
1081,1511,2022-06-30,Activa,Ahorro
2447,2553,2023-01-28,Inactiva,Corriente
2714,2880,2023-08-02,Inactiva,Corriente
1214,1477,2022-02-15,Activa,Ahorro
2166,798,2021-12-25,Activa,Corriente
2690,1229,2022-08-29,Activa,Corriente
2110,2806,2023-09-11,Inactiva,Corriente
606,242,2022-03-13,Inactiva,Corriente
1203,2648,2022-10-12,Inactiva,Ahorro
1955,1972,2023-06-09,Activa,Corriente
1584,2288,2022-10-29,Inactiva,Corriente
1727,1308,2020-12-03,Activa,Ahorro
524,1943,2021-12-09,Activa,Ahorro
24,2487,2021-10-04,Inactiva,Ahorro
2941,2013,2022-01-24,Inactiva,Corriente
2716,310,2022-03-03,Activa,Ahorro
438,2777,2022-01-31,Activa,Ahorro
247,12,2022-04-25,Inactiva,Corriente
2369,1938,2023-10-20,Inactiva,Ahorro
274,524,2023-01-16,Inactiva,Ahorro
513,539,2020-11-11,Activa,Corriente
402,676,2023-02-04,Inactiva,Ahorro
554,2388,2022-04-13,Activa,Corriente
1616,1484,2020-06-05,Activa,Corriente
55,2771,2022-09-09,Activa,Corriente
1754,1343,2022-10-28,Activa,Ahorro
1290,2236,2022-09-13,Activa,Ahorro
1490,1845,2020-09-03,Inactiva,Corriente
2021,880,2020-04-29,Activa,Corriente
1691,2123,2020-01-10,Activa,Corriente
1738,1480,2020-01-07,Activa,Corriente
280,2931,2022-01-26,Inactiva,Corriente
1480,1647,2023-05-22,Inactiva,Corriente
547,1370,2020-09-06,Inactiva,Corriente
1902,2010,2020-05-07,Inactiva,Corriente
1267,2544,2020-11-07,Inactiva,Ahorro
1855,1346,2023-03-07,Inactiva,Corriente
993,1391,2022-08-22,Activa,Corriente
2015,1456,2022-12-23,Inactiva,Corriente
1236,1933,2022-04-05,Activa,Ahorro
166,1449,2020-03-24,Activa,Corriente
2303,1252,2021-11-01,Activa,Ahorro
324,2700,2021-01-17,Inactiva,Ahorro
2799,469,2020-02-25,Inactiva,Corriente
2233,229,2021-10-14,Inactiva,Corriente
849,466,2022-09-04,Inactiva,Ahorro
40,1559,2021-08-15,Inactiva,Ahorro
209,86,2020-09-06,Inactiva,Ahorro
316,900,2020-11-12,Activa,Corriente
1735,2875,2022-06-22,Activa,Ahorro
2957,2622,2021-04-12,Activa,Corriente
715,1789,2022-02-15,Activa,Corriente
1575,1293,2021-10-28,Inactiva,Ahorro
2662,1001,2023-12-31,Activa,Corriente
1569,1650,2022-03-07,Inactiva,Corriente
2545,2028,2021-01-23,Activa,Corriente
951,1383,2020-05-20,Activa,Corriente
2785,2585,2021-08-17,Activa,Corriente
1186,171,2020-09-25,Activa,Ahorro
1361,1103,2023-01-21,Inactiva,Corriente
792,513,2020-07-05,Activa,Ahorro
469,1214,2023-05-03,Inactiva,Ahorro
1907,902,2022-08-12,Inactiva,Ahorro
1011,2284,2021-06-16,Activa,Ahorro
609,2874,2022-03-18,Inactiva,Ahorro
1341,852,2020-06-04,Activa,Ahorro
1531,1808,2022-01-28,Inactiva,Corriente
2958,1840,2022-11-17,Activa,Ahorro
1496,216,2022-07-07,Inactiva,Corriente
2051,2038,2022-02-06,Activa,Ahorro
2753,2944,2020-11-02,Inactiva,Ahorro
387,2761,2023-01-16,Activa,Corriente
916,52,2022-06-26,Inactiva,Ahorro
