Transaccion_ID,Comercio_ID,Tipo_Comercio,País,Validación
3762,1356,Alimentos,México,Fallida
46,1108,Retail,Guatemala,Fallida
514,1456,Electrónica,Guatemala,Fallida
2929,902,Alimentos,Guatemala,Exitosa
1704,1204,Retail,Colombia,Fallida
4627,626,Retail,Colombia,Exitosa
3846,1589,Alimentos,Guatemala,Exitosa
4417,378,Alimentos,México,Fallida
722,755,Alimentos,México,Fallida
1496,1674,Retail,Colombia,Exitosa
3292,1387,Electrónica,Colombia,Exitosa
3599,249,Retail,Guatemala,Exitosa
4140,735,Alimentos,Colombia,Exitosa
1617,1024,Alimentos,México,Fallida
3977,1649,Retail,México,Fallida
2370,934,Retail,Colombia,Exitosa
947,1513,Retail,Guatemala,Fallida
318,1810,Alimentos,México,Exitosa
880,1670,Alimentos,México,Fallida
3151,1018,Retail,Colombia,Exitosa
2806,1431,Alimentos,Guatemala,Fallida
2861,283,Electrónica,Guatemala,Exitosa
3855,1776,Alimentos,México,Exitosa
2385,1279,Retail,México,Exitosa
290,1285,Retail,Colombia,Fallida
2356,1335,Retail,México,Fallida
1253,1056,Electrónica,México,Fallida
4317,1879,Retail,Colombia,Fallida
1596,1569,Electrónica,Guatemala,Fallida
1493,1257,Electrónica,México,Fallida
4184,1603,Retail,Colombia,Fallida
4029,1918,Alimentos,México,Exitosa
2497,498,Retail,México,Exitosa
4861,1345,Electrónica,Guatemala,Fallida
851,1036,Electrónica,Colombia,Exitosa
1912,532,Electrónica,Colombia,Exitosa
2383,1074,Electrónica,México,Fallida
4424,1388,Retail,México,Exitosa
2868,1238,Electrónica,Colombia,Fallida
4370,942,Retail,Colombia,Exitosa
1485,1123,Alimentos,México,Exitosa
1182,1824,Electrónica,México,Exitosa
3470,1939,Retail,Colombia,Exitosa
831,1939,Retail,México,Exitosa
3856,1195,Electrónica,México,Exitosa
3474,1091,Alimentos,Guatemala,Exitosa
4175,1974,Alimentos,México,Exitosa
4124,252,Retail,México,Fallida
4505,282,Alimentos,Colombia,Exitosa
4529,150,Alimentos,Guatemala,Fallida
3142,739,Retail,Colombia,Exitosa
1957,1438,Retail,Colombia,Fallida
1648,1502,Retail,Colombia,Exitosa
1412,98,Alimentos,México,Fallida
1000,986,Alimentos,Guatemala,Fallida
3064,1714,Electrónica,México,Fallida
3361,196,Electrónica,México,Exitosa
563,1003,Electrónica,Colombia,Fallida
4487,1731,Alimentos,México,Fallida
1345,777,Electrónica,Guatemala,Exitosa
3012,1482,Retail,México,Fallida
2735,1815,Retail,México,Exitosa
2848,1690,Retail,México,Exitosa
3381,229,Retail,México,Fallida
244,718,Retail,Colombia,Exitosa
2501,1716,Alimentos,México,Exitosa
4338,1712,Alimentos,Colombia,Fallida
2861,469,Electrónica,Colombia,Exitosa
2262,1354,Electrónica,México,Exitosa
3508,1901,Electrónica,México,Fallida
3875,713,Electrónica,Colombia,Exitosa
2409,382,Retail,Colombia,Exitosa
4973,683,Electrónica,Guatemala,Exitosa
818,760,Retail,Guatemala,Fallida
3097,1233,Retail,Colombia,Fallida
361,1319,Alimentos,Guatemala,Fallida
1788,1877,Electrónica,Colombia,Fallida
2572,333,Retail,Colombia,Fallida
1187,1140,Electrónica,México,Fallida
3117,302,Alimentos,Colombia,Fallida
1492,1847,Retail,Guatemala,Fallida
3218,1060,Electrónica,México,Fallida
2882,1773,Retail,Guatemala,Exitosa
2173,869,Retail,México,Exitosa
775,767,Alimentos,Colombia,Fallida
4030,1099,Retail,Guatemala,Exitosa
2643,1575,Alimentos,Guatemala,Exitosa
3257,96,Retail,Guatemala,Exitosa
4136,350,Alimentos,Guatemala,Exitosa
4907,1507,Electrónica,Guatemala,Exitosa
3264,1070,Electrónica,Colombia,Exitosa
3129,248,Retail,Colombia,Fallida
3307,1817,Alimentos,Colombia,Exitosa
638,807,Retail,Colombia,Exitosa
3454,1023,Alimentos,Colombia,Exitosa
3675,315,Electrónica,Colombia,Exitosa
3815,1715,Retail,México,Exitosa
4011,129,Alimentos,Colombia,Exitosa
4801,1016,Electrónica,Colombia,Exitosa
3446,7,Electrónica,Guatemala,Fallida
161,1650,Retail,Guatemala,Exitosa
4563,1253,Alimentos,Guatemala,Fallida
3447,331,Retail,Guatemala,Exitosa
1357,1061,Retail,México,Exitosa
1470,663,Retail,Colombia,Fallida
1813,1546,Retail,México,Exitosa
1279,897,Electrónica,México,Exitosa
4062,1603,Retail,Colombia,Exitosa
4435,356,Retail,México,Exitosa
1288,1384,Retail,Colombia,Exitosa
3294,1067,Electrónica,México,Exitosa
1818,187,Alimentos,Colombia,Fallida
1576,716,Alimentos,Guatemala,Exitosa
3002,731,Electrónica,México,Exitosa
3353,874,Electrónica,México,Fallida
2840,718,Electrónica,Colombia,Fallida
280,240,Alimentos,México,Exitosa
3377,1406,Electrónica,Colombia,Fallida
2953,256,Retail,Colombia,Exitosa
1546,1055,Alimentos,Guatemala,Fallida
4959,1087,Retail,México,Exitosa
529,1865,Alimentos,Colombia,Fallida
791,1536,Alimentos,Colombia,Fallida
3242,821,Alimentos,Colombia,Fallida
3609,855,Alimentos,Guatemala,Exitosa
4928,853,Alimentos,México,Fallida
3468,412,Alimentos,Colombia,Fallida
3225,1676,Alimentos,México,Exitosa
1841,1904,Electrónica,México,Exitosa
1915,214,Retail,Guatemala,Exitosa
2397,417,Electrónica,Guatemala,Fallida
558,811,Alimentos,Colombia,Exitosa
1560,594,Alimentos,Guatemala,Fallida
4478,1208,Electrónica,Colombia,Exitosa
3634,505,Retail,Colombia,Fallida
4264,516,Alimentos,México,Exitosa
2599,1102,Alimentos,México,Exitosa
1371,1538,Electrónica,México,Fallida
1921,4,Retail,Guatemala,Exitosa
1702,724,Electrónica,México,Fallida
4464,1646,Electrónica,Colombia,Fallida
2987,1176,Retail,México,Exitosa
75,430,Retail,Colombia,Fallida
3431,1239,Retail,México,Fallida
1615,177,Electrónica,Guatemala,Fallida
606,385,Alimentos,México,Fallida
212,1090,Retail,Colombia,Exitosa
1701,1449,Alimentos,México,Fallida
3757,1762,Retail,Colombia,Fallida
511,1770,Alimentos,Guatemala,Exitosa
2529,206,Electrónica,Guatemala,Exitosa
1854,578,Retail,Guatemala,Exitosa
3330,894,Electrónica,Guatemala,Exitosa
3435,1747,Electrónica,Colombia,Fallida
3591,1720,Alimentos,Colombia,Exitosa
2038,1472,Alimentos,Guatemala,Exitosa
645,999,Alimentos,Colombia,Fallida
4123,1075,Retail,Colombia,Fallida
124,1375,Electrónica,Colombia,Exitosa
4987,1761,Alimentos,Guatemala,Fallida
3581,1383,Alimentos,Guatemala,Exitosa
1014,809,Retail,México,Fallida
2808,1531,Electrónica,Guatemala,Exitosa
4038,38,Alimentos,México,Exitosa
3816,934,Electrónica,Guatemala,Exitosa
3588,1858,Retail,Guatemala,Fallida
4894,144,Retail,Guatemala,Exitosa
3410,1742,Electrónica,Guatemala,Exitosa
2026,806,Alimentos,México,Exitosa
18,313,Alimentos,Guatemala,Fallida
638,1675,Alimentos,Colombia,Exitosa
4179,129,Alimentos,Guatemala,Fallida
3693,1262,Alimentos,Colombia,Fallida
304,1176,Alimentos,México,Fallida
3089,256,Retail,Colombia,Exitosa
1741,1823,Retail,Guatemala,Fallida
3004,1965,Electrónica,Guatemala,Fallida
457,498,Retail,Colombia,Exitosa
4665,939,Electrónica,México,Exitosa
855,1303,Alimentos,Colombia,Fallida
735,1327,Alimentos,Guatemala,Exitosa
3287,931,Alimentos,México,Fallida
2093,431,Retail,Guatemala,Exitosa
1001,1590,Electrónica,Colombia,Fallida
1928,218,Retail,Colombia,Exitosa
3876,549,Retail,Guatemala,Fallida
350,1952,Retail,Colombia,Exitosa
828,1385,Alimentos,México,Fallida
509,649,Alimentos,Colombia,Exitosa
1733,1860,Electrónica,Colombia,Exitosa
2072,1662,Alimentos,Colombia,Fallida
4363,1051,Retail,México,Fallida
1016,402,Electrónica,México,Exitosa
192,1616,Alimentos,México,Fallida
3507,778,Retail,Guatemala,Exitosa
1775,909,Retail,Guatemala,Fallida
1419,716,Alimentos,México,Fallida
3239,1709,Alimentos,Guatemala,Exitosa
2250,1351,Alimentos,Guatemala,Fallida
3556,465,Retail,México,Exitosa
4666,888,Alimentos,México,Fallida
233,477,Alimentos,México,Exitosa
2450,1923,Electrónica,Guatemala,Exitosa
2955,1546,Retail,Guatemala,Exitosa
4092,1377,Retail,Guatemala,Fallida
3660,1145,Retail,Colombia,Fallida
3682,896,Retail,Guatemala,Fallida
4822,264,Retail,Guatemala,Fallida
4190,510,Retail,Colombia,Fallida
3068,1951,Retail,México,Fallida
3215,1154,Alimentos,México,Fallida
1983,285,Retail,México,Fallida
1072,1107,Alimentos,Colombia,Fallida
1734,239,Electrónica,Guatemala,Fallida
1585,1656,Retail,Colombia,Exitosa
3399,974,Alimentos,México,Fallida
1305,412,Electrónica,Colombia,Fallida
340,785,Retail,México,Exitosa
4385,1746,Alimentos,Colombia,Fallida
687,493,Alimentos,México,Exitosa
3948,480,Alimentos,México,Fallida
2256,195,Retail,México,Exitosa
3163,376,Alimentos,México,Exitosa
3013,213,Electrónica,Colombia,Exitosa
503,1658,Alimentos,México,Exitosa
4048,122,Retail,Colombia,Exitosa
1778,1313,Alimentos,Guatemala,Exitosa
3695,1030,Alimentos,Colombia,Exitosa
1133,1938,Retail,Guatemala,Exitosa
4892,697,Retail,Guatemala,Fallida
1947,542,Alimentos,Guatemala,Exitosa
2886,1348,Electrónica,México,Fallida
4324,1977,Alimentos,México,Exitosa
4150,1450,Electrónica,Guatemala,Fallida
2868,896,Electrónica,Colombia,Exitosa
1478,757,Alimentos,Guatemala,Fallida
3152,328,Alimentos,Guatemala,Exitosa
3190,1609,Alimentos,Colombia,Fallida
4718,1413,Alimentos,Colombia,Fallida
2268,99,Electrónica,Guatemala,Exitosa
2067,183,Alimentos,Colombia,Exitosa
4994,1316,Alimentos,México,Fallida
2748,1255,Alimentos,Guatemala,Exitosa
3455,512,Alimentos,México,Exitosa
2573,484,Retail,Colombia,Fallida
98,241,Alimentos,México,Fallida
4465,1469,Alimentos,Guatemala,Fallida
2103,115,Retail,Guatemala,Exitosa
2167,1961,Retail,México,Exitosa
4868,638,Retail,Colombia,Exitosa
1352,678,Retail,Guatemala,Exitosa
4044,292,Electrónica,México,Exitosa
2103,1451,Electrónica,México,Exitosa
1430,1674,Electrónica,Colombia,Fallida
4679,1578,Alimentos,Guatemala,Exitosa
214,821,Electrónica,Guatemala,Fallida
1408,1051,Electrónica,Guatemala,Exitosa
1463,299,Retail,México,Exitosa
976,925,Retail,México,Exitosa
2728,984,Retail,Guatemala,Exitosa
3069,1159,Electrónica,México,Exitosa
1096,1279,Electrónica,México,Fallida
2541,1449,Electrónica,México,Exitosa
2738,86,Retail,Colombia,Exitosa
3668,941,Retail,Guatemala,Fallida
4987,1432,Retail,Colombia,Fallida
4067,267,Electrónica,Colombia,Fallida
949,1546,Alimentos,Colombia,Exitosa
1527,1907,Alimentos,México,Fallida
4899,1605,Retail,Colombia,Fallida
2655,1008,Retail,México,Exitosa
2855,1108,Retail,México,Fallida
1010,1998,Electrónica,Guatemala,Fallida
154,382,Retail,Colombia,Fallida
626,805,Alimentos,México,Fallida
4557,866,Alimentos,Colombia,Fallida
1522,1342,Alimentos,Guatemala,Exitosa
4841,1321,Retail,Colombia,Fallida
3961,1294,Electrónica,Colombia,Exitosa
3822,1641,Alimentos,Guatemala,Exitosa
4493,143,Alimentos,Guatemala,Fallida
1479,1834,Electrónica,Colombia,Exitosa
1557,945,Retail,Colombia,Exitosa
2348,536,Alimentos,Colombia,Fallida
2671,1512,Alimentos,México,Fallida
3266,288,Electrónica,Guatemala,Fallida
3790,1629,Electrónica,México,Exitosa
2749,1182,Retail,Guatemala,Exitosa
852,500,Retail,Guatemala,Fallida
3586,905,Retail,Colombia,Fallida
241,1098,Alimentos,Guatemala,Fallida
4106,1645,Alimentos,Colombia,Fallida
2001,1851,Retail,México,Exitosa
4036,1789,Alimentos,México,Exitosa
4552,815,Alimentos,México,Exitosa
3981,1912,Retail,México,Exitosa
4287,159,Alimentos,Colombia,Exitosa
3763,405,Retail,México,Fallida
3202,973,Alimentos,Guatemala,Exitosa
742,547,Alimentos,Guatemala,Exitosa
3897,1739,Retail,Guatemala,Exitosa
1894,284,Retail,Guatemala,Exitosa
1182,1684,Electrónica,Guatemala,Exitosa
2590,1486,Retail,Guatemala,Exitosa
3112,985,Alimentos,Guatemala,Fallida
4881,764,Retail,Colombia,Fallida
4230,492,Electrónica,Guatemala,Fallida
2210,1827,Electrónica,México,Exitosa
3421,653,Electrónica,Colombia,Fallida
4928,485,Retail,Guatemala,Fallida
3183,1956,Alimentos,México,Fallida
2886,1623,Retail,México,Exitosa
1405,1263,Retail,México,Fallida
4092,490,Electrónica,México,Fallida
4549,419,Retail,Guatemala,Exitosa
4282,1751,Retail,México,Fallida
3523,1229,Electrónica,Guatemala,Fallida
1271,1108,Alimentos,Colombia,Exitosa
669,1123,Electrónica,México,Exitosa
4801,1878,Electrónica,Guatemala,Exitosa
514,1590,Alimentos,Guatemala,Exitosa
9,323,Electrónica,México,Exitosa
2911,835,Retail,México,Fallida
3400,247,Electrónica,Guatemala,Exitosa
3946,335,Alimentos,Colombia,Fallida
2487,1381,Retail,Guatemala,Exitosa
2701,622,Electrónica,México,Exitosa
1427,55,Alimentos,México,Exitosa
2863,1476,Retail,Guatemala,Exitosa
425,1048,Electrónica,Guatemala,Fallida
1605,698,Retail,México,Fallida
1816,1924,Retail,México,Exitosa
372,359,Retail,Colombia,Fallida
3238,467,Electrónica,Colombia,Exitosa
1620,833,Alimentos,México,Fallida
857,1722,Alimentos,Colombia,Fallida
2166,36,Alimentos,Colombia,Exitosa
882,1757,Alimentos,Colombia,Exitosa
584,1016,Retail,Colombia,Exitosa
3505,346,Alimentos,Guatemala,Exitosa
603,1049,Retail,Colombia,Exitosa
4868,1646,Retail,México,Exitosa
2616,106,Retail,Guatemala,Exitosa
4616,1112,Alimentos,Guatemala,Fallida
1737,1731,Retail,México,Fallida
3808,1827,Retail,Colombia,Exitosa
2017,1764,Retail,Colombia,Fallida
1691,514,Electrónica,México,Exitosa
4037,402,Alimentos,Guatemala,Exitosa
129,301,Alimentos,Guatemala,Exitosa
641,301,Alimentos,México,Fallida
3489,203,Retail,Guatemala,Fallida
1569,1252,Retail,Guatemala,Fallida
2526,1090,Alimentos,Guatemala,Exitosa
3888,168,Retail,Colombia,Exitosa
151,1242,Electrónica,Colombia,Exitosa
4,1313,Alimentos,Colombia,Fallida
2511,1869,Alimentos,Colombia,Exitosa
3194,1808,Electrónica,Guatemala,Fallida
1722,739,Retail,México,Fallida
47,919,Alimentos,Colombia,Fallida
2024,694,Alimentos,Guatemala,Fallida
694,140,Retail,México,Fallida
2542,1605,Retail,Guatemala,Fallida
944,1519,Electrónica,Colombia,Exitosa
597,727,Alimentos,Guatemala,Fallida
1751,533,Retail,México,Fallida
2895,118,Retail,Colombia,Fallida
2615,784,Electrónica,Guatemala,Fallida
4434,718,Alimentos,México,Exitosa
2220,381,Electrónica,México,Exitosa
3893,14,Electrónica,Guatemala,Exitosa
4421,842,Retail,Colombia,Fallida
667,1758,Alimentos,Guatemala,Exitosa
2863,696,Electrónica,México,Fallida
149,255,Alimentos,Guatemala,Exitosa
2124,338,Retail,Guatemala,Exitosa
1155,1183,Alimentos,Colombia,Exitosa
368,1622,Alimentos,Colombia,Fallida
3271,1636,Retail,México,Exitosa
4884,1064,Retail,Guatemala,Exitosa
1657,1493,Alimentos,Colombia,Fallida
700,335,Electrónica,Colombia,Fallida
3063,1190,Retail,Colombia,Exitosa
1254,412,Alimentos,Guatemala,Fallida
303,196,Alimentos,Colombia,Fallida
3926,1256,Retail,Colombia,Fallida
3676,40,Electrónica,México,Exitosa
2734,824,Electrónica,México,Exitosa
4934,1763,Alimentos,México,Fallida
4700,94,Retail,México,Fallida
4012,1298,Electrónica,Colombia,Fallida
4753,127,Electrónica,Guatemala,Fallida
1553,829,Alimentos,Guatemala,Fallida
2634,902,Retail,México,Fallida
4018,429,Electrónica,México,Fallida
4014,159,Alimentos,Colombia,Fallida
4137,60,Alimentos,Guatemala,Fallida
584,547,Retail,México,Exitosa
4052,1353,Electrónica,Guatemala,Exitosa
2346,419,Retail,Guatemala,Fallida
1061,717,Alimentos,Guatemala,Fallida
3804,564,Electrónica,Colombia,Exitosa
3932,557,Alimentos,Guatemala,Exitosa
982,606,Electrónica,México,Fallida
4549,1049,Retail,México,Fallida
3181,1318,Alimentos,Guatemala,Exitosa
4140,1831,Alimentos,Guatemala,Exitosa
1290,1121,Retail,México,Exitosa
4795,1549,Alimentos,Guatemala,Exitosa
1816,811,Alimentos,Guatemala,Exitosa
2497,716,Alimentos,Colombia,Exitosa
730,1200,Alimentos,México,Exitosa
553,634,Alimentos,Guatemala,Fallida
2351,1028,Alimentos,Guatemala,Exitosa
2689,466,Electrónica,Guatemala,Exitosa
3593,1424,Retail,Guatemala,Fallida
96,1805,Retail,Guatemala,Fallida
1530,1352,Alimentos,Guatemala,Fallida
2038,548,Electrónica,Guatemala,Exitosa
3647,1216,Retail,Guatemala,Fallida
4475,1700,Retail,México,Fallida
13,305,Alimentos,México,Fallida
4478,619,Retail,Colombia,Exitosa
3040,915,Electrónica,Colombia,Exitosa
1504,1784,Alimentos,México,Fallida
968,658,Electrónica,Guatemala,Exitosa
4117,256,Alimentos,México,Fallida
3711,1507,Electrónica,Colombia,Fallida
2554,546,Retail,México,Fallida
3170,320,Alimentos,Guatemala,Fallida
2784,651,Electrónica,México,Exitosa
2221,339,Alimentos,Colombia,Fallida
3556,1377,Electrónica,Colombia,Fallida
3097,805,Alimentos,México,Fallida
2680,717,Electrónica,Guatemala,Exitosa
1382,221,Electrónica,México,Exitosa
4342,1166,Retail,Guatemala,Exitosa
4722,113,Alimentos,Guatemala,Exitosa
1538,1754,Alimentos,Colombia,Exitosa
3525,938,Electrónica,Colombia,Fallida
2818,1279,Electrónica,Colombia,Exitosa
4649,92,Electrónica,Guatemala,Fallida
2068,1445,Alimentos,Guatemala,Exitosa
950,1461,Electrónica,México,Exitosa
1903,1997,Alimentos,Guatemala,Fallida
954,1581,Retail,Guatemala,Exitosa
3782,729,Electrónica,Colombia,Fallida
4069,1728,Retail,México,Fallida
1119,895,Retail,Guatemala,Exitosa
2316,1606,Alimentos,Guatemala,Exitosa
4302,856,Alimentos,Guatemala,Exitosa
61,1289,Electrónica,Guatemala,Exitosa
3850,302,Electrónica,México,Fallida
1180,1579,Retail,Guatemala,Fallida
563,1807,Retail,México,Fallida
4603,681,Alimentos,Guatemala,Exitosa
3684,812,Electrónica,México,Exitosa
3344,1527,Alimentos,México,Fallida
235,299,Electrónica,Guatemala,Exitosa
2707,232,Retail,Colombia,Fallida
1947,1210,Electrónica,Guatemala,Exitosa
274,1084,Retail,Colombia,Exitosa
4136,1095,Retail,Colombia,Exitosa
536,409,Alimentos,Guatemala,Fallida
4339,1060,Alimentos,Guatemala,Fallida
1276,1936,Alimentos,México,Fallida
636,786,Retail,Colombia,Exitosa
3644,815,Electrónica,Colombia,Fallida
1661,742,Retail,Guatemala,Exitosa
2754,1231,Electrónica,Colombia,Fallida
3732,1750,Retail,México,Fallida
182,1361,Retail,Guatemala,Exitosa
450,1623,Retail,Guatemala,Fallida
2724,61,Alimentos,Guatemala,Fallida
4563,581,Alimentos,Guatemala,Fallida
775,391,Alimentos,Guatemala,Exitosa
320,1616,Alimentos,Guatemala,Exitosa
888,841,Electrónica,Colombia,Fallida
2252,26,Alimentos,Guatemala,Fallida
400,1527,Alimentos,México,Exitosa
1420,854,Retail,México,Fallida
3566,69,Electrónica,Colombia,Exitosa
1435,182,Retail,Guatemala,Exitosa
1600,986,Alimentos,México,Fallida
2708,120,Retail,México,Fallida
136,930,Retail,Colombia,Fallida
4437,818,Retail,Colombia,Exitosa
4142,415,Retail,Guatemala,Exitosa
3754,161,Retail,Colombia,Exitosa
945,291,Retail,México,Fallida
384,1680,Retail,Colombia,Exitosa
1146,914,Retail,Guatemala,Exitosa
4135,367,Retail,Colombia,Fallida
4196,1377,Electrónica,Colombia,Fallida
3450,1214,Retail,Guatemala,Exitosa
3800,457,Electrónica,Colombia,Exitosa
4985,529,Retail,Guatemala,Exitosa
3575,705,Retail,Colombia,Exitosa
2529,1194,Alimentos,Guatemala,Exitosa
3356,574,Alimentos,México,Exitosa
3219,93,Alimentos,Colombia,Fallida
703,868,Retail,Colombia,Exitosa
280,517,Alimentos,México,Fallida
2890,194,Retail,Guatemala,Fallida
1393,431,Retail,Guatemala,Fallida
1682,736,Electrónica,Colombia,Exitosa
132,1926,Electrónica,México,Exitosa
4975,47,Retail,México,Fallida
4131,1603,Retail,Guatemala,Exitosa
3131,1420,Retail,Colombia,Fallida
1030,662,Retail,Guatemala,Exitosa
3657,1051,Electrónica,Colombia,Fallida
625,81,Alimentos,Guatemala,Exitosa
4918,1814,Alimentos,México,Fallida
1532,590,Retail,México,Fallida
2792,185,Electrónica,México,Exitosa
4024,353,Electrónica,México,Exitosa
253,504,Alimentos,Colombia,Fallida
891,792,Alimentos,Guatemala,Fallida
3108,351,Electrónica,Colombia,Exitosa
2908,584,Retail,Guatemala,Exitosa
2700,1900,Alimentos,Guatemala,Exitosa
596,1311,Alimentos,México,Fallida
4013,1050,Alimentos,Colombia,Fallida
1650,1022,Alimentos,Guatemala,Exitosa
1182,612,Electrónica,Guatemala,Exitosa
3889,1376,Alimentos,Guatemala,Fallida
2725,1571,Alimentos,Guatemala,Exitosa
2521,1546,Electrónica,Guatemala,Fallida
4344,1745,Electrónica,Colombia,Exitosa
1812,1323,Electrónica,Colombia,Exitosa
4228,197,Electrónica,Guatemala,Fallida
4753,1392,Alimentos,México,Fallida
2086,621,Electrónica,Colombia,Exitosa
1326,671,Retail,México,Exitosa
3570,1231,Electrónica,Guatemala,Exitosa
1280,628,Alimentos,Colombia,Exitosa
4527,1022,Electrónica,Colombia,Fallida
2155,1715,Electrónica,México,Fallida
2347,1965,Retail,Guatemala,Fallida
3613,144,Electrónica,México,Exitosa
487,827,Alimentos,México,Exitosa
1247,1352,Alimentos,Colombia,Exitosa
2322,149,Alimentos,Colombia,Exitosa
4208,143,Retail,México,Fallida
3009,1503,Retail,México,Fallida
4349,950,Alimentos,México,Exitosa
179,34,Electrónica,México,Exitosa
2908,120,Electrónica,Guatemala,Fallida
965,1822,Electrónica,Colombia,Exitosa
1274,1706,Alimentos,Colombia,Fallida
4419,1166,Alimentos,Colombia,Fallida
1907,1746,Alimentos,Guatemala,Exitosa
1298,1048,Alimentos,Colombia,Fallida
4506,210,Electrónica,Guatemala,Fallida
3525,1523,Retail,Colombia,Exitosa
683,1644,Alimentos,México,Exitosa
3506,1914,Retail,México,Fallida
4980,1418,Retail,Colombia,Fallida
2119,1333,Retail,México,Exitosa
1599,1535,Alimentos,Colombia,Exitosa
4940,106,Retail,Colombia,Fallida
3375,933,Retail,Guatemala,Exitosa
3160,860,Retail,México,Fallida
478,1976,Retail,México,Exitosa
4995,766,Alimentos,México,Exitosa
2112,662,Alimentos,Colombia,Fallida
2294,1218,Electrónica,Colombia,Fallida
2300,1201,Retail,Guatemala,Fallida
1178,1748,Electrónica,Guatemala,Exitosa
1507,1862,Electrónica,Colombia,Fallida
2864,42,Alimentos,Colombia,Exitosa
1038,1519,Electrónica,Guatemala,Fallida
4776,165,Retail,México,Fallida
667,1242,Electrónica,México,Exitosa
4424,918,Alimentos,Guatemala,Exitosa
1697,117,Alimentos,Colombia,Exitosa
352,814,Electrónica,Colombia,Fallida
3263,1101,Retail,Guatemala,Fallida
286,311,Retail,Colombia,Fallida
2682,746,Electrónica,Guatemala,Fallida
208,1316,Alimentos,Colombia,Fallida
2601,70,Electrónica,México,Exitosa
4070,992,Electrónica,Colombia,Fallida
3684,1019,Retail,Colombia,Exitosa
1133,718,Alimentos,Colombia,Fallida
4303,309,Electrónica,Guatemala,Exitosa
3539,1201,Electrónica,Colombia,Fallida
4216,652,Retail,Colombia,Exitosa
3582,106,Electrónica,Guatemala,Fallida
3213,1742,Alimentos,Guatemala,Exitosa
3289,1293,Alimentos,México,Exitosa
1504,1010,Electrónica,Guatemala,Exitosa
1095,1903,Electrónica,México,Fallida
11,647,Electrónica,Guatemala,Exitosa
1284,1765,Alimentos,Guatemala,Fallida
2724,1455,Retail,México,Exitosa
1669,1467,Electrónica,México,Exitosa
1841,719,Electrónica,Guatemala,Exitosa
3993,1206,Alimentos,México,Exitosa
3602,1996,Alimentos,México,Fallida
2218,1494,Retail,México,Exitosa
4940,661,Alimentos,Guatemala,Fallida
2114,629,Electrónica,México,Fallida
3890,1035,Alimentos,Guatemala,Exitosa
2322,1694,Alimentos,Guatemala,Exitosa
2214,1850,Alimentos,México,Exitosa
884,1688,Alimentos,Colombia,Fallida
946,686,Electrónica,Colombia,Exitosa
889,526,Retail,México,Exitosa
2343,1942,Retail,México,Exitosa
2278,1184,Alimentos,Colombia,Exitosa
4416,129,Alimentos,Guatemala,Fallida
2376,1409,Alimentos,México,Exitosa
931,371,Retail,Colombia,Exitosa
604,1940,Alimentos,Colombia,Exitosa
4301,1012,Retail,Guatemala,Fallida
4530,1939,Electrónica,Guatemala,Fallida
237,1954,Retail,Colombia,Fallida
43,54,Alimentos,Guatemala,Exitosa
3786,1820,Retail,Colombia,Fallida
3698,1425,Alimentos,Guatemala,Fallida
2708,658,Alimentos,Colombia,Fallida
3174,322,Electrónica,Colombia,Fallida
2151,472,Electrónica,Guatemala,Exitosa
4471,565,Retail,Colombia,Fallida
815,2,Alimentos,México,Exitosa
