Cliente_ID_1,Cliente_ID_2,Fecha_Registro,Tipo_Recomendación,Nivel_Confianza
427,2558,2022-09-20,Familiar,Bajo
2929,1171,2023-04-24,Familiar,Alto
2967,739,2020-05-15,Familiar,Medio
965,2019,2020-06-03,Familiar,Bajo
1243,2698,2023-04-20,Familiar,Alto
374,1170,2021-11-13,Familiar,Alto
926,2785,2021-09-16,Familiar,Medio
2166,2663,2023-11-15,Amigo,Bajo
1165,1063,2022-01-26,Amigo,Alto
2339,1779,2022-07-13,Familiar,Bajo
698,1877,2021-05-09,Amigo,Alto
502,2748,2020-07-18,Amigo,Bajo
1649,1191,2021-02-27,Familiar,Bajo
1358,413,2020-03-11,Familiar,Medio
1496,2571,2021-02-11,Amigo,Bajo
747,1399,2021-04-14,Amigo,Medio
86,1826,2023-03-12,Amigo,Medio
2972,2185,2020-08-24,Familiar,Medio
1785,986,2021-07-29,Amigo,Alto
587,2792,2020-08-21,Amigo,Bajo
2350,306,2023-01-03,Amigo,Bajo
981,257,2022-01-04,Amigo,Bajo
201,1804,2020-10-14,Amigo,Bajo
2826,2768,2021-11-28,Familiar,Bajo
2242,683,2021-06-03,Familiar,Alto
2071,2154,2020-07-14,Familiar,Alto
1054,1508,2023-10-05,Familiar,Alto
1691,524,2022-08-30,Amigo,Bajo
1699,1773,2020-05-21,Familiar,Bajo
2734,2147,2021-09-21,Familiar,Alto
1693,2291,2023-11-29,Familiar,Bajo
1533,820,2023-04-29,Amigo,Bajo
2988,2713,2021-03-30,Familiar,Bajo
2573,2461,2020-06-26,Familiar,Medio
2168,1980,2023-12-11,Amigo,Alto
2286,2980,2022-11-01,Familiar,Medio
2907,1118,2020-05-01,Familiar,Bajo
308,223,2023-03-28,Amigo,Alto
2316,1128,2020-06-10,Familiar,Bajo
1867,2547,2022-05-05,Familiar,Medio
1511,1472,2021-08-17,Familiar,Alto
1886,1575,2021-12-29,Amigo,Alto
637,2538,2021-04-28,Amigo,Alto
2941,1097,2021-01-24,Familiar,Alto
1154,2827,2021-10-08,Familiar,Medio
105,2329,2023-11-21,Amigo,Medio
2713,1063,2020-06-16,Amigo,Medio
455,1004,2020-04-20,Familiar,Medio
2628,1909,2023-10-01,Amigo,Medio
941,547,2022-07-04,Amigo,Alto
332,2846,2020-10-18,Familiar,Alto
2600,92,2022-08-16,Amigo,Alto
892,25,2023-08-04,Familiar,Medio
386,862,2022-02-19,Amigo,Bajo
352,333,2023-09-26,Familiar,Alto
1533,30,2020-01-20,Amigo,Bajo
2824,1839,2020-01-10,Amigo,Medio
1562,114,2021-05-26,Amigo,Bajo
392,1102,2020-05-07,Familiar,Medio
1461,1594,2021-11-21,Familiar,Bajo
2455,2434,2020-02-07,Amigo,Medio
2633,755,2022-03-19,Amigo,Alto
2636,1080,2021-10-29,Familiar,Bajo
2815,761,2020-05-19,Amigo,Medio
2392,1327,2021-04-04,Amigo,Alto
2108,688,2021-01-14,Familiar,Alto
898,648,2021-01-05,Familiar,Medio
335,713,2020-11-08,Amigo,Bajo
1658,349,2023-07-31,Familiar,Alto
1132,22,2023-06-27,Amigo,Alto
518,549,2022-04-06,Familiar,Medio
2674,1758,2023-04-22,Familiar,Medio
1378,606,2021-06-04,Familiar,Medio
2496,233,2023-12-31,Familiar,Medio
2756,2764,2021-08-21,Amigo,Medio
2195,1030,2020-12-02,Amigo,Alto
2082,283,2022-10-14,Amigo,Medio
133,564,2022-12-24,Amigo,Alto
2617,1064,2021-05-20,Familiar,Medio
2901,2745,2021-06-05,Familiar,Bajo
2075,1199,2020-05-24,Amigo,Alto
570,6,2023-04-08,Familiar,Alto
2181,2664,2022-06-08,Familiar,Alto
512,600,2023-06-29,Amigo,Medio
1482,1266,2022-01-22,Familiar,Alto
292,52,2021-10-21,Familiar,Medio
603,2750,2020-04-22,Amigo,Medio
1404,2482,2023-06-06,Amigo,Alto
584,634,2020-04-24,Familiar,Bajo
189,451,2023-11-16,Amigo,Alto
1753,1576,2020-05-04,Familiar,Medio
1564,1647,2022-02-12,Familiar,Medio
575,1124,2020-12-05,Amigo,Alto
1765,1122,2023-12-18,Familiar,Alto
1961,2332,2023-03-30,Amigo,Bajo
253,988,2020-08-10,Amigo,Alto
1473,2698,2022-01-10,Familiar,Bajo
1058,1326,2020-04-16,Amigo,Bajo
2627,2727,2023-07-14,Amigo,Alto
724,350,2020-12-05,Amigo,Medio
2439,588,2022-06-22,Amigo,Bajo
1321,75,2023-09-25,Familiar,Medio
833,1346,2020-10-21,Familiar,Alto
88,169,2023-03-04,Familiar,Medio
1873,2946,2023-11-21,Familiar,Medio
2334,1839,2022-01-07,Familiar,Bajo
2460,1344,2023-05-14,Amigo,Bajo
443,1788,2023-11-12,Amigo,Medio
2054,739,2021-01-01,Amigo,Alto
904,680,2021-05-22,Amigo,Alto
88,1048,2020-12-23,Amigo,Bajo
1453,2753,2020-05-27,Familiar,Alto
2187,1737,2023-01-16,Familiar,Bajo
2746,934,2022-05-06,Familiar,Alto
479,720,2023-03-24,Amigo,Alto
435,486,2022-05-06,Amigo,Alto
1758,977,2021-07-20,Amigo,Medio
1562,1746,2023-03-06,Familiar,Alto
351,1703,2022-06-02,Amigo,Medio
40,1579,2020-10-08,Amigo,Medio
1667,2360,2022-12-09,Familiar,Alto
2605,2867,2020-01-15,Familiar,Alto
394,2576,2020-09-18,Familiar,Bajo
2111,1647,2022-01-28,Familiar,Medio
1125,1671,2020-03-27,Amigo,Medio
2984,1346,2021-05-25,Amigo,Alto
2023,2230,2021-07-06,Familiar,Bajo
195,569,2021-04-04,Amigo,Bajo
1899,1777,2023-08-10,Amigo,Alto
1618,348,2021-08-25,Amigo,Alto
2073,196,2021-06-01,Familiar,Medio
559,952,2021-01-26,Familiar,Bajo
1953,1779,2022-12-24,Familiar,Bajo
817,790,2021-02-13,Amigo,Alto
1894,2907,2021-12-13,Familiar,Bajo
1202,74,2023-12-23,Familiar,Alto
2806,906,2020-02-17,Familiar,Bajo
222,2374,2020-10-16,Familiar,Bajo
1847,992,2020-07-06,Amigo,Alto
1943,646,2022-04-27,Amigo,Medio
2344,1231,2022-10-18,Amigo,Medio
550,853,2020-08-08,Familiar,Medio
304,750,2023-07-24,Amigo,Alto
753,664,2023-03-19,Familiar,Alto
1360,1765,2023-10-12,Familiar,Alto
2680,177,2023-06-18,Familiar,Bajo
2375,701,2023-02-22,Amigo,Bajo
294,1076,2021-06-28,Amigo,Medio
738,713,2021-11-28,Amigo,Bajo
2112,990,2023-04-12,Amigo,Bajo
2362,822,2022-04-20,Amigo,Medio
1193,653,2020-08-05,Amigo,Alto
2308,2855,2020-06-03,Amigo,Alto
1451,1937,2022-04-30,Amigo,Alto
726,174,2020-01-13,Amigo,Medio
718,813,2021-02-27,Familiar,Alto
880,673,2023-09-01,Amigo,Bajo
644,359,2022-09-07,Familiar,Bajo
95,2534,2023-01-13,Familiar,Bajo
421,784,2020-10-28,Familiar,Bajo
2783,438,2022-01-24,Amigo,Medio
1338,441,2022-09-25,Amigo,Alto
28,1336,2022-11-18,Familiar,Alto
835,938,2020-03-23,Familiar,Alto
648,1964,2023-04-20,Familiar,Alto
2403,1115,2021-08-05,Amigo,Medio
2599,1733,2021-02-11,Familiar,Medio
237,881,2022-04-26,Familiar,Alto
2610,19,2023-03-03,Amigo,Medio
2225,1723,2020-10-29,Amigo,Bajo
1748,843,2023-04-30,Amigo,Medio
95,1450,2021-11-25,Familiar,Bajo
193,967,2022-06-08,Familiar,Medio
556,2758,2021-11-22,Amigo,Medio
2791,501,2023-09-26,Amigo,Alto
384,2230,2022-02-28,Amigo,Alto
2331,2055,2021-04-06,Amigo,Alto
1232,2932,2021-04-23,Familiar,Alto
2603,1525,2021-02-05,Amigo,Bajo
1435,2491,2021-11-20,Familiar,Alto
2403,1016,2021-04-09,Familiar,Alto
1291,2054,2021-02-20,Amigo,Alto
2512,1691,2022-06-10,Familiar,Medio
36,606,2022-07-10,Amigo,Medio
1999,1113,2020-05-11,Familiar,Alto
281,630,2022-04-26,Amigo,Alto
2030,2599,2021-09-29,Familiar,Medio
993,1671,2022-01-14,Amigo,Medio
1413,414,2021-09-02,Amigo,Medio
1430,907,2020-12-26,Amigo,Alto
2595,1743,2022-03-28,Amigo,Alto
412,1297,2020-05-20,Amigo,Bajo
1685,2573,2022-10-12,Amigo,Alto
1898,2333,2020-08-20,Amigo,Bajo
2285,297,2021-01-23,Familiar,Bajo
1227,2274,2022-01-16,Familiar,Medio
2910,1338,2022-04-25,Familiar,Alto
1135,113,2020-10-23,Familiar,Medio
1051,2441,2020-06-26,Familiar,Bajo
397,1969,2022-08-01,Familiar,Medio
420,1208,2023-10-30,Familiar,Bajo
347,1987,2022-05-11,Familiar,Bajo
50,2549,2021-05-16,Familiar,Medio
635,1050,2021-03-14,Familiar,Bajo
1038,610,2021-07-01,Familiar,Alto
651,1302,2023-09-12,Familiar,Alto
224,124,2021-07-10,Amigo,Alto
1251,2029,2020-10-25,Amigo,Medio
1254,2571,2023-07-25,Amigo,Alto
1209,29,2022-10-10,Amigo,Bajo
1499,1383,2022-06-13,Familiar,Alto
540,1280,2021-12-16,Familiar,Bajo
2728,806,2022-03-26,Familiar,Alto
1166,116,2020-01-11,Amigo,Alto
2821,2703,2021-07-12,Familiar,Medio
784,981,2020-09-05,Familiar,Alto
2148,1032,2022-01-21,Amigo,Bajo
1542,2855,2022-11-20,Amigo,Medio
1809,1868,2020-08-13,Amigo,Bajo
845,1192,2023-03-27,Familiar,Alto
2598,2778,2023-11-24,Amigo,Bajo
466,1614,2021-11-19,Amigo,Medio
82,661,2022-04-22,Familiar,Medio
2754,1516,2020-05-22,Familiar,Medio
1994,1415,2023-06-22,Familiar,Bajo
1853,1429,2021-09-09,Familiar,Medio
2641,696,2023-02-22,Amigo,Medio
2555,1506,2023-05-23,Amigo,Medio
1085,2692,2020-12-23,Familiar,Medio
1110,765,2021-10-01,Amigo,Bajo
2088,2176,2020-02-25,Amigo,Bajo
2356,1161,2023-05-10,Familiar,Bajo
2814,1520,2020-12-29,Familiar,Alto
2786,2350,2021-07-03,Familiar,Bajo
1894,1696,2020-06-12,Amigo,Alto
113,1864,2023-03-20,Familiar,Alto
1921,1309,2023-07-29,Amigo,Alto
631,600,2020-06-03,Amigo,Bajo
86,2770,2022-09-02,Amigo,Medio
2516,2011,2023-06-17,Amigo,Alto
2994,2112,2020-07-09,Familiar,Medio
2799,1432,2021-10-02,Familiar,Alto
711,950,2021-11-01,Amigo,Alto
2129,813,2023-04-17,Amigo,Bajo
1337,2099,2023-10-07,Amigo,Medio
2042,816,2020-11-16,Amigo,Bajo
1545,1647,2021-01-09,Amigo,Alto
302,2512,2021-09-08,Familiar,Medio
600,265,2020-05-18,Familiar,Bajo
977,164,2021-11-02,Familiar,Alto
380,598,2022-12-14,Amigo,Medio
186,2209,2022-09-25,Amigo,Bajo
786,858,2023-11-03,Amigo,Alto
494,1858,2022-10-06,Familiar,Alto
1947,2133,2022-06-30,Familiar,Medio
2332,1536,2023-02-20,Amigo,Alto
1717,2593,2020-09-16,Amigo,Alto
223,675,2021-10-19,Familiar,Bajo
1879,853,2023-06-01,Amigo,Bajo
1008,2896,2020-08-05,Amigo,Bajo
1297,1841,2022-12-20,Familiar,Medio
2361,983,2023-05-12,Amigo,Alto
2735,2168,2022-01-09,Familiar,Medio
1255,619,2021-10-25,Familiar,Bajo
898,2117,2022-03-17,Familiar,Alto
939,2069,2021-10-29,Amigo,Alto
924,2040,2023-12-13,Familiar,Bajo
1943,164,2021-06-07,Amigo,Medio
870,2268,2020-04-07,Familiar,Medio
2143,722,2021-02-26,Amigo,Alto
2377,2291,2020-04-19,Familiar,Medio
2741,1527,2020-10-14,Amigo,Medio
1790,464,2023-04-13,Amigo,Alto
840,498,2022-12-07,Familiar,Bajo
829,2783,2022-12-25,Familiar,Alto
2991,91,2022-12-06,Familiar,Bajo
2194,2224,2023-01-17,Familiar,Bajo
1877,2539,2021-12-20,Familiar,Bajo
2470,1698,2021-11-08,Amigo,Bajo
1581,916,2021-11-20,Amigo,Alto
420,276,2022-02-09,Familiar,Bajo
2334,1963,2022-11-03,Amigo,Medio
1924,2718,2020-03-08,Amigo,Alto
1426,1246,2020-05-26,Amigo,Medio
2410,566,2020-09-12,Amigo,Alto
617,1569,2023-02-05,Familiar,Bajo
1728,401,2022-11-30,Amigo,Bajo
401,2718,2021-07-03,Familiar,Bajo
1378,2864,2021-10-01,Amigo,Medio
414,1155,2020-08-27,Amigo,Alto
1510,1272,2021-07-31,Amigo,Alto
2330,867,2023-10-07,Amigo,Medio
120,1160,2020-10-31,Amigo,Bajo
933,1408,2023-10-06,Familiar,Medio
899,2063,2021-08-18,Amigo,Bajo
241,917,2021-03-12,Amigo,Medio
95,2301,2020-11-11,Familiar,Bajo
1754,69,2021-10-31,Amigo,Bajo
1700,1580,2022-02-05,Familiar,Medio
227,273,2023-06-05,Amigo,Alto
1770,42,2020-09-15,Familiar,Alto
1121,170,2020-04-04,Familiar,Medio
1142,1026,2020-03-10,Amigo,Medio
1648,2120,2020-12-26,Familiar,Medio
979,760,2022-05-27,Familiar,Bajo
1538,175,2021-08-28,Familiar,Bajo
789,1206,2020-01-07,Amigo,Medio
2766,799,2020-09-03,Familiar,Bajo
345,2812,2022-04-16,Familiar,Alto
1264,1712,2020-04-29,Amigo,Bajo
75,2159,2022-04-12,Amigo,Medio
87,2367,2020-11-08,Familiar,Alto
2266,2601,2022-11-24,Familiar,Bajo
2299,466,2023-04-04,Amigo,Bajo
687,279,2023-09-05,Familiar,Medio
2041,1728,2022-06-06,Amigo,Medio
2963,1220,2023-08-26,Amigo,Alto
2470,309,2020-08-08,Amigo,Alto
2549,2135,2020-10-27,Familiar,Alto
294,608,2020-11-18,Familiar,Bajo
827,1491,2022-03-28,Familiar,Alto
318,2927,2020-01-11,Amigo,Alto
1965,276,2022-07-18,Familiar,Bajo
339,2988,2021-11-06,Familiar,Bajo
2495,670,2020-07-03,Familiar,Medio
1076,1799,2020-10-27,Familiar,Alto
1749,2950,2022-11-08,Amigo,Medio
555,2171,2023-07-20,Amigo,Medio
2483,2663,2022-03-04,Familiar,Bajo
1028,521,2023-01-13,Familiar,Bajo
1864,2795,2022-04-25,Amigo,Medio
2852,2856,2023-01-13,Amigo,Medio
2155,1969,2020-09-15,Amigo,Alto
2385,1731,2022-06-30,Familiar,Bajo
2583,54,2021-05-28,Familiar,Alto
302,105,2021-10-09,Amigo,Bajo
1871,794,2022-02-12,Familiar,Alto
2432,1208,2021-04-09,Amigo,Alto
2325,1511,2021-04-15,Amigo,Alto
794,240,2020-04-20,Familiar,Alto
1025,934,2022-08-21,Amigo,Medio
1417,2350,2022-10-17,Familiar,Medio
2316,1094,2021-11-14,Amigo,Bajo
2222,2828,2023-01-25,Familiar,Medio
849,1436,2021-05-05,Amigo,Bajo
208,2453,2023-09-18,Amigo,Alto
2958,2981,2022-08-06,Familiar,Bajo
1274,2449,2023-07-15,Familiar,Medio
2070,2356,2023-12-08,Amigo,Alto
1884,1359,2021-04-13,Familiar,Bajo
2969,2209,2020-02-20,Amigo,Medio
2943,2468,2022-05-20,Amigo,Bajo
2097,554,2020-07-11,Familiar,Alto
3,706,2023-10-11,Familiar,Bajo
2457,777,2022-03-13,Amigo,Medio
1378,2343,2023-04-29,Amigo,Medio
2388,680,2022-02-23,Familiar,Alto
2275,2200,2020-04-22,Amigo,Alto
1519,2526,2022-11-09,Familiar,Alto
2245,2094,2021-11-03,Familiar,Bajo
686,16,2023-04-27,Familiar,Alto
621,2340,2020-05-14,Amigo,Alto
1473,1427,2022-12-30,Familiar,Alto
370,730,2020-12-02,Familiar,Alto
105,1364,2020-10-04,Amigo,Bajo
1487,2049,2021-07-28,Amigo,Medio
1091,2954,2023-08-10,Familiar,Bajo
2571,2473,2020-07-06,Amigo,Medio
2255,1256,2023-01-03,Amigo,Bajo
349,991,2020-01-21,Amigo,Alto
2765,1320,2021-01-26,Amigo,Alto
2549,522,2021-10-01,Amigo,Medio
1807,2635,2020-12-25,Amigo,Bajo
845,2820,2023-05-29,Familiar,Alto
1047,2498,2023-02-03,Amigo,Alto
1552,1961,2023-02-07,Amigo,Alto
1299,122,2022-04-27,Amigo,Bajo
2182,493,2020-04-20,Familiar,Alto
319,1424,2023-01-29,Familiar,Medio
1514,2700,2020-03-25,Amigo,Alto
1067,745,2020-02-19,Amigo,Alto
461,2927,2020-05-07,Familiar,Bajo
1542,1217,2020-09-04,Familiar,Medio
891,1997,2021-09-13,Familiar,Bajo
109,1798,2020-07-10,Amigo,Alto
1517,1052,2022-11-25,Amigo,Alto
2932,1946,2022-08-26,Familiar,Alto
2439,1239,2021-08-12,Familiar,Medio
2447,1772,2022-12-24,Amigo,Bajo
2248,1192,2022-06-10,Familiar,Medio
144,2416,2021-08-16,Familiar,Medio
1217,2338,2022-01-30,Amigo,Bajo
881,2296,2023-07-23,Familiar,Alto
2805,2018,2020-06-17,Amigo,Bajo
1033,1694,2022-11-12,Familiar,Bajo
2602,260,2021-01-12,Amigo,Bajo
1694,269,2022-11-17,Familiar,Bajo
475,2349,2023-08-18,Familiar,Medio
2181,83,2020-08-08,Amigo,Medio
2651,2506,2020-02-07,Amigo,Alto
572,2744,2023-03-10,Amigo,Alto
1047,1271,2022-11-27,Familiar,Bajo
476,2174,2022-05-29,Amigo,Alto
1795,927,2023-12-04,Amigo,Medio
1012,716,2023-10-07,Amigo,Medio
778,1951,2020-10-10,Familiar,Medio
1983,1958,2020-10-14,Amigo,Medio
1853,1613,2022-09-13,Familiar,Bajo
1887,708,2022-04-23,Amigo,Alto
692,2485,2022-02-04,Familiar,Bajo
140,1482,2022-10-29,Familiar,Bajo
536,1275,2023-12-02,Familiar,Bajo
1752,402,2023-11-12,Amigo,Alto
2455,1467,2022-04-05,Amigo,Alto
63,188,2023-04-24,Amigo,Alto
759,277,2020-05-30,Amigo,Alto
223,1942,2021-08-10,Familiar,Bajo
2700,2195,2023-10-02,Familiar,Alto
1334,784,2021-11-29,Familiar,Medio
2914,617,2020-06-13,Familiar,Alto
192,1631,2020-11-17,Amigo,Alto
728,2174,2022-08-19,Familiar,Bajo
2323,2556,2021-09-20,Amigo,Alto
2834,1840,2020-07-22,Familiar,Medio
571,970,2021-02-19,Familiar,Medio
2649,1991,2020-01-10,Amigo,Bajo
116,2718,2020-01-10,Amigo,Alto
2024,959,2023-08-02,Familiar,Alto
298,1658,2022-01-01,Amigo,Bajo
2968,991,2022-10-07,Amigo,Bajo
2639,1591,2022-10-16,Amigo,Alto
451,527,2022-03-22,Amigo,Medio
424,1365,2021-12-26,Amigo,Alto
1217,206,2021-05-13,Familiar,Medio
79,2262,2021-05-24,Familiar,Alto
2447,497,2021-06-18,Amigo,Medio
1346,1823,2020-05-08,Familiar,Medio
2914,1865,2020-05-01,Amigo,Bajo
52,2540,2021-12-19,Familiar,Medio
581,2498,2022-05-13,Amigo,Alto
1219,195,2022-06-09,Familiar,Bajo
2463,998,2020-05-08,Amigo,Bajo
1528,687,2023-09-27,Familiar,Bajo
1234,203,2021-09-09,Familiar,Alto
1723,1168,2022-07-01,Familiar,Medio
2666,833,2020-04-17,Amigo,Alto
2705,194,2022-05-31,Amigo,Alto
592,2598,2020-03-25,Amigo,Alto
197,1896,2020-11-08,Amigo,Medio
1997,708,2021-01-11,Familiar,Bajo
2201,542,2023-11-28,Amigo,Bajo
1845,1516,2020-10-16,Amigo,Medio
249,2463,2020-11-16,Amigo,Bajo
1988,281,2020-10-01,Familiar,Bajo
955,1235,2020-03-22,Familiar,Alto
1375,680,2022-12-03,Amigo,Alto
1705,549,2021-06-08,Familiar,Medio
2873,2393,2021-06-03,Amigo,Medio
436,2683,2021-05-26,Amigo,Alto
2162,232,2020-05-16,Amigo,Alto
1020,2348,2023-01-30,Familiar,Bajo
2097,1981,2020-07-22,Amigo,Alto
1080,2748,2022-10-27,Familiar,Bajo
2768,171,2021-02-24,Amigo,Medio
682,1518,2023-10-07,Familiar,Bajo
1240,2116,2022-03-12,Familiar,Alto
2548,1349,2022-03-24,Amigo,Bajo
1364,640,2021-05-03,Familiar,Medio
502,513,2020-09-28,Familiar,Bajo
1650,2615,2021-02-07,Familiar,Medio
2420,1581,2021-06-19,Familiar,Medio
126,2087,2020-11-07,Amigo,Bajo
1488,2598,2023-07-28,Familiar,Alto
1,639,2021-04-06,Amigo,Medio
1573,124,2020-07-21,Familiar,Bajo
1713,1205,2020-12-05,Familiar,Alto
1305,1094,2022-02-28,Familiar,Alto
20,2862,2021-01-02,Familiar,Medio
2729,2884,2022-03-24,Amigo,Medio
902,2360,2021-04-16,Familiar,Bajo
2136,774,2023-12-14,Familiar,Alto
690,420,2022-08-16,Familiar,Medio
1854,876,2022-02-21,Familiar,Bajo
628,270,2021-01-06,Amigo,Bajo
2455,2792,2020-05-18,Amigo,Bajo
791,2193,2020-05-26,Familiar,Medio
1018,1471,2020-07-15,Amigo,Medio
143,2873,2023-08-10,Familiar,Alto
