Transaccion_Origen_ID,Transaccion_Destino_ID,Monto,Motivo,Método_Transferencia
3815,1110,1454.76,Reembolso,ACH
1217,3111,970.22,Pago,SWIFT
2857,4053,3170.75,Pago,ACH
3139,2027,8780.34,Transferencia,Interna
3589,282,299.79,Pago,SWIFT
3465,3960,1356.4,Transferencia,SWIFT
3862,2804,6432.64,Pago,ACH
3181,3057,7717.22,Pago,Interna
4098,3173,1821.51,Pago,ACH
2541,3356,4869.86,Transferencia,ACH
3117,1235,5570.6,Reembolso,SWIFT
838,2147,6030.51,Transferencia,ACH
2635,1104,2666.33,Transferencia,ACH
322,1342,5527.73,Pago,SWIFT
190,667,8482.06,Pago,SWIFT
476,2243,8007.63,Transferencia,ACH
3592,3671,3670.66,Reembolso,ACH
1902,876,2904.85,Pago,SWIFT
1695,2567,4951.51,Pago,SWIFT
1373,2391,5472.7,Pago,ACH
754,4717,109.21,Pago,ACH
2030,3690,6979.72,Pago,ACH
2511,4879,7845.01,Transferencia,SWIFT
3821,109,2686.62,Transferencia,SWIFT
2871,2937,8309.41,Transferencia,Interna
3419,1284,5052.16,Transferencia,SWIFT
4708,4473,7379.41,Transferencia,SWIFT
1016,4849,146.73,Pago,Interna
3091,1975,2014.72,Reembolso,SWIFT
2052,4133,1976.17,Pago,SWIFT
2355,2085,3824.64,Pago,ACH
168,2481,9245.79,Pago,SWIFT
2514,2869,6972.15,Pago,ACH
3375,562,5910.78,Reembolso,Interna
4527,1199,2940.6,Reembolso,ACH
4018,1114,470.76,Reembolso,ACH
4348,2278,9779.0,Reembolso,SWIFT
1581,3111,5600.66,Reembolso,SWIFT
2003,119,397.49,Reembolso,SWIFT
1849,2127,6825.96,Pago,Interna
1299,1639,9370.93,Transferencia,SWIFT
1662,1237,5870.39,Transferencia,Interna
4755,3027,6890.2,Transferencia,Interna
1646,2140,4124.06,Pago,SWIFT
2745,2766,5293.41,Transferencia,SWIFT
3146,4863,5589.9,Transferencia,Interna
2491,1429,4772.2,Reembolso,SWIFT
2645,3589,9819.32,Reembolso,ACH
4563,537,3830.9,Reembolso,SWIFT
688,1295,387.27,Pago,Interna
3110,1330,2215.24,Reembolso,SWIFT
1903,1603,473.37,Reembolso,ACH
2752,419,6587.9,Transferencia,SWIFT
1194,1011,6848.27,Transferencia,SWIFT
167,3135,9940.26,Pago,SWIFT
4275,4491,4946.1,Pago,SWIFT
758,1977,7063.81,Reembolso,SWIFT
1494,2291,6522.12,Pago,ACH
2136,4059,7137.05,Transferencia,SWIFT
2783,1678,4302.5,Pago,Interna
3,2748,8426.41,Reembolso,SWIFT
1594,924,7490.79,Transferencia,SWIFT
1656,3194,9391.48,Reembolso,ACH
2233,1379,877.5,Pago,ACH
702,4625,9927.83,Pago,SWIFT
2288,3487,4481.14,Pago,SWIFT
1256,3758,9555.35,Pago,ACH
1495,4598,9879.0,Reembolso,SWIFT
1307,2266,726.38,Reembolso,Interna
520,3008,2108.54,Reembolso,ACH
826,927,752.19,Reembolso,ACH
4738,700,255.15,Pago,SWIFT
287,376,370.87,Pago,Interna
4191,1163,1119.05,Transferencia,Interna
1762,1661,4613.36,Transferencia,Interna
4826,4621,1024.8,Transferencia,SWIFT
109,2899,9466.64,Transferencia,ACH
2997,4442,6039.69,Reembolso,SWIFT
2681,4121,4439.17,Pago,ACH
109,2993,692.17,Reembolso,SWIFT
4725,441,416.85,Reembolso,ACH
4806,1334,2946.39,Transferencia,SWIFT
3252,1562,570.77,Pago,SWIFT
15,3955,6330.63,Transferencia,Interna
2238,2804,192.75,Transferencia,ACH
3336,2824,4118.45,Pago,ACH
1443,2607,2478.46,Transferencia,ACH
1474,821,8646.85,Reembolso,ACH
614,4089,8177.82,Reembolso,ACH
1143,3796,576.2,Reembolso,SWIFT
1220,3590,4230.18,Pago,SWIFT
4323,517,6621.12,Reembolso,SWIFT
4937,897,2067.39,Pago,SWIFT
1003,2279,6139.2,Transferencia,Interna
2881,2779,5151.23,Reembolso,SWIFT
3384,334,7972.6,Pago,ACH
3394,4991,1027.53,Reembolso,Interna
4243,1728,7345.2,Reembolso,ACH
3220,4387,1335.11,Reembolso,Interna
4946,146,2014.81,Transferencia,SWIFT
3469,4704,5182.24,Transferencia,Interna
202,926,5166.48,Pago,Interna
256,3209,3359.81,Reembolso,ACH
1792,4849,62.47,Transferencia,SWIFT
986,4121,9760.12,Pago,Interna
4993,3178,9586.55,Pago,Interna
3853,4700,1763.3,Pago,ACH
827,906,8262.79,Transferencia,Interna
2242,1237,7677.45,Pago,Interna
3402,173,6122.15,Pago,Interna
3683,4927,374.39,Pago,Interna
4551,3561,595.89,Transferencia,SWIFT
1429,4939,4023.91,Transferencia,Interna
2778,2868,8870.07,Transferencia,Interna
531,2963,8867.47,Pago,ACH
4992,3757,4063.76,Pago,ACH
4567,2783,5902.84,Transferencia,SWIFT
90,3603,9907.79,Reembolso,SWIFT
4070,545,8424.31,Reembolso,Interna
3829,3147,4785.07,Reembolso,Interna
430,3692,6383.95,Reembolso,Interna
1168,154,8330.13,Transferencia,Interna
4118,1824,4084.62,Pago,Interna
2132,3831,5488.67,Transferencia,SWIFT
3223,2516,8510.46,Pago,Interna
1217,2680,5172.6,Transferencia,SWIFT
2423,4908,6588.93,Transferencia,Interna
4091,210,2684.83,Transferencia,Interna
2949,1405,4202.26,Transferencia,ACH
1100,3354,8770.05,Reembolso,SWIFT
3972,4998,7294.7,Pago,ACH
1383,2770,7429.74,Transferencia,ACH
1014,4982,9427.0,Pago,ACH
3787,2516,1831.29,Transferencia,ACH
4658,123,3759.01,Pago,Interna
889,1371,3805.91,Reembolso,SWIFT
2010,905,6278.03,Transferencia,SWIFT
2517,1342,3997.23,Pago,SWIFT
946,4122,5443.62,Reembolso,SWIFT
4153,3159,4072.37,Pago,Interna
2775,1130,8702.72,Pago,Interna
2888,1375,8536.64,Transferencia,Interna
4392,1726,3016.94,Pago,SWIFT
4676,4837,9994.01,Reembolso,SWIFT
3875,1939,3003.71,Pago,Interna
1996,1531,5380.59,Transferencia,ACH
712,3716,1796.02,Pago,Interna
3723,150,2333.71,Reembolso,Interna
487,988,663.84,Pago,SWIFT
611,4673,4735.74,Pago,ACH
4436,3670,4132.22,Pago,Interna
4482,2033,3210.09,Reembolso,SWIFT
482,4876,922.24,Pago,ACH
3004,1353,6231.77,Reembolso,Interna
967,3657,1513.72,Reembolso,Interna
297,4921,837.3,Pago,ACH
3387,908,2371.28,Pago,Interna
3465,3589,6892.4,Reembolso,Interna
1189,1906,692.02,Pago,Interna
1729,4879,2460.04,Pago,SWIFT
4680,2710,7152.78,Transferencia,Interna
1776,2887,3277.97,Pago,ACH
4676,3703,6840.62,Transferencia,Interna
502,2766,7196.5,Transferencia,ACH
460,2961,2270.82,Transferencia,SWIFT
2107,4717,7336.19,Transferencia,ACH
3866,3512,6021.42,Pago,ACH
3812,4224,4805.79,Transferencia,SWIFT
4574,3649,967.19,Pago,ACH
4095,4453,3200.91,Transferencia,Interna
3424,14,1235.43,Reembolso,SWIFT
4945,2305,625.24,Reembolso,SWIFT
659,3675,2436.97,Pago,Interna
3298,3948,2247.65,Pago,SWIFT
4791,4389,6101.91,Transferencia,ACH
3672,448,9808.01,Reembolso,SWIFT
1195,2718,9266.04,Pago,SWIFT
3048,3891,3350.01,Reembolso,SWIFT
3498,4875,912.01,Transferencia,Interna
4932,363,3747.34,Pago,ACH
1990,2072,5973.01,Transferencia,ACH
1298,1499,8962.34,Reembolso,ACH
1047,4132,9089.54,Pago,Interna
3908,317,827.01,Reembolso,SWIFT
1606,3119,6744.41,Pago,Interna
2377,47,7115.03,Pago,Interna
1487,626,3252.54,Transferencia,SWIFT
4054,2930,7362.22,Transferencia,Interna
3100,3014,9411.02,Reembolso,SWIFT
1480,573,9714.07,Reembolso,Interna
1551,4246,3041.03,Transferencia,Interna
2450,463,8746.43,Reembolso,Interna
4721,2900,9828.62,Reembolso,SWIFT
820,1758,3653.56,Transferencia,ACH
3700,663,747.09,Transferencia,Interna
550,1376,9101.17,Transferencia,ACH
4889,557,2923.29,Transferencia,ACH
2217,2416,5992.04,Pago,Interna
4688,362,8464.17,Pago,SWIFT
520,769,5420.05,Pago,SWIFT
3631,3544,1552.91,Reembolso,Interna
3551,1983,1868.43,Pago,Interna
394,547,7483.15,Reembolso,ACH
3646,4216,6918.79,Reembolso,ACH
499,4487,5287.11,Pago,ACH
2584,2159,4811.31,Reembolso,Interna
2763,2330,5199.18,Reembolso,SWIFT
2023,4923,9646.9,Reembolso,Interna
4100,2290,9856.65,Pago,ACH
2256,2751,2897.79,Pago,SWIFT
724,1539,1009.44,Pago,Interna
1011,615,5412.62,Reembolso,ACH
3913,1820,5491.81,Reembolso,SWIFT
4651,4728,7677.09,Pago,Interna
2763,4362,7393.68,Pago,Interna
2401,2011,1991.36,Transferencia,SWIFT
2607,3861,433.28,Transferencia,SWIFT
3424,751,3559.2,Pago,Interna
2545,2496,3175.73,Pago,ACH
4630,4087,314.86,Reembolso,ACH
1424,4018,6757.87,Reembolso,SWIFT
152,2614,5642.77,Reembolso,SWIFT
4602,787,7083.43,Pago,ACH
581,3564,6338.01,Transferencia,Interna
4763,3426,176.05,Pago,SWIFT
1707,4712,8681.33,Reembolso,SWIFT
2067,1561,1764.28,Transferencia,ACH
1224,4379,4521.97,Transferencia,SWIFT
245,2767,7933.19,Transferencia,Interna
4063,4181,3487.76,Pago,SWIFT
3308,3758,26.44,Reembolso,SWIFT
4009,1394,5399.58,Pago,SWIFT
633,3373,2801.76,Transferencia,SWIFT
4831,3292,6850.66,Reembolso,Interna
3120,958,5982.08,Transferencia,ACH
3980,2425,671.31,Reembolso,Interna
53,2106,860.46,Pago,SWIFT
4401,3799,6023.75,Transferencia,ACH
60,791,8468.85,Transferencia,Interna
1386,1717,4356.09,Pago,SWIFT
1241,1245,1809.46,Reembolso,Interna
4012,198,4742.38,Pago,SWIFT
500,4718,9360.52,Transferencia,ACH
851,1117,4145.48,Reembolso,ACH
2213,440,8305.34,Transferencia,SWIFT
3414,1542,4599.1,Reembolso,ACH
4920,3979,5001.85,Reembolso,ACH
1071,2053,2935.9,Pago,Interna
2338,4703,8534.06,Pago,SWIFT
309,4038,913.67,Reembolso,Interna
2629,4555,9959.32,Reembolso,Interna
2599,798,9068.67,Transferencia,SWIFT
4655,4126,9094.76,Pago,SWIFT
811,2059,286.66,Pago,SWIFT
174,3104,2583.36,Transferencia,ACH
1679,1370,8226.45,Reembolso,Interna
1064,2927,741.09,Pago,SWIFT
196,340,1938.54,Transferencia,ACH
2119,1723,4348.14,Transferencia,Interna
3621,2210,1803.53,Pago,Interna
2836,4637,7420.37,Pago,Interna
1562,1726,7186.64,Pago,Interna
1923,4000,8392.21,Transferencia,ACH
4926,4067,9363.7,Reembolso,Interna
4978,1122,1701.01,Reembolso,ACH
3324,2810,816.41,Pago,ACH
215,775,8342.97,Transferencia,SWIFT
1160,4854,9179.92,Pago,ACH
652,3368,3219.36,Reembolso,ACH
4438,3,8528.65,Reembolso,SWIFT
4171,3400,7222.75,Transferencia,ACH
4172,3574,5818.98,Pago,Interna
2807,3785,7671.72,Reembolso,ACH
706,4892,2237.32,Reembolso,ACH
3926,1855,1542.04,Transferencia,SWIFT
248,532,4968.43,Reembolso,Interna
3405,2936,4593.45,Reembolso,SWIFT
361,1440,6120.71,Pago,Interna
4464,2787,7074.22,Reembolso,Interna
3545,330,3604.75,Transferencia,Interna
2405,3327,7321.65,Pago,SWIFT
4669,3735,4036.8,Transferencia,Interna
3245,4494,8614.6,Transferencia,ACH
2714,835,3235.48,Pago,ACH
1492,269,1285.23,Reembolso,ACH
4958,2628,5612.97,Reembolso,Interna
4819,3060,6178.19,Reembolso,ACH
782,1133,3134.57,Reembolso,Interna
4048,2660,5839.84,Reembolso,Interna
1960,4315,8717.4,Reembolso,SWIFT
507,1602,4939.02,Pago,Interna
3339,350,7973.73,Transferencia,Interna
4125,1369,7611.02,Pago,ACH
4449,4931,1357.33,Transferencia,SWIFT
4196,1060,1098.34,Pago,SWIFT
4391,2064,4023.16,Transferencia,SWIFT
2444,2772,6126.14,Reembolso,SWIFT
3651,4610,1586.06,Transferencia,ACH
1996,1436,8319.56,Pago,Interna
913,3592,8126.22,Reembolso,ACH
625,4621,2111.28,Transferencia,SWIFT
2366,3788,7786.04,Pago,SWIFT
2873,4974,3584.84,Transferencia,SWIFT
3028,1455,1955.77,Transferencia,ACH
1680,3001,939.88,Transferencia,Interna
3358,3512,6223.96,Pago,SWIFT
634,2929,6478.15,Pago,SWIFT
1907,2439,7860.08,Transferencia,ACH
899,622,5240.29,Pago,SWIFT
4513,1699,6304.56,Transferencia,ACH
2096,3301,8585.04,Reembolso,ACH
3644,4379,3425.21,Transferencia,ACH
4245,2127,6950.41,Pago,ACH
3941,784,2467.64,Pago,SWIFT
4249,694,3374.85,Transferencia,ACH
445,1025,5348.69,Transferencia,Interna
4768,3171,9475.37,Pago,ACH
2796,4448,2475.01,Pago,SWIFT
2810,1787,3985.61,Reembolso,ACH
3010,2169,3522.76,Pago,SWIFT
3523,1417,439.3,Reembolso,Interna
398,2434,9895.94,Transferencia,ACH
4045,4603,6473.7,Pago,SWIFT
24,176,2868.71,Reembolso,Interna
2584,129,4923.62,Reembolso,Interna
2635,889,280.85,Reembolso,ACH
1471,1807,760.64,Transferencia,ACH
3136,4130,4190.72,Transferencia,ACH
4249,3883,4665.23,Reembolso,ACH
1372,1472,2060.0,Transferencia,SWIFT
4022,2174,6416.69,Pago,ACH
3330,848,9045.35,Reembolso,ACH
1964,3454,5583.63,Reembolso,SWIFT
4083,4949,9235.28,Transferencia,SWIFT
3316,3130,5255.04,Pago,SWIFT
1752,939,294.04,Transferencia,Interna
291,3365,7255.49,Reembolso,ACH
574,1774,9047.93,Pago,SWIFT
1586,3589,9426.29,Transferencia,SWIFT
2222,1943,7763.01,Reembolso,Interna
962,2137,1254.9,Transferencia,Interna
1231,2555,2575.7,Pago,Interna
367,213,7535.46,Transferencia,Interna
3844,4244,7691.91,Transferencia,SWIFT
583,1482,7504.07,Reembolso,Interna
419,2295,1763.45,Pago,SWIFT
1930,2230,7540.53,Pago,ACH
2867,4021,233.87,Pago,ACH
3403,1583,6149.62,Reembolso,Interna
3683,1013,445.21,Reembolso,Interna
3888,1945,3891.86,Transferencia,ACH
4024,4198,9548.8,Transferencia,ACH
1618,2914,2786.24,Reembolso,Interna
4197,4752,1798.76,Transferencia,ACH
1421,4323,5000.56,Reembolso,SWIFT
4103,3213,953.29,Pago,SWIFT
3550,10,4259.0,Transferencia,Interna
1588,3150,7555.56,Pago,SWIFT
4157,1113,9318.85,Pago,SWIFT
864,3523,3497.29,Reembolso,ACH
322,3682,5629.33,Transferencia,ACH
230,1887,4745.43,Transferencia,SWIFT
2311,1615,2726.49,Reembolso,ACH
1735,3655,9529.45,Transferencia,SWIFT
4774,2940,6615.11,Reembolso,SWIFT
2532,461,4363.29,Pago,ACH
444,1636,2209.75,Reembolso,SWIFT
1892,366,103.13,Transferencia,Interna
4351,1154,2982.05,Transferencia,SWIFT
144,2197,9015.79,Pago,SWIFT
3364,2830,6842.02,Transferencia,SWIFT
668,3565,6895.96,Transferencia,Interna
2033,580,6792.21,Reembolso,ACH
3035,3480,7266.17,Reembolso,SWIFT
899,3294,3735.05,Transferencia,SWIFT
4505,3712,3326.11,Pago,SWIFT
1943,156,7450.39,Transferencia,SWIFT
4670,3847,8404.44,Pago,ACH
1495,1269,2953.19,Pago,ACH
1120,1547,944.75,Pago,SWIFT
593,1321,6592.05,Pago,ACH
3220,3869,6774.99,Transferencia,ACH
3557,4120,2710.04,Transferencia,Interna
3232,309,5411.78,Pago,ACH
4926,4308,6661.41,Pago,Interna
3755,1940,5802.51,Pago,SWIFT
3104,4671,3489.5,Pago,ACH
229,3412,6491.92,Reembolso,ACH
3297,372,9113.89,Pago,Interna
301,1013,6737.87,Pago,ACH
2909,2713,1497.13,Transferencia,ACH
4401,4475,5743.32,Transferencia,ACH
2172,2986,2159.4,Pago,Interna
4588,4835,5062.85,Pago,Interna
2303,2248,3778.85,Reembolso,ACH
2396,3216,3594.58,Reembolso,Interna
4477,678,6357.96,Pago,Interna
4014,1128,1485.4,Reembolso,ACH
2858,4678,9706.01,Reembolso,Interna
3621,1449,9979.67,Pago,ACH
4078,4722,2052.21,Reembolso,Interna
113,1109,4192.98,Reembolso,Interna
3301,4028,3954.68,Pago,Interna
2566,4617,9126.79,Transferencia,Interna
3754,1671,2086.52,Pago,SWIFT
3615,4162,4105.75,Transferencia,Interna
118,3579,6875.09,Reembolso,SWIFT
157,1936,8405.48,Pago,ACH
3145,2116,9595.52,Transferencia,SWIFT
3229,1534,9623.0,Transferencia,SWIFT
3593,3427,693.72,Pago,Interna
2102,2867,45.48,Pago,Interna
3803,3628,8948.89,Transferencia,SWIFT
3011,4726,3189.08,Reembolso,ACH
1786,4341,6112.2,Pago,ACH
4622,2102,9601.0,Transferencia,Interna
2083,1399,6370.45,Reembolso,Interna
1900,3912,3552.56,Transferencia,ACH
3706,3136,2410.3,Transferencia,SWIFT
