Tarjeta_ID,Cuenta_ID,Fecha_Asociacion,Estado,Uso_Frecuente
155,1680,2021-08-25,Bloqueada,True
163,2980,2023-12-09,Bloqueada,False
547,128,2023-03-07,Activa,False
1265,831,2020-04-01,Bloqueada,False
1955,1347,2020-02-23,Activa,False
1283,2102,2022-04-08,Activa,True
1749,503,2021-09-06,Activa,True
1252,2355,2020-07-30,Activa,True
1704,106,2023-12-03,Bloqueada,False
993,261,2021-06-22,Activa,False
2799,1484,2022-12-30,Bloqueada,False
1855,1814,2023-01-19,Bloqueada,True
2740,2596,2022-02-13,Activa,True
1597,372,2023-04-09,Activa,True
2198,1971,2022-10-17,Bloqueada,True
1193,1234,2020-10-16,Activa,False
2712,71,2022-05-21,Bloqueada,True
1799,242,2020-11-08,Bloqueada,True
394,1526,2020-06-16,Bloqueada,True
1457,2938,2023-08-06,Bloqueada,False
2094,63,2023-11-30,Activa,False
637,1508,2021-12-02,Activa,True
2795,1825,2022-11-01,Bloqueada,True
554,535,2023-04-23,Bloqueada,True
1342,2149,2023-11-05,Activa,True
1707,2952,2023-06-02,Activa,True
1412,890,2020-11-03,Activa,False
2561,81,2021-12-14,Activa,True
612,1136,2020-11-25,Activa,False
1403,576,2021-08-27,Bloqueada,True
2100,695,2023-01-18,Bloqueada,True
81,2961,2022-08-07,Activa,True
821,1148,2021-06-07,Activa,False
1792,2100,2022-11-12,Activa,True
57,2994,2021-08-08,Activa,True
2938,2329,2021-03-01,Activa,True
2777,895,2022-01-18,Bloqueada,False
1936,2051,2022-04-05,Activa,True
891,60,2023-04-09,Bloqueada,False
2581,2127,2021-05-09,Bloqueada,False
792,1504,2023-06-07,Activa,True
1694,1352,2022-08-18,Bloqueada,True
12,113,2021-01-27,Activa,False
336,1365,2023-02-27,Bloqueada,False
270,2881,2023-09-01,Activa,True
2467,1961,2020-06-02,Bloqueada,False
2433,2200,2021-07-14,Bloqueada,False
2160,803,2023-12-14,Activa,False
2345,975,2022-08-03,Bloqueada,True
2349,1282,2021-12-15,Activa,False
679,1639,2023-11-16,Activa,True
983,2260,2022-06-22,Bloqueada,False
1686,1781,2021-11-03,Bloqueada,False
190,455,2022-01-12,Activa,True
209,2961,2022-03-10,Bloqueada,True
1748,2398,2020-12-15,Activa,False
1101,1500,2023-03-20,Bloqueada,True
2155,2949,2020-08-04,Activa,True
884,1790,2022-12-30,Bloqueada,True
2064,952,2022-05-31,Bloqueada,True
2609,2246,2021-12-12,Activa,False
1220,2943,2021-06-13,Bloqueada,True
1114,2970,2023-12-02,Bloqueada,False
704,677,2022-02-06,Bloqueada,True
2094,554,2021-10-22,Activa,True
2972,2340,2021-05-02,Bloqueada,False
522,2942,2020-11-17,Activa,False
809,2967,2023-07-13,Bloqueada,False
1590,733,2023-04-18,Bloqueada,False
2254,541,2021-07-02,Activa,False
2222,2729,2020-09-08,Activa,False
2965,41,2021-06-10,Activa,True
2463,1624,2022-11-03,Bloqueada,True
2372,11,2023-11-16,Activa,True
1811,555,2022-12-11,Bloqueada,False
2015,1314,2021-10-02,Bloqueada,False
1664,2723,2022-11-18,Bloqueada,True
2550,2784,2023-11-25,Activa,True
597,1156,2021-12-05,Bloqueada,False
1924,1677,2020-09-27,Bloqueada,False
2774,1541,2022-12-22,Bloqueada,True
1774,521,2020-07-04,Activa,False
1028,575,2020-05-29,Bloqueada,False
307,1055,2021-04-20,Activa,True
2631,1659,2020-04-04,Activa,False
2620,1286,2023-04-04,Bloqueada,True
2453,1848,2022-12-31,Activa,False
907,2178,2020-10-20,Bloqueada,True
1400,550,2021-04-16,Activa,False
2249,2342,2021-03-22,Activa,False
663,2919,2022-11-23,Bloqueada,True
1177,768,2023-06-04,Activa,False
988,2342,2020-11-01,Activa,True
1127,1521,2021-05-20,Bloqueada,True
2734,81,2022-05-28,Bloqueada,False
317,2155,2023-09-29,Activa,True
6,931,2021-06-29,Activa,True
1239,73,2021-11-16,Bloqueada,True
2132,2018,2023-05-15,Bloqueada,True
2305,366,2022-02-03,Bloqueada,True
1441,2865,2022-12-30,Bloqueada,False
2451,1708,2023-04-24,Bloqueada,False
2512,2016,2022-06-17,Bloqueada,True
2582,226,2023-01-10,Bloqueada,True
2204,1672,2021-08-26,Activa,True
804,1158,2021-04-09,Activa,True
2016,432,2023-10-30,Activa,True
1660,2985,2020-08-15,Bloqueada,False
911,1842,2023-07-10,Bloqueada,True
2696,1806,2021-06-15,Activa,False
1845,359,2020-10-26,Activa,True
1101,1653,2020-05-13,Activa,True
1009,2783,2021-07-16,Activa,True
2346,1823,2020-03-26,Bloqueada,True
1061,2648,2022-12-22,Activa,True
1475,437,2022-06-04,Bloqueada,False
195,2148,2020-01-29,Activa,True
497,1944,2020-11-01,Activa,False
2313,2422,2022-10-06,Activa,True
2605,803,2021-06-05,Bloqueada,False
1082,2033,2022-08-28,Activa,True
967,1315,2021-02-06,Bloqueada,True
2087,128,2023-03-23,Activa,False
2363,2776,2022-08-01,Activa,False
2547,244,2022-01-30,Activa,False
1932,838,2020-08-05,Activa,True
1515,149,2023-01-19,Bloqueada,True
1834,1698,2020-03-04,Activa,False
2624,551,2022-01-28,Bloqueada,False
2098,2956,2021-12-15,Bloqueada,True
2051,1794,2020-12-08,Bloqueada,False
612,1933,2022-05-10,Activa,True
503,128,2021-10-16,Bloqueada,False
743,985,2020-03-25,Activa,True
1810,35,2021-03-20,Activa,False
1626,2394,2023-11-07,Bloqueada,False
1876,1899,2023-04-23,Bloqueada,True
1667,1708,2022-07-02,Bloqueada,False
744,274,2021-04-30,Activa,True
2052,1657,2022-08-04,Activa,True
545,389,2022-09-26,Activa,False
1171,2713,2021-09-12,Bloqueada,False
2915,2620,2022-05-18,Bloqueada,True
1163,415,2020-09-24,Activa,False
1376,1526,2022-01-01,Activa,True
2381,1305,2023-10-05,Bloqueada,True
561,1388,2020-02-26,Activa,False
496,895,2021-05-24,Activa,True
233,1338,2023-05-20,Bloqueada,False
2135,1051,2020-04-01,Activa,False
522,2666,2020-07-09,Bloqueada,True
686,152,2023-12-07,Bloqueada,True
1500,878,2023-03-27,Bloqueada,False
447,40,2023-06-12,Activa,True
1881,1843,2022-09-05,Bloqueada,True
666,2172,2021-11-29,Bloqueada,True
385,2264,2020-04-04,Bloqueada,True
946,2567,2023-03-14,Activa,False
719,2955,2021-10-02,Bloqueada,True
947,2245,2023-07-13,Activa,False
662,2130,2020-07-28,Bloqueada,False
826,2913,2020-07-25,Activa,True
2438,2741,2022-10-31,Activa,False
1387,2928,2023-01-19,Bloqueada,True
2821,1170,2020-02-12,Bloqueada,False
2397,479,2020-03-31,Activa,True
970,632,2020-09-16,Bloqueada,True
2925,252,2022-07-29,Activa,True
561,15,2021-05-06,Activa,True
1950,1861,2023-02-04,Activa,False
1790,1800,2021-03-01,Bloqueada,True
2908,1520,2021-07-22,Bloqueada,False
1137,2210,2022-06-13,Activa,False
2359,1671,2020-10-03,Bloqueada,True
936,893,2022-01-18,Bloqueada,True
2624,264,2020-08-12,Bloqueada,True
2690,2243,2023-05-22,Bloqueada,False
2672,1587,2022-12-05,Bloqueada,True
2942,2106,2020-05-20,Activa,True
403,1548,2020-12-22,Bloqueada,False
1870,2915,2021-09-09,Bloqueada,True
357,1674,2022-01-12,Activa,True
963,1391,2020-10-08,Bloqueada,True
420,2770,2021-06-29,Activa,True
1468,462,2020-08-15,Bloqueada,True
1108,2202,2022-04-22,Activa,False
2748,258,2022-01-07,Bloqueada,False
1210,648,2022-02-25,Activa,False
611,185,2021-01-30,Activa,False
213,2266,2020-07-01,Bloqueada,False
325,2786,2021-09-27,Bloqueada,True
1884,95,2023-12-28,Activa,False
2056,1540,2022-07-31,Bloqueada,True
1388,1381,2022-01-18,Bloqueada,False
1775,403,2020-11-03,Activa,False
610,1461,2022-06-26,Bloqueada,True
2972,2657,2020-09-13,Bloqueada,False
1183,2560,2021-06-09,Activa,True
1326,2848,2023-01-30,Bloqueada,False
749,636,2022-04-29,Bloqueada,True
2015,1042,2023-08-12,Bloqueada,False
857,1537,2020-10-12,Bloqueada,True
1040,2363,2023-07-27,Activa,True
923,575,2022-10-04,Activa,True
888,686,2023-11-21,Bloqueada,False
706,417,2021-11-15,Activa,True
1349,751,2022-05-27,Activa,False
2400,1034,2021-07-29,Activa,False
426,2946,2023-10-23,Activa,False
2454,975,2023-11-09,Bloqueada,True
2484,219,2021-10-03,Activa,True
512,282,2020-01-06,Bloqueada,False
1261,1254,2020-11-27,Activa,True
1069,1843,2022-05-18,Activa,True
1252,1394,2020-01-17,Bloqueada,True
1728,1104,2023-05-15,Activa,False
465,342,2023-09-27,Bloqueada,False
1400,677,2021-09-25,Bloqueada,True
2453,994,2023-10-22,Activa,False
2852,2373,2023-05-10,Bloqueada,True
1959,741,2021-09-28,Bloqueada,True
2817,456,2023-06-07,Bloqueada,False
233,529,2021-12-25,Activa,False
72,2530,2021-09-24,Activa,True
2668,1783,2022-02-27,Activa,False
389,410,2021-04-11,Activa,False
651,2432,2020-02-27,Bloqueada,True
2125,2353,2021-07-13,Activa,True
1872,687,2023-05-05,Bloqueada,False
1981,336,2022-04-26,Activa,False
2902,2975,2022-05-17,Bloqueada,False
2028,2025,2020-09-11,Activa,True
36,1380,2020-11-20,Bloqueada,True
2722,313,2020-05-10,Activa,True
630,740,2021-08-23,Bloqueada,True
1447,620,2023-10-26,Activa,False
941,855,2022-06-27,Activa,False
2719,2107,2023-09-19,Activa,True
1838,1915,2021-08-05,Bloqueada,False
2870,2404,2020-12-07,Bloqueada,True
33,1492,2020-10-12,Bloqueada,False
852,936,2022-06-08,Bloqueada,True
2421,2297,2021-12-03,Bloqueada,True
1450,463,2021-04-22,Activa,False
1562,588,2022-06-21,Activa,True
2152,1637,2022-07-16,Activa,True
1043,1874,2023-03-24,Bloqueada,False
1648,2625,2021-03-22,Activa,True
289,818,2022-05-30,Activa,True
2199,66,2020-03-03,Activa,False
706,2054,2022-06-17,Activa,True
2000,1773,2020-05-13,Bloqueada,True
639,1782,2022-05-23,Activa,False
2868,861,2023-04-23,Activa,False
1883,669,2021-06-06,Activa,True
2962,2019,2021-11-10,Activa,False
2347,683,2022-07-21,Activa,True
1999,190,2020-04-20,Bloqueada,False
558,1931,2023-09-04,Activa,False
916,1630,2021-02-21,Bloqueada,True
1756,1407,2020-12-16,Bloqueada,True
1572,1188,2022-05-01,Activa,False
2317,505,2021-10-29,Activa,False
1929,1199,2022-05-15,Bloqueada,False
856,157,2020-01-23,Activa,False
569,1288,2021-04-26,Bloqueada,True
1255,2718,2021-02-27,Bloqueada,True
110,17,2021-12-29,Activa,True
651,2520,2023-09-21,Activa,True
1780,96,2022-01-09,Activa,False
1294,959,2021-11-03,Activa,False
2019,1738,2022-04-12,Bloqueada,True
572,2884,2021-04-06,Bloqueada,True
652,1067,2020-01-01,Activa,True
1702,1898,2022-11-09,Bloqueada,True
717,1183,2023-04-07,Activa,False
135,2411,2020-09-20,Bloqueada,False
1429,1480,2020-05-19,Activa,True
2381,940,2023-11-23,Activa,True
1616,792,2022-05-31,Activa,False
1810,741,2022-12-24,Activa,True
282,1020,2020-05-08,Activa,True
1021,344,2022-08-28,Activa,False
757,1752,2020-07-13,Bloqueada,True
524,528,2022-07-29,Activa,True
794,474,2020-10-13,Activa,True
114,2621,2020-02-29,Bloqueada,False
1104,782,2020-02-29,Bloqueada,False
2971,1842,2021-09-30,Bloqueada,False
2460,1342,2022-08-27,Activa,True
851,1756,2023-10-27,Bloqueada,True
873,1324,2023-05-03,Activa,False
1016,1568,2022-06-18,Bloqueada,False
1887,301,2023-12-10,Bloqueada,False
2222,1741,2022-05-08,Bloqueada,False
953,1693,2023-02-16,Bloqueada,False
1560,1447,2021-08-27,Bloqueada,False
206,810,2021-09-27,Bloqueada,False
2510,1562,2021-12-29,Activa,True
1552,1945,2021-02-12,Bloqueada,True
1780,1436,2020-03-20,Bloqueada,True
1660,591,2022-01-02,Activa,False
2018,157,2023-08-09,Bloqueada,True
2370,2455,2022-04-10,Activa,False
1255,687,2022-10-25,Bloqueada,False
712,2568,2021-02-05,Bloqueada,True
89,2765,2020-10-21,Bloqueada,True
2679,1689,2023-09-27,Bloqueada,True
2431,352,2020-06-21,Activa,True
2802,569,2021-12-23,Activa,False
2761,393,2021-12-21,Bloqueada,True
2264,64,2021-02-25,Activa,True
2931,2764,2020-05-23,Bloqueada,True
2290,2205,2020-03-04,Bloqueada,True
652,887,2020-01-20,Bloqueada,True
2629,603,2020-08-09,Activa,False
1952,2949,2021-02-13,Activa,False
2079,2301,2023-08-12,Bloqueada,False
456,1806,2022-03-26,Activa,False
2275,2761,2020-09-05,Bloqueada,True
2294,230,2021-08-21,Activa,False
1002,1701,2022-11-30,Bloqueada,True
750,2991,2023-04-01,Bloqueada,False
2197,2497,2020-01-24,Bloqueada,True
1793,1843,2020-01-18,Bloqueada,False
2777,2310,2021-05-23,Activa,False
762,439,2021-07-10,Activa,True
2448,2622,2023-12-02,Bloqueada,True
1146,2194,2023-03-04,Activa,False
242,116,2022-01-25,Bloqueada,False
2954,2796,2020-06-30,Bloqueada,False
1623,1189,2020-06-22,Activa,False
2441,2445,2021-02-23,Activa,False
125,1991,2023-06-28,Bloqueada,True
11,147,2023-04-18,Bloqueada,False
2997,2228,2020-06-01,Activa,True
740,1702,2020-04-06,Activa,False
1847,1531,2020-04-01,Bloqueada,True
324,2756,2020-11-19,Activa,False
28,2084,2022-05-06,Bloqueada,False
944,1261,2020-04-15,Bloqueada,True
824,1172,2020-11-09,Bloqueada,False
2864,1611,2023-02-24,Bloqueada,True
1480,339,2021-06-22,Bloqueada,True
2712,836,2020-03-13,Bloqueada,False
40,822,2022-05-17,Bloqueada,True
2033,2274,2022-10-09,Activa,False
1005,191,2020-02-01,Activa,False
395,2563,2020-07-29,Bloqueada,True
440,2604,2022-06-07,Activa,True
278,1027,2022-05-21,Bloqueada,False
1030,292,2020-03-18,Activa,False
1289,1324,2020-03-28,Activa,True
2675,2476,2022-05-29,Activa,False
461,1759,2022-01-27,Activa,False
167,568,2022-11-27,Activa,False
295,1083,2020-10-04,Activa,False
1572,468,2023-07-19,Activa,False
689,195,2021-04-09,Bloqueada,True
2530,1868,2023-12-30,Bloqueada,True
1663,2627,2022-10-13,Bloqueada,False
2053,1153,2021-05-25,Activa,True
2462,810,2021-01-10,Bloqueada,False
2723,155,2022-09-02,Activa,False
837,260,2023-01-22,Bloqueada,False
2988,1643,2021-05-05,Activa,False
2612,2520,2020-08-12,Bloqueada,False
1349,405,2020-03-05,Activa,False
773,350,2023-03-29,Bloqueada,True
475,757,2021-12-09,Bloqueada,True
789,1686,2023-10-19,Activa,False
676,807,2023-02-16,Activa,True
1590,1666,2023-08-01,Activa,False
93,2271,2023-12-01,Bloqueada,True
691,1523,2022-02-08,Bloqueada,False
938,2795,2020-07-01,Activa,False
1511,1849,2021-05-26,Activa,False
1646,2434,2023-02-11,Bloqueada,False
1234,2875,2021-10-28,Activa,True
1453,2589,2023-07-07,Activa,False
1301,1845,2021-08-10,Bloqueada,True
547,1674,2022-09-06,Bloqueada,True
363,2337,2020-10-02,Bloqueada,False
2610,1915,2023-08-04,Activa,True
1806,1887,2020-11-08,Bloqueada,True
1260,490,2020-02-22,Activa,True
2297,1625,2021-08-22,Activa,True
370,2650,2021-05-29,Bloqueada,True
2947,2304,2022-02-18,Activa,False
1354,721,2021-06-01,Activa,True
2332,2058,2023-10-25,Activa,True
2745,1234,2020-01-16,Activa,True
2918,398,2021-03-17,Activa,False
659,2908,2021-06-14,Activa,True
746,1341,2023-06-22,Activa,True
1057,2254,2023-02-08,Activa,False
788,1275,2023-08-01,Activa,False
2770,619,2022-08-31,Bloqueada,False
2083,2314,2021-11-09,Activa,True
686,198,2021-02-25,Bloqueada,False
1847,1378,2022-07-11,Activa,True
1873,2613,2023-12-12,Activa,True
389,2655,2022-03-04,Activa,True
528,1225,2023-11-07,Activa,True
2958,2654,2023-06-12,Bloqueada,False
325,313,2022-08-20,Activa,True
1385,2013,2023-08-09,Activa,False
2764,2651,2021-09-02,Bloqueada,True
1548,1904,2023-06-18,Bloqueada,False
795,2120,2022-10-24,Bloqueada,True
474,60,2023-12-28,Bloqueada,True
300,1908,2020-05-08,Bloqueada,False
1053,2893,2022-01-05,Bloqueada,False
2946,42,2020-05-26,Activa,False
1260,2494,2023-01-22,Bloqueada,True
2785,1272,2023-05-12,Activa,True
1256,1506,2022-04-05,Bloqueada,True
2297,999,2023-03-10,Activa,True
1445,1567,2020-08-07,Bloqueada,True
1784,2186,2023-10-08,Bloqueada,True
1713,2658,2023-09-13,Bloqueada,False
1914,86,2022-01-10,Activa,False
796,306,2020-07-15,Bloqueada,False
1920,925,2020-08-25,Activa,False
1202,1263,2021-03-24,Activa,False
805,1368,2022-12-11,Bloqueada,False
1765,22,2023-07-12,Bloqueada,False
2253,171,2021-09-26,Bloqueada,False
861,2839,2021-11-30,Activa,True
619,1304,2021-03-14,Bloqueada,False
2856,630,2022-12-07,Bloqueada,True
1820,2862,2020-12-26,Bloqueada,False
1893,1872,2023-03-14,Activa,True
985,1765,2023-08-07,Activa,False
541,1865,2023-03-24,Activa,True
2974,1025,2021-12-11,Bloqueada,False
2815,247,2022-07-23,Bloqueada,True
421,1897,2020-06-22,Activa,False
2793,1637,2023-04-19,Activa,True
587,1786,2022-05-14,Activa,False
1826,1574,2021-07-14,Activa,False
2608,2455,2021-09-15,Bloqueada,False
1506,166,2023-03-29,Activa,True
780,972,2020-02-09,Bloqueada,False
558,1363,2022-01-12,Activa,False
582,1703,2022-10-26,Activa,True
2429,852,2021-12-04,Bloqueada,True
2117,2226,2020-12-19,Bloqueada,False
1711,2915,2022-09-12,Activa,False
1990,2212,2023-01-28,Activa,True
63,2050,2023-11-02,Activa,False
839,2029,2021-12-21,Bloqueada,False
2594,1171,2021-02-08,Bloqueada,False
2136,825,2020-02-20,Activa,False
2364,338,2020-12-01,Bloqueada,True
218,2923,2023-03-04,Activa,False
1094,636,2023-04-22,Activa,False
668,1211,2022-06-18,Bloqueada,False
2655,2498,2020-02-11,Activa,False
653,643,2022-04-15,Bloqueada,True
928,748,2023-05-22,Bloqueada,True
1448,998,2022-11-14,Bloqueada,False
2437,2542,2023-03-18,Activa,False
1590,164,2020-05-09,Bloqueada,False
2514,1616,2021-06-15,Activa,True
2316,2185,2021-06-18,Activa,True
780,1590,2020-05-01,Activa,True
1160,2354,2022-06-28,Activa,True
145,1467,2021-12-12,Bloqueada,True
2836,2692,2020-08-21,Bloqueada,True
1435,2548,2020-09-08,Bloqueada,False
1714,525,2022-09-29,Activa,True
1458,1277,2023-11-24,Bloqueada,False
2863,1543,2021-01-19,Activa,False
2321,265,2022-10-27,Activa,False
810,32,2020-05-18,Activa,False
1334,273,2022-02-08,Bloqueada,False
635,276,2022-11-26,Bloqueada,True
2126,511,2020-07-04,Bloqueada,False
2035,1691,2020-07-23,Activa,True
1885,2055,2021-10-18,Activa,False
473,2211,2022-12-27,Bloqueada,True
500,2235,2023-04-24,Bloqueada,False
1802,1372,2023-06-14,Bloqueada,True
235,906,2022-09-30,Activa,True
2294,87,2023-04-12,Activa,True
572,2037,2020-12-17,Activa,False
2761,483,2022-09-11,Activa,True
406,70,2020-05-16,Bloqueada,True
1718,816,2022-12-12,Activa,False
2590,2211,2020-06-30,Bloqueada,True
1867,1899,2023-07-22,Bloqueada,True
1390,16,2020-11-05,Activa,False
746,1577,2021-12-24,Bloqueada,True
2329,2036,2021-12-31,Bloqueada,True
1821,2682,2022-03-16,Activa,False
2499,1530,2023-06-06,Bloqueada,True
1422,1355,2021-12-28,Bloqueada,False
2652,182,2020-01-28,Activa,False
1355,1821,2021-01-14,Activa,False
2128,1908,2023-09-02,Bloqueada,True
1095,2891,2022-10-28,Activa,False
1393,169,2020-08-24,Activa,False
2026,646,2020-03-05,Bloqueada,True
1364,1383,2023-05-05,Bloqueada,True
1773,1638,2021-01-16,Bloqueada,True
2456,1326,2020-01-16,Bloqueada,False
523,2289,2023-04-30,Bloqueada,False
1146,1688,2020-09-24,Activa,True
355,2366,2020-12-24,Activa,False
2066,2068,2021-07-30,Bloqueada,False
2563,2389,2023-03-20,Activa,False
2831,2214,2020-12-07,Activa,False
1282,999,2021-12-20,Activa,True
1702,1787,2021-04-22,Activa,False
2497,1055,2020-01-27,Activa,True
1993,2596,2020-05-29,Activa,True
2014,2337,2020-06-11,Bloqueada,True
768,1687,2023-05-30,Activa,True
2608,2141,2021-07-04,Activa,True
1638,1821,2020-09-08,Bloqueada,False
879,370,2020-01-04,Bloqueada,False
2258,973,2020-01-02,Activa,True
667,1130,2023-01-21,Bloqueada,False
406,743,2022-02-08,Bloqueada,True
2424,1852,2020-10-28,Bloqueada,True
1318,375,2023-07-15,Activa,False
714,2544,2022-08-18,Bloqueada,True
2005,334,2023-05-31,Bloqueada,True
758,899,2022-08-08,Bloqueada,False
16,1473,2021-12-23,Bloqueada,True
974,1541,2020-02-13,Bloqueada,False
2125,1806,2022-07-18,Bloqueada,True
1074,1522,2021-10-07,Activa,True
1857,999,2020-01-31,Bloqueada,True
2534,1355,2023-11-09,Bloqueada,False
799,601,2022-01-11,Activa,False
994,1853,2020-10-31,Activa,False
2550,204,2023-11-16,Activa,True
1215,987,2020-04-20,Bloqueada,False
659,440,2022-06-09,Bloqueada,True
2276,1811,2021-03-25,Activa,True
2434,763,2022-12-05,Bloqueada,True
920,966,2023-03-03,Activa,False
1442,523,2020-06-06,Activa,False
1908,2120,2020-12-28,Bloqueada,False
806,1447,2020-08-31,Activa,True
2847,149,2023-07-25,Activa,True
1807,1220,2021-09-17,Bloqueada,False
2171,363,2023-05-19,Bloqueada,True
825,527,2022-04-28,Activa,True
1185,1732,2023-03-27,Activa,False
2281,874,2022-10-11,Bloqueada,False
904,2757,2023-03-21,Bloqueada,True
315,2049,2021-01-03,Activa,True
2082,1273,2020-10-20,Bloqueada,True
2314,1070,2023-06-13,Bloqueada,True
2614,2697,2023-10-13,Bloqueada,True
1757,1333,2023-04-01,Activa,False
2056,2451,2022-11-17,Activa,True
1051,1744,2021-02-18,Activa,True
2793,1907,2023-03-18,Bloqueada,False
2018,864,2022-06-02,Activa,False
1665,2740,2022-08-09,Activa,True
2291,906,2021-10-11,Activa,True
1697,503,2023-06-07,Activa,True
1240,1781,2023-07-21,Activa,False
655,2222,2020-11-05,Bloqueada,True
1109,2465,2020-01-19,Bloqueada,False
508,1329,2021-10-29,Bloqueada,False
2791,1868,2020-12-05,Bloqueada,False
2719,2886,2023-12-10,Activa,False
2113,786,2021-06-18,Activa,True
2899,1859,2020-07-18,Bloqueada,True
2222,2433,2022-11-27,Activa,False
2513,652,2021-06-25,Activa,True
1348,903,2020-04-22,Activa,True
1710,1981,2021-09-19,Bloqueada,True
2547,2858,2021-12-10,Activa,False
202,2654,2023-12-05,Bloqueada,False
697,790,2022-07-22,Bloqueada,False
1038,1355,2022-07-14,Activa,False
1579,1602,2020-02-23,Bloqueada,False
190,278,2022-01-01,Activa,False
2229,2021,2022-05-18,Activa,True
1639,1956,2022-07-14,Bloqueada,True
501,2969,2023-07-26,Bloqueada,True
1376,936,2021-08-05,Activa,False
1757,1039,2020-11-18,Activa,True
678,444,2021-01-08,Bloqueada,False
117,405,2022-11-10,Bloqueada,False
160,823,2020-07-15,Bloqueada,False
391,1602,2021-10-23,Bloqueada,True
2549,1338,2022-12-25,Activa,False
2324,544,2023-07-14,Activa,True
2,505,2020-11-03,Activa,False
1108,1620,2023-11-20,Bloqueada,False
2939,1168,2021-07-25,Activa,False
57,1993,2023-10-18,Activa,False
345,168,2020-08-16,Activa,False
1022,1975,2022-01-28,Bloqueada,False
217,2,2022-11-28,Bloqueada,True
2746,215,2022-07-31,Bloqueada,False
72,1622,2022-04-17,Bloqueada,True
181,2288,2020-12-20,Activa,True
438,2332,2023-05-15,Activa,True
21,1962,2020-10-22,Activa,True
1946,1728,2023-01-01,Activa,True
2374,2972,2021-10-15,Activa,True
1307,490,2023-04-15,Bloqueada,True
1331,1759,2023-11-29,Bloqueada,True
1490,1681,2021-05-16,Bloqueada,False
2003,2307,2023-01-23,Bloqueada,True
2575,2876,2021-05-01,Activa,False
887,1642,2021-09-08,Activa,False
817,2764,2023-04-28,Activa,False
2542,2322,2022-03-17,Activa,False
2894,2143,2023-05-24,Bloqueada,True
1942,2631,2021-09-19,Activa,False
1373,1608,2020-12-30,Activa,True
1624,1974,2022-08-04,Activa,False
1876,1910,2021-05-27,Activa,True
89,544,2020-06-13,Activa,False
2088,1779,2021-08-03,Activa,False
2475,1267,2023-03-17,Bloqueada,True
1339,2846,2020-05-01,Bloqueada,False
1628,126,2022-03-24,Activa,True
2732,2727,2022-04-04,Activa,True
1685,886,2023-02-01,Activa,True
1735,2916,2023-03-08,Bloqueada,False
777,163,2021-08-02,Activa,False
1203,2238,2022-09-11,Bloqueada,False
2216,2129,2020-05-01,Bloqueada,True
256,1679,2023-08-12,Activa,True
757,2000,2020-07-08,Bloqueada,True
1661,1400,2023-06-17,Activa,True
949,2408,2022-11-05,Activa,True
2032,2064,2021-10-25,Bloqueada,True
1137,1434,2022-11-10,Activa,True
