Cliente_ID,Comercio_ID,Frecuencia,Monto_Promedio,Última_Compra
2136,756,Mensual,117.73,2020-11-18
1897,1259,Diario,475.55,2023-04-27
2457,1350,Diario,329.15,2022-05-08
2814,944,Mensual,555.4,2023-08-25
1356,1966,Diario,180.29,2022-11-03
1426,315,Diario,674.67,2023-03-27
2443,554,Mensual,882.55,2021-07-13
688,385,Semanal,217.15,2022-12-31
33,325,Semanal,714.8,2023-10-01
2163,1509,Diario,840.83,2022-02-14
2338,1223,Mensual,522.55,2022-10-11
2070,487,Diario,242.61,2021-04-15
2919,1598,Semanal,239.0,2021-08-13
1992,1835,Semanal,334.86,2023-12-07
1822,100,Mensual,164.57,2022-06-03
990,892,Semanal,292.64,2022-11-17
275,875,Diario,152.33,2022-07-24
1017,65,Diario,130.21,2021-01-07
2434,656,Semanal,601.29,2023-12-18
444,554,Diario,781.38,2022-03-02
482,424,Semanal,639.48,2020-06-09
1575,777,Semanal,727.39,2022-11-10
305,1657,Semanal,711.65,2023-03-21
2227,1904,Diario,265.5,2020-05-23
2701,414,Semanal,229.89,2021-06-13
701,352,Semanal,389.48,2023-12-13
2169,250,Mensual,14.7,2023-11-06
1914,830,Semanal,144.56,2023-01-11
2355,643,Mensual,901.37,2022-03-24
2504,1777,Mensual,284.53,2020-03-13
838,1247,Diario,722.28,2023-11-23
1120,1936,Mensual,641.74,2021-11-25
578,1235,Diario,681.52,2020-11-30
2559,1277,Semanal,741.24,2021-03-04
2001,474,Mensual,986.91,2021-12-08
1881,349,Semanal,564.55,2023-08-30
404,1899,Semanal,468.94,2020-04-15
922,1775,Mensual,918.81,2020-06-23
970,1427,Diario,121.11,2021-11-01
1284,81,Diario,777.69,2021-12-04
344,1642,Mensual,374.95,2023-04-05
2983,1889,Semanal,623.13,2023-03-28
481,1632,Diario,63.65,2020-06-06
2973,1477,Semanal,309.86,2021-03-15
2372,1530,Diario,858.05,2022-11-14
934,1455,Diario,611.87,2020-06-04
238,491,Mensual,866.82,2023-06-11
772,1169,Mensual,805.96,2020-03-06
121,1813,Mensual,289.59,2023-07-19
1466,1595,Mensual,847.21,2023-02-06
383,453,Mensual,530.15,2023-10-20
1233,475,Diario,359.79,2021-01-23
1462,1894,Semanal,351.1,2021-09-13
2406,1788,Diario,36.74,2021-05-17
210,1675,Semanal,153.66,2023-07-29
139,1982,Mensual,50.19,2020-06-14
1440,565,Mensual,176.35,2021-06-04
2499,488,Diario,128.85,2021-06-30
2928,27,Diario,164.06,2022-05-18
2915,726,Mensual,896.48,2023-09-11
1071,1569,Mensual,931.47,2023-04-06
1032,1113,Mensual,646.2,2020-03-25
55,376,Semanal,172.62,2022-11-03
2237,1443,Mensual,375.37,2020-11-22
2098,319,Mensual,490.76,2022-06-17
1006,517,Mensual,45.02,2021-02-07
1862,1405,Semanal,81.98,2022-05-02
2472,1062,Semanal,206.97,2021-01-31
582,676,Semanal,256.34,2021-11-26
2183,1723,Semanal,521.02,2020-03-30
2393,1516,Diario,449.92,2020-04-06
2841,1266,Mensual,787.74,2023-07-29
2463,1429,Diario,759.84,2023-02-14
2727,1843,Mensual,753.47,2022-01-18
2626,1917,Diario,913.99,2022-10-19
2843,565,Mensual,381.67,2021-11-14
668,1435,Mensual,836.63,2023-11-14
2152,1355,Diario,599.36,2022-04-07
2270,1051,Diario,240.88,2023-08-31
1671,1464,Diario,499.78,2023-07-09
1170,1486,Semanal,984.89,2020-03-23
2417,593,Semanal,646.63,2022-08-07
183,692,Diario,320.6,2023-01-22
2475,669,Mensual,38.97,2022-02-24
1605,108,Diario,847.54,2023-06-01
470,204,Mensual,261.98,2021-03-07
2778,1363,Mensual,929.6,2021-10-07
1104,64,Mensual,679.24,2020-09-18
1021,1317,Mensual,580.58,2023-01-15
1334,302,Mensual,262.32,2022-12-07
833,31,Diario,496.12,2022-06-15
2760,565,Diario,345.0,2022-08-31
2588,1036,Mensual,621.64,2022-12-18
962,525,Mensual,565.67,2022-04-30
1679,1279,Semanal,361.13,2021-11-14
1752,310,Semanal,52.41,2021-09-18
1156,1269,Diario,395.97,2023-03-16
1049,580,Diario,973.29,2023-06-14
2703,1542,Semanal,897.98,2023-09-22
1904,115,Mensual,953.14,2021-08-17
1688,1103,Diario,985.58,2022-11-24
1486,44,Semanal,76.65,2020-09-03
2197,699,Diario,542.54,2022-01-12
2143,1209,Semanal,633.73,2020-08-19
1377,1963,Diario,759.06,2023-11-12
586,373,Diario,97.51,2021-10-11
2433,677,Diario,57.61,2021-04-24
1204,324,Diario,516.88,2023-10-25
1689,1843,Mensual,634.3,2022-10-20
2475,1866,Semanal,802.86,2022-02-03
292,684,Semanal,717.15,2021-04-26
1639,327,Semanal,847.84,2022-09-13
2847,1994,Diario,523.86,2023-01-24
2494,1898,Semanal,328.78,2021-12-05
841,1224,Semanal,189.03,2021-09-28
2410,1346,Diario,375.68,2023-05-11
1723,1225,Diario,436.68,2022-06-03
1861,1206,Diario,768.39,2021-06-22
508,1391,Diario,667.0,2022-09-19
1547,989,Diario,962.88,2020-11-17
1341,312,Diario,690.95,2023-01-25
1239,1514,Semanal,429.65,2020-01-24
859,979,Semanal,846.59,2020-10-11
2783,723,Semanal,787.95,2022-09-22
2123,499,Semanal,192.3,2023-12-18
2259,1320,Diario,230.11,2021-06-08
1632,313,Semanal,341.6,2022-07-01
1917,6,Semanal,173.05,2020-03-08
2717,782,Diario,237.73,2020-10-22
999,1017,Semanal,115.02,2022-10-05
267,1291,Diario,627.55,2022-08-07
599,71,Semanal,547.25,2020-11-15
2381,1006,Diario,615.84,2021-08-18
987,982,Diario,755.35,2023-07-06
2895,52,Semanal,138.98,2021-05-13
179,1585,Diario,494.86,2021-02-26
170,1227,Semanal,436.37,2022-06-22
637,401,Diario,759.03,2023-05-28
2656,98,Diario,282.75,2021-11-14
1234,894,Mensual,260.39,2022-02-25
1775,360,Semanal,524.85,2022-08-07
1563,642,Mensual,681.79,2023-07-04
1869,893,Semanal,865.32,2022-12-26
614,644,Diario,163.75,2020-06-27
1129,1437,Mensual,525.37,2021-12-16
2636,1686,Diario,15.24,2020-02-18
788,1282,Semanal,730.73,2021-03-30
1592,1884,Mensual,310.11,2022-08-15
1289,784,Diario,351.36,2020-10-12
2621,236,Semanal,224.88,2023-10-31
1313,1245,Diario,960.82,2020-01-26
490,1717,Diario,422.6,2020-07-13
2610,672,Semanal,759.85,2022-08-19
1048,1452,Diario,649.89,2022-09-06
2617,213,Mensual,716.31,2023-07-11
750,382,Mensual,367.85,2022-05-06
2636,857,Semanal,523.11,2023-05-16
1369,324,Diario,313.42,2021-03-17
2615,1646,Semanal,857.23,2020-02-19
998,748,Semanal,199.24,2021-12-01
1714,890,Diario,713.76,2020-05-23
415,445,Diario,912.12,2023-12-06
1174,15,Diario,160.83,2022-03-17
1845,965,Semanal,427.1,2022-03-01
2785,6,Mensual,369.87,2020-05-04
2610,83,Mensual,463.29,2023-04-24
945,781,Diario,321.39,2021-04-20
169,1227,Mensual,658.63,2023-01-09
2413,833,Mensual,648.81,2021-01-07
1700,685,Semanal,52.69,2023-10-16
2097,289,Semanal,806.15,2023-01-16
154,394,Diario,789.66,2021-10-17
2361,1292,Diario,447.24,2022-10-01
1321,56,Diario,375.23,2020-01-10
420,98,Semanal,421.83,2023-03-01
1152,263,Mensual,762.25,2021-12-23
2809,1123,Semanal,191.38,2020-12-11
78,804,Semanal,186.67,2020-08-19
202,561,Diario,589.06,2020-02-11
2913,374,Diario,199.67,2020-08-16
2922,246,Semanal,456.55,2022-01-28
2537,296,Diario,121.29,2023-03-23
2926,635,Mensual,512.74,2023-11-16
2864,1384,Semanal,149.97,2021-03-28
1616,183,Diario,892.9,2023-08-01
1208,913,Semanal,393.8,2020-09-02
1990,1526,Mensual,313.68,2023-09-08
2573,884,Mensual,67.59,2020-03-23
2622,1185,Semanal,422.1,2021-03-12
1467,521,Mensual,43.01,2021-11-08
1114,791,Semanal,486.63,2020-12-20
1747,471,Semanal,382.22,2022-09-27
849,1597,Semanal,574.2,2023-10-14
2864,990,Mensual,682.44,2023-02-19
2275,709,Mensual,786.63,2022-05-02
2894,1265,Mensual,817.45,2020-07-31
1429,1835,Semanal,991.35,2022-11-12
537,1032,Mensual,977.36,2020-12-04
261,753,Semanal,298.22,2023-09-05
2892,628,Semanal,22.68,2020-11-25
796,120,Diario,406.87,2020-03-29
164,1911,Diario,689.49,2021-02-04
130,121,Diario,776.39,2021-11-02
1437,4,Mensual,643.84,2020-10-23
432,802,Mensual,302.78,2020-05-28
1827,270,Mensual,164.28,2020-02-20
2479,1828,Diario,203.17,2023-02-23
1873,900,Diario,12.54,2021-01-30
2251,1479,Diario,97.49,2020-12-10
1563,1386,Diario,109.45,2021-01-23
2053,1849,Diario,512.84,2020-09-29
2237,689,Mensual,278.28,2020-01-22
1370,1669,Diario,922.81,2022-09-23
733,1127,Semanal,429.66,2023-10-14
1647,361,Diario,691.15,2021-02-01
1859,958,Semanal,494.65,2023-07-08
2286,1880,Diario,626.59,2022-02-07
319,1224,Mensual,530.81,2020-09-30
191,1960,Semanal,250.64,2022-01-19
1108,1379,Diario,69.04,2022-06-21
2630,1918,Semanal,121.56,2022-09-02
2473,651,Diario,336.6,2021-04-19
2818,813,Semanal,730.34,2023-02-03
1911,1485,Diario,299.29,2023-01-12
2884,68,Semanal,283.0,2021-05-02
2207,1830,Mensual,400.69,2021-09-21
306,1687,Diario,974.76,2023-12-09
2775,1931,Semanal,184.37,2021-02-06
733,1107,Mensual,64.11,2022-12-18
567,149,Mensual,490.65,2020-02-10
923,874,Diario,329.31,2020-09-12
2503,327,Mensual,377.21,2022-08-28
235,1756,Mensual,46.88,2022-04-25
866,1052,Mensual,10.59,2022-07-17
2574,13,Diario,776.11,2020-12-08
2266,57,Semanal,55.36,2023-03-03
2361,724,Diario,806.05,2022-09-16
2585,1317,Diario,938.61,2020-11-27
1935,1888,Semanal,49.07,2022-06-21
1719,892,Semanal,622.82,2021-01-28
1665,1026,Mensual,883.37,2021-02-02
1156,356,Semanal,673.76,2021-08-20
2962,1909,Mensual,650.99,2020-05-07
1955,1588,Diario,197.28,2021-07-31
2444,1776,Diario,158.73,2021-09-03
2463,1531,Diario,791.55,2022-03-11
2055,581,Mensual,281.62,2021-10-22
1773,957,Diario,418.67,2023-04-05
2427,50,Mensual,830.52,2021-10-03
1102,251,Semanal,151.46,2023-03-29
226,1368,Diario,830.35,2022-02-24
1529,231,Mensual,764.39,2023-07-08
630,1406,Diario,194.34,2021-02-01
1110,1730,Diario,785.9,2023-12-07
212,340,Mensual,263.99,2021-10-02
1288,1208,Diario,960.37,2022-11-10
500,185,Semanal,737.5,2022-08-23
1067,332,Mensual,842.77,2022-07-09
650,1445,Diario,419.3,2022-04-20
1810,1683,Diario,184.6,2022-12-25
1206,1628,Semanal,343.12,2023-05-28
1992,696,Diario,663.46,2020-10-28
1851,1707,Mensual,970.73,2023-04-03
66,929,Diario,272.07,2020-06-05
2681,1770,Diario,801.88,2021-05-17
2625,1405,Diario,985.68,2023-06-23
2189,3,Semanal,106.75,2020-11-21
17,1412,Mensual,656.7,2021-12-27
444,520,Semanal,224.53,2023-08-18
2598,1552,Diario,901.34,2023-10-30
1774,1709,Diario,908.75,2020-08-06
2395,964,Mensual,40.21,2022-04-21
2682,994,Semanal,890.99,2021-01-15
606,296,Mensual,44.92,2022-10-09
2355,255,Semanal,481.01,2023-12-23
1142,1833,Mensual,23.73,2021-05-16
1555,578,Diario,837.89,2020-08-05
2556,1671,Semanal,555.1,2020-01-17
1400,47,Diario,528.98,2021-07-05
1482,998,Semanal,888.16,2023-08-12
2160,716,Semanal,169.71,2021-02-13
1871,1135,Diario,188.29,2022-09-24
1669,1679,Semanal,120.18,2021-12-02
2150,37,Diario,549.52,2021-03-06
2280,431,Mensual,601.19,2022-10-20
1246,1990,Semanal,595.25,2021-10-18
765,498,Diario,521.69,2023-09-04
1030,1151,Mensual,761.82,2021-11-02
175,603,Semanal,892.65,2020-01-27
1543,17,Semanal,925.9,2020-12-08
1748,1896,Semanal,926.85,2021-06-02
2619,1136,Diario,835.87,2020-10-22
2606,1277,Diario,772.54,2021-01-15
572,1143,Semanal,825.84,2022-06-24
1631,521,Diario,508.58,2021-06-21
984,666,Semanal,269.79,2021-05-16
2779,1768,Semanal,263.34,2023-09-09
2000,355,Diario,51.27,2020-05-16
52,277,Mensual,10.39,2022-11-01
2761,557,Semanal,610.99,2022-10-22
2936,1881,Mensual,981.68,2021-03-02
2146,1748,Mensual,376.77,2022-11-11
293,363,Diario,288.22,2022-12-01
675,533,Mensual,789.21,2020-11-08
1012,1575,Mensual,252.17,2021-12-09
109,1662,Diario,432.62,2022-04-04
878,888,Diario,509.05,2020-05-08
859,22,Diario,720.11,2021-03-02
143,1177,Diario,786.51,2021-12-08
2552,273,Mensual,775.52,2023-03-19
375,1542,Mensual,385.0,2020-11-21
1947,1800,Diario,898.16,2022-11-19
1400,153,Diario,237.5,2020-05-09
1187,667,Semanal,616.19,2022-05-14
1937,1845,Semanal,385.25,2020-07-30
462,436,Mensual,756.76,2020-12-26
1437,1645,Semanal,65.28,2020-09-04
727,1820,Mensual,189.75,2022-05-22
23,595,Semanal,597.02,2021-07-04
1021,285,Mensual,120.48,2020-05-03
447,115,Diario,823.49,2020-02-07
2845,1785,Semanal,659.43,2022-08-08
62,1748,Semanal,579.33,2021-08-18
2014,242,Mensual,157.95,2023-04-29
2287,374,Diario,622.17,2022-01-04
1227,134,Mensual,703.05,2022-02-27
1385,839,Mensual,443.92,2021-11-04
174,1071,Semanal,436.75,2022-09-18
1685,1837,Semanal,467.95,2022-08-27
1159,1498,Mensual,895.85,2023-04-25
2501,971,Semanal,910.28,2020-08-10
994,1234,Semanal,32.69,2022-04-24
829,870,Diario,484.69,2023-10-01
2506,830,Mensual,301.08,2020-11-14
744,1752,Semanal,995.11,2023-02-15
2749,1332,Diario,466.12,2022-06-19
452,1085,Mensual,247.7,2020-10-16
1058,926,Mensual,762.52,2023-05-19
1183,573,Mensual,694.36,2021-11-06
1014,783,Semanal,505.62,2021-01-17
2188,1372,Diario,815.19,2022-05-19
1746,51,Mensual,565.23,2020-07-22
540,850,Mensual,573.87,2021-01-08
2416,1035,Mensual,925.51,2021-12-17
1338,31,Diario,376.2,2020-07-30
381,1050,Semanal,976.15,2022-03-17
647,1269,Semanal,276.1,2023-10-14
1517,1932,Semanal,920.07,2022-02-14
43,237,Diario,581.23,2020-06-04
1998,1775,Semanal,907.05,2021-09-15
2085,987,Diario,943.91,2023-11-02
585,187,Diario,847.4,2020-05-02
399,1421,Semanal,985.81,2021-07-10
942,96,Semanal,424.39,2022-04-25
1666,1415,Diario,304.73,2021-04-03
2523,686,Mensual,896.65,2023-04-02
2152,390,Mensual,627.62,2023-01-06
2171,1754,Semanal,95.83,2020-05-13
2052,1868,Diario,45.42,2021-05-15
1455,534,Mensual,321.18,2023-08-16
1177,650,Semanal,114.99,2021-07-02
382,337,Semanal,277.54,2020-08-21
786,918,Diario,970.46,2022-09-17
1680,442,Diario,756.98,2023-06-01
1080,151,Mensual,705.23,2022-03-12
1748,1854,Diario,396.96,2023-03-05
768,494,Mensual,222.2,2021-11-01
1090,1468,Mensual,674.35,2020-10-20
899,634,Mensual,771.47,2023-05-07
385,343,Semanal,150.35,2020-07-04
263,596,Mensual,513.25,2021-04-12
2685,1855,Diario,605.98,2022-12-23
2591,1264,Mensual,699.84,2023-04-19
421,461,Semanal,829.35,2020-08-29
285,788,Diario,855.88,2023-06-16
1420,616,Mensual,947.65,2022-12-02
1184,1377,Mensual,915.44,2020-03-31
816,1695,Diario,869.06,2021-02-28
2669,1013,Semanal,175.46,2022-07-03
1990,511,Semanal,696.39,2023-12-29
2559,411,Mensual,604.81,2022-02-27
1609,1743,Semanal,60.47,2022-06-30
826,1741,Diario,992.11,2020-02-18
51,1330,Semanal,405.37,2022-03-30
1844,215,Diario,455.26,2022-10-12
768,511,Mensual,915.07,2021-08-18
2982,1473,Semanal,230.05,2022-10-17
589,415,Mensual,817.76,2020-03-02
1493,1631,Diario,698.41,2022-06-20
1503,659,Diario,372.22,2020-09-07
288,503,Diario,981.76,2021-06-07
839,552,Semanal,352.27,2022-07-16
944,1344,Semanal,16.03,2021-01-30
410,312,Mensual,767.17,2023-07-24
1578,1845,Mensual,964.35,2021-04-03
2918,1237,Diario,508.87,2022-03-06
1843,930,Mensual,818.65,2023-07-16
1854,715,Mensual,254.27,2023-12-30
2187,1689,Diario,430.28,2020-11-26
2229,1716,Diario,469.88,2020-03-13
2585,556,Diario,524.23,2020-01-21
882,736,Semanal,707.58,2021-04-03
636,320,Diario,149.16,2022-09-29
2092,1674,Diario,217.1,2022-04-30
2152,1592,Semanal,75.78,2020-08-14
1987,1132,Semanal,842.52,2021-06-14
950,986,Semanal,149.36,2022-03-25
369,294,Mensual,174.31,2023-12-07
1272,665,Diario,116.47,2021-05-09
1483,1426,Semanal,17.84,2021-06-27
41,824,Semanal,660.88,2022-04-09
1530,294,Mensual,725.67,2022-05-05
1292,1857,Mensual,954.53,2021-10-14
2571,1741,Semanal,51.57,2021-10-29
2260,1529,Semanal,625.76,2022-04-14
1996,300,Diario,258.59,2021-08-04
153,1529,Semanal,298.21,2020-05-19
945,675,Semanal,938.51,2021-11-30
76,1987,Semanal,337.57,2021-03-27
2265,1704,Semanal,514.82,2020-03-20
655,1151,Semanal,760.46,2021-03-01
1371,747,Semanal,777.07,2021-02-25
2695,1447,Diario,41.37,2020-05-11
1740,620,Diario,87.2,2022-02-26
2199,980,Semanal,780.5,2020-11-28
976,1131,Diario,895.61,2021-01-12
793,1986,Diario,106.82,2021-03-26
923,1492,Semanal,687.75,2021-07-17
2672,1048,Diario,253.45,2020-04-17
2839,805,Mensual,103.08,2022-06-13
2774,1206,Mensual,587.4,2023-03-29
2362,1925,Semanal,452.29,2020-01-08
1169,424,Semanal,539.34,2023-09-09
1476,656,Diario,589.31,2022-06-08
2017,557,Semanal,135.73,2023-12-06
2989,110,Semanal,774.43,2021-04-28
2969,1655,Mensual,533.65,2021-04-07
677,989,Mensual,641.77,2023-04-10
271,1603,Mensual,534.53,2022-03-13
185,1000,Semanal,612.51,2023-06-16
1359,238,Mensual,765.17,2023-08-19
1330,966,Mensual,965.28,2022-12-04
2848,979,Semanal,70.45,2021-04-01
2032,1630,Mensual,622.7,2021-11-30
2015,1842,Semanal,541.74,2020-01-22
2920,842,Diario,101.49,2021-08-13
2730,866,Mensual,451.73,2022-10-23
2841,395,Semanal,870.97,2022-10-03
1663,957,Semanal,718.63,2023-10-11
1963,375,Semanal,55.21,2021-01-12
1299,1610,Mensual,264.11,2021-02-16
131,1784,Diario,557.58,2023-06-26
2820,1726,Mensual,742.05,2023-04-09
303,1891,Semanal,250.46,2023-04-22
2350,1267,Mensual,820.39,2020-04-19
1944,825,Mensual,21.37,2023-05-04
574,1344,Mensual,298.63,2022-04-27
2858,354,Diario,262.09,2022-03-23
437,1415,Mensual,435.83,2022-06-20
2198,1696,Diario,652.83,2021-03-21
217,1376,Diario,205.44,2020-01-31
1928,401,Mensual,661.28,2021-01-05
661,1245,Semanal,666.25,2020-08-21
1732,683,Diario,877.59,2022-06-24
2260,1658,Semanal,492.77,2021-10-04
1844,838,Semanal,220.79,2020-03-20
1866,1470,Semanal,61.66,2023-08-19
2049,1504,Mensual,705.7,2023-08-01
1829,704,Semanal,72.97,2021-05-07
1587,1536,Mensual,24.02,2022-01-16
2214,612,Semanal,845.21,2020-03-12
1680,1328,Diario,128.11,2022-10-23
1169,331,Mensual,572.89,2023-10-30
414,1534,Semanal,391.61,2022-12-22
2760,257,Diario,717.6,2022-05-19
2449,1450,Semanal,863.96,2021-04-29
408,4,Diario,214.08,2022-05-19
1805,1320,Diario,64.28,2023-07-10
985,507,Mensual,208.19,2021-08-26
1233,966,Mensual,571.46,2023-06-29
1499,202,Mensual,84.62,2023-05-22
1747,1490,Diario,930.51,2021-08-24
527,49,Semanal,417.76,2022-08-14
1196,1457,Semanal,635.3,2023-02-01
2159,496,Semanal,469.91,2021-01-15
606,760,Mensual,413.23,2022-06-04
758,1737,Mensual,368.74,2020-08-28
77,1918,Diario,61.88,2021-01-28
1271,254,Semanal,376.36,2023-06-09
2495,63,Mensual,244.68,2022-07-04
509,503,Semanal,101.05,2023-08-06
